OTU,LNA_score
Otu000173,0.18
Otu000244,0.394
Otu000187,NA
Otu000313,0.208
Otu000060,0.209
Otu000521,0.19
Otu000293,0.16
Otu000167,NA
Otu000271,0.366
Otu000029,0.397
Otu000614,0.13
Otu000412,0.252
Otu000038,0.306
Otu000175,0.249
Otu000279,0.196
Otu001267,0.204
Otu000262,NA
Otu000058,0.208
Otu000226,NA
Otu000712,0.164
Otu000264,NA
Otu000317,0.212
Otu000246,0.23
Otu000905,0.256
Otu000267,0.294
Otu000136,0.306
Otu000210,0.182
Otu001846,NA
Otu000409,0.218
Otu000044,0.184
Otu001126,NA
Otu000263,NA
Otu000242,0.372
Otu000870,0.19
Otu000756,0.19
Otu000190,NA
Otu000487,0.226
Otu000059,NA
Otu001142,NA
Otu000088,0.182
Otu000469,NA
Otu000020,0.118
Otu000827,NA
Otu001520,NA
Otu000624,NA
Otu000399,NA
Otu001086,0.274
Otu000771,NA
Otu000076,NA
Otu000344,0.182
Otu000319,0.196
Otu000519,0.2
Otu000149,0.184
Otu000192,0.128
Otu000010,NA
Otu000001,NA
Otu001464,0.146
Otu000043,NA
Otu001327,0.114
Otu001602,0.164
Otu000837,0.134
Otu000182,0.206
Otu000095,0.136
Otu000590,NA
Otu000112,NA
Otu000701,NA
Otu000018,0.124
Otu000131,NA
Otu001136,0.16
Otu000171,NA
Otu001298,0.154
Otu001691,NA
Otu000631,0.104
Otu000253,0.108
Otu000449,0.178
Otu001183,NA
Otu000418,NA
Otu001476,NA
Otu000581,NA
Otu002142,NA
Otu000888,NA
Otu000026,0.114
Otu001078,NA
Otu000063,NA
Otu000402,NA
Otu000141,0.174
Otu000673,0.12
Otu001124,0.194
Otu000708,NA
Otu001767,NA
Otu000459,NA
Otu000613,0.158
Otu001368,NA
Otu000885,NA
Otu000894,0.162
Otu000283,0.11
Otu002831,0.194
Otu000655,NA
Otu000615,NA
Otu000005,0.172
Otu000113,0.185
Otu000027,0.124
Otu000030,0.366
Otu000682,0.142
Otu000379,0.194
Otu001580,0.154
Otu000277,0.102
Otu000160,0.11
Otu000471,0.12
Otu000517,0.108
Otu000050,0.186
Otu000193,0.108
Otu000099,0.092
Otu000203,0.202
Otu000172,0.214
Otu000456,0.13
Otu002374,0.174
Otu000218,0.104
Otu000985,0.15
Otu001273,0.18
Otu000893,0.132
Otu000259,0.128
Otu000223,0.138
Otu000240,0.096
Otu001210,0.134
Otu000749,0.232
Otu000898,0.108
Otu001329,0.092
Otu000163,0.098
Otu000408,0.106
Otu000460,0.094
Otu000144,0.098
Otu000014,0.094
Otu000090,0.172
Otu000917,0.154
Otu000536,0.116
Otu000159,0.194
Otu000154,0.11
Otu000796,0.114
Otu000425,0.092
Otu001018,0.102
Otu000132,0.22
Otu001366,0.2
Otu000681,0.13
Otu000392,0.131
Otu000422,0.184
Otu001664,0.096
Otu000084,0.122
Otu001092,NA
Otu000363,NA
Otu000369,0.296
Otu000022,NA
Otu000717,NA
Otu001668,NA
Otu000619,0.194
Otu001821,NA
Otu000151,NA
Otu000664,NA
Otu002159,NA
Otu000250,NA
Otu001087,0.228
Otu000580,NA
Otu000571,NA
Otu000973,NA
Otu000792,NA
Otu000282,0.228
Otu000321,0.164
Otu000803,NA
Otu001288,NA
Otu000526,NA
Otu000227,NA
Otu000574,NA
Otu001038,NA
Otu000346,0.234
Otu001656,NA
Otu001533,0.328
Otu000285,NA
Otu001552,NA
Otu001863,NA
Otu000168,0.428
Otu001140,NA
Otu000389,NA
Otu000711,0.11
Otu000638,NA
Otu000441,0.134
Otu001107,NA
Otu000207,NA
Otu000511,0.138
Otu000247,NA
Otu000745,0.212
Otu000329,NA
Otu001498,NA
Otu000066,NA
Otu000523,0.19
Otu000120,0.23
Otu000269,0.334
Otu000053,0.184
Otu001301,0.304
Otu000108,0.19
Otu000067,0.14
Otu000307,0.138
Otu000501,0.244
Otu000637,0.248
Otu001215,0.158
Otu000555,0.384
Otu000006,0.122
Otu002163,0.18
Otu001341,0.176
Otu001414,0.206
Otu000582,0.148
Otu000297,0.114
Otu000650,0.136
Otu000140,0.208
Otu000378,0.14
Otu000093,0.254
Otu000274,0.12
Otu000597,0.224
Otu000105,0.11
Otu000660,0.148
Otu000189,0.144
Otu001643,0.176
Otu001134,0.112
Otu002185,0.114
Otu000073,0.298
Otu001709,0.136
Otu000706,0.132
Otu001250,0.128
Otu000222,0.134
Otu000315,0.242
Otu000311,0.11
Otu000856,0.132
Otu000358,0.142
Otu001793,0.114
Otu001175,0.11
Otu000156,0.142
Otu000579,0.134
Otu000680,0.136
Otu001645,0.116
Otu000720,0.222
Otu000522,0.15
Otu000401,0.132
Otu001118,0.268
Otu002596,0.132
Otu002082,0.172
Otu001707,0.13
Otu000634,0.122
Otu000216,0.362
Otu000025,0.318
Otu000081,0.3
Otu000359,NA
Otu000539,NA
Otu001568,NA
Otu000249,NA
Otu000225,NA
Otu000330,NA
Otu001497,NA
Otu000540,0.294
Otu001300,0.3
