OTU,Muskegon_HNA,Muskegon_LNA,Inland_HNA,Inland_LNA,Michigan_HNA,Michigan_LNA,FCM,Lake
Otu001124,0.174,0.194,NA,NA,NA,NA,Both,Muskegon
Otu000708,0.162,NA,NA,NA,NA,NA,HNA,Muskegon
Otu001767,0.092,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000459,0.13,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000613,0.116,0.158,NA,NA,NA,NA,Both,Muskegon
Otu001368,0.102,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000885,0.156,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000894,0.128,0.162,NA,NA,NA,NA,Both,Muskegon
Otu000283,0.102,0.11,NA,NA,NA,NA,Both,Muskegon
Otu002831,0.132,0.194,NA,NA,NA,NA,Both,Muskegon
Otu000655,0.122,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000615,0.126,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000005,NA,0.172,NA,NA,NA,NA,LNA,Muskegon
Otu000113,NA,0.224,NA,0.146,NA,NA,LNA,Muskegon-Inland
Otu000027,NA,0.124,NA,NA,NA,NA,LNA,Muskegon
Otu000030,NA,0.366,0.178,NA,NA,NA,Both,Muskegon-Inland
Otu000682,NA,0.142,NA,NA,NA,NA,LNA,Muskegon
Otu000379,NA,0.194,NA,NA,NA,NA,LNA,Muskegon
Otu001580,NA,0.154,NA,NA,NA,NA,LNA,Muskegon
Otu000277,NA,0.102,NA,NA,NA,NA,LNA,Muskegon
Otu000160,NA,0.11,NA,NA,NA,NA,LNA,Muskegon
Otu000471,NA,0.12,NA,NA,NA,NA,LNA,Muskegon
Otu000517,NA,0.108,NA,NA,NA,NA,LNA,Muskegon
Otu000050,NA,0.186,NA,NA,NA,NA,LNA,Muskegon
Otu000193,NA,0.108,NA,NA,NA,NA,LNA,Muskegon
Otu000099,NA,0.092,NA,NA,NA,NA,LNA,Muskegon
Otu000203,NA,0.202,NA,NA,NA,NA,LNA,Muskegon
Otu000172,NA,0.214,NA,NA,NA,NA,LNA,Muskegon
Otu000456,NA,0.13,NA,NA,NA,NA,LNA,Muskegon
Otu002374,NA,0.174,NA,NA,NA,NA,LNA,Muskegon
Otu000218,NA,0.104,NA,NA,NA,NA,LNA,Muskegon
Otu000985,NA,0.15,NA,NA,NA,NA,LNA,Muskegon
Otu001273,NA,0.18,NA,NA,NA,NA,LNA,Muskegon
Otu000893,NA,0.118,NA,0.146,NA,NA,LNA,Muskegon-Inland
Otu000259,NA,0.128,NA,NA,NA,NA,LNA,Muskegon
Otu000223,NA,0.138,NA,NA,NA,NA,LNA,Muskegon
Otu000240,NA,0.096,NA,NA,NA,NA,LNA,Muskegon
Otu001210,NA,0.134,NA,NA,NA,NA,LNA,Muskegon
Otu000749,NA,0.232,NA,NA,NA,NA,LNA,Muskegon
Otu000898,NA,0.108,NA,NA,NA,NA,LNA,Muskegon
Otu001329,NA,0.092,NA,NA,NA,NA,LNA,Muskegon
Otu000163,NA,0.098,NA,NA,NA,NA,LNA,Muskegon
Otu000408,NA,0.106,NA,NA,NA,NA,LNA,Muskegon
Otu000460,NA,0.094,NA,NA,NA,NA,LNA,Muskegon
Otu000144,NA,0.098,NA,NA,NA,NA,LNA,Muskegon
Otu000014,NA,0.094,NA,NA,NA,NA,LNA,Muskegon
Otu000090,NA,0.172,NA,NA,NA,NA,LNA,Muskegon
Otu000917,NA,0.154,NA,NA,NA,NA,LNA,Muskegon
Otu000536,NA,0.116,NA,NA,NA,NA,LNA,Muskegon
Otu000159,NA,0.194,NA,NA,NA,NA,LNA,Muskegon
Otu000154,NA,0.11,NA,NA,NA,NA,LNA,Muskegon
Otu000796,NA,0.114,NA,NA,NA,NA,LNA,Muskegon
Otu000425,NA,0.092,NA,NA,NA,NA,LNA,Muskegon
Otu001018,NA,0.102,NA,NA,NA,NA,LNA,Muskegon
Otu000132,NA,0.22,NA,NA,NA,NA,LNA,Muskegon
Otu001366,NA,0.2,NA,NA,NA,NA,LNA,Muskegon
Otu000681,NA,0.13,NA,NA,NA,NA,LNA,Muskegon
Otu000392,NA,0.096,NA,0.166,NA,NA,LNA,Muskegon-Inland
Otu000422,NA,0.184,NA,NA,NA,NA,LNA,Muskegon
Otu001664,NA,0.096,NA,NA,NA,NA,LNA,Muskegon
Otu000084,NA,0.1,NA,0.144,NA,NA,LNA,Muskegon-Inland
Otu001092,NA,NA,0.276,NA,NA,NA,HNA,Inland
Otu000363,NA,NA,0.152,NA,NA,NA,HNA,Inland
Otu000369,NA,NA,0.382,0.296,NA,NA,Both,Inland
Otu000022,NA,NA,0.23,NA,NA,NA,HNA,Inland
Otu000717,NA,NA,0.274,NA,NA,NA,HNA,Inland
Otu001668,NA,NA,0.362,NA,NA,NA,HNA,Inland
Otu000619,NA,NA,0.196,0.194,NA,NA,Both,Inland
Otu001821,NA,NA,0.15,NA,NA,NA,HNA,Inland
Otu000151,NA,NA,0.132,NA,NA,NA,HNA,Inland
Otu000664,NA,NA,0.304,NA,NA,NA,HNA,Inland
Otu002159,NA,NA,0.186,NA,NA,NA,HNA,Inland
Otu000250,NA,NA,0.202,NA,NA,NA,HNA,Inland
Otu001087,NA,NA,0.24,0.228,NA,NA,Both,Inland
Otu000580,NA,NA,0.224,NA,NA,NA,HNA,Inland
Otu000571,NA,NA,0.19,NA,NA,NA,HNA,Inland
Otu000973,NA,NA,0.132,NA,NA,NA,HNA,Inland
Otu000792,NA,NA,0.376,NA,NA,NA,HNA,Inland
Otu000282,NA,NA,0.234,0.228,NA,NA,Both,Inland
Otu000321,NA,NA,0.14,0.164,NA,NA,Both,Inland
Otu000803,NA,NA,0.21,NA,NA,NA,HNA,Inland
Otu001288,NA,NA,0.26,NA,NA,NA,HNA,Inland
Otu000526,NA,NA,0.148,NA,NA,NA,HNA,Inland
Otu000227,NA,NA,0.226,NA,NA,NA,HNA,Inland
Otu000574,NA,NA,0.154,NA,NA,NA,HNA,Inland
Otu001038,NA,NA,0.14,NA,NA,NA,HNA,Inland
Otu000346,NA,NA,0.26,0.234,NA,NA,Both,Inland
Otu001656,NA,NA,0.21,NA,NA,NA,HNA,Inland
Otu001533,NA,NA,0.222,0.328,NA,NA,Both,Inland
Otu000285,NA,NA,0.19,NA,NA,NA,HNA,Inland
Otu001552,NA,NA,0.142,NA,NA,NA,HNA,Inland
Otu001863,NA,NA,0.188,NA,NA,NA,HNA,Inland
Otu000168,NA,NA,0.194,NA,NA,0.428,Both,Inland-Michigan
Otu001140,NA,NA,0.21,NA,NA,NA,HNA,Inland
Otu000389,NA,NA,0.26,NA,NA,NA,HNA,Inland
Otu000711,NA,NA,0.164,0.11,NA,NA,Both,Inland
Otu000638,NA,NA,0.154,NA,NA,NA,HNA,Inland
Otu000441,NA,NA,0.16,0.134,NA,NA,Both,Inland
Otu001107,NA,NA,0.142,NA,NA,NA,HNA,Inland
Otu000207,NA,NA,0.222,NA,NA,NA,HNA,Inland
Otu000511,NA,NA,0.316,0.138,NA,NA,Both,Inland
Otu000247,NA,NA,0.142,NA,NA,NA,HNA,Inland
Otu000745,NA,NA,0.134,0.212,NA,NA,Both,Inland
Otu000329,NA,NA,0.152,NA,NA,NA,HNA,Inland
Otu001498,NA,NA,0.178,NA,NA,NA,HNA,Inland
Otu000066,NA,NA,0.158,NA,NA,NA,HNA,Inland
Otu000523,NA,NA,NA,0.19,NA,NA,LNA,Inland
Otu000120,NA,NA,NA,0.23,NA,NA,LNA,Inland
Otu000269,NA,NA,NA,0.334,NA,NA,LNA,Inland
Otu000053,NA,NA,NA,0.184,NA,NA,LNA,Inland
Otu001301,NA,NA,NA,0.304,NA,NA,LNA,Inland
Otu000108,NA,NA,NA,0.19,NA,NA,LNA,Inland
Otu000067,NA,NA,NA,0.14,NA,NA,LNA,Inland
Otu000307,NA,NA,NA,0.138,NA,NA,LNA,Inland
Otu000501,NA,NA,NA,0.244,NA,NA,LNA,Inland
Otu000637,NA,NA,NA,0.248,NA,NA,LNA,Inland
Otu001215,NA,NA,NA,0.158,NA,NA,LNA,Inland
Otu000555,NA,NA,NA,0.384,NA,NA,LNA,Inland
Otu000006,NA,NA,NA,0.122,NA,NA,LNA,Inland
Otu002163,NA,NA,NA,0.18,NA,NA,LNA,Inland
Otu001341,NA,NA,NA,0.176,NA,NA,LNA,Inland
Otu001414,NA,NA,NA,0.206,NA,NA,LNA,Inland
Otu000582,NA,NA,NA,0.148,NA,NA,LNA,Inland
Otu000297,NA,NA,NA,0.114,NA,NA,LNA,Inland
Otu000650,NA,NA,NA,0.136,NA,NA,LNA,Inland
Otu000140,NA,NA,NA,0.208,NA,NA,LNA,Inland
Otu000378,NA,NA,NA,0.14,NA,NA,LNA,Inland
Otu000093,NA,NA,NA,0.254,NA,NA,LNA,Inland
Otu000274,NA,NA,NA,0.12,NA,NA,LNA,Inland
Otu000597,NA,NA,NA,0.224,NA,NA,LNA,Inland
Otu000105,NA,NA,NA,0.11,NA,NA,LNA,Inland
Otu000660,NA,NA,NA,0.148,NA,NA,LNA,Inland
Otu000189,NA,NA,NA,0.144,NA,NA,LNA,Inland
Otu001643,NA,NA,NA,0.176,NA,NA,LNA,Inland
Otu001134,NA,NA,NA,0.112,NA,NA,LNA,Inland
Otu002185,NA,NA,NA,0.114,NA,NA,LNA,Inland
Otu000073,NA,NA,NA,0.298,NA,NA,LNA,Inland
Otu001709,NA,NA,NA,0.136,NA,NA,LNA,Inland
Otu000706,NA,NA,NA,0.132,NA,NA,LNA,Inland
Otu001250,NA,NA,NA,0.128,NA,NA,LNA,Inland
Otu000222,NA,NA,NA,0.134,NA,NA,LNA,Inland
Otu000315,NA,NA,NA,0.242,NA,NA,LNA,Inland
Otu000311,NA,NA,NA,0.11,NA,NA,LNA,Inland
Otu000856,NA,NA,NA,0.132,NA,NA,LNA,Inland
Otu000358,NA,NA,NA,0.142,NA,NA,LNA,Inland
Otu001793,NA,NA,NA,0.114,NA,NA,LNA,Inland
Otu001175,NA,NA,NA,0.11,NA,NA,LNA,Inland
Otu000156,NA,NA,NA,0.142,NA,NA,LNA,Inland
Otu000579,NA,NA,NA,0.134,NA,NA,LNA,Inland
Otu000680,NA,NA,NA,0.136,NA,NA,LNA,Inland
Otu001645,NA,NA,NA,0.116,NA,NA,LNA,Inland
Otu000720,NA,NA,NA,0.222,NA,NA,LNA,Inland
Otu000522,NA,NA,NA,0.15,NA,NA,LNA,Inland
Otu000401,NA,NA,NA,0.132,NA,NA,LNA,Inland
