Otu000005,0.878
Otu000128,0.858
Otu000067,0.854
Otu000176,0.844
Otu000173,0.806
Otu000098,0.786
Otu000224,0.768
Otu000025,0.762
Otu000009,0.73
Otu000123,0.72
Otu000050,0.716
Otu000203,0.688
Otu000084,0.686
Otu000047,0.68
Otu000016,0.674
Otu000030,0.672
Otu000011,0.67
Otu000914,0.668
Otu000960,0.664
Otu000382,0.658
Otu000335,0.628
Otu000112,0.6
Otu000004,0.592
Otu000124,0.586
Otu000063,0.58
Otu000161,0.574
Otu000040,0.544
Otu000100,0.542
Otu000106,0.528
Otu000204,0.526
Otu000763,0.508
Otu000247,0.508
Otu000349,0.492
Otu000716,0.49
Otu000027,0.484
Otu000175,0.482
Otu000073,0.482
Otu000099,0.474
Otu000057,0.472
Otu000119,0.47
Otu000079,0.468
Otu000338,0.454
Otu000572,0.448
Otu000081,0.442
Otu001049,0.43
Otu000298,0.426
Otu000264,0.424
Otu000255,0.424
Otu000076,0.422
Otu000222,0.422
Otu000315,0.418
Otu000038,0.414
Otu000048,0.412
Otu000413,0.408
Otu000058,0.402
Otu000029,0.4
Otu000219,0.396
Otu000012,0.39
Otu000109,0.386
Otu000150,0.386
Otu000115,0.382
Otu000249,0.38
Otu000152,0.38
Otu000267,0.378
Otu000139,0.378
Otu000240,0.376
Otu000209,0.346
Otu000104,0.34
Otu000206,0.34
Otu000509,0.334
Otu000755,0.33
Otu000064,0.328
Otu000218,0.32
Otu000039,0.318
Otu000220,0.314
Otu000190,0.31
Otu000650,0.304
Otu000019,0.3
Otu000578,0.298
Otu000231,0.296
Otu000041,0.292
Otu001475,0.29
Otu000049,0.288
Otu000278,0.288
Otu000095,0.286
Otu000087,0.284
Otu000367,0.284
Otu000217,0.282
Otu000105,0.282
Otu000762,0.28
Otu000070,0.276
Otu000001,0.274
Otu000065,0.264
Otu000158,0.262
Otu000077,0.258
Otu000060,0.252
Otu000450,0.252
Otu000532,0.246
Otu000564,0.244
Otu000010,0.242
