"Otu000001" "Otu000005" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000040" "Otu000041" "Otu000044" "Otu000046" "Otu000048" "Otu000050" "Otu000058" "Otu000060" "Otu000066" "Otu000070" "Otu000071" "Otu000075" "Otu000077" "Otu000081" "Otu000093" "Otu000106" "Otu000117" "Otu000124" "Otu000136" "Otu000137" "Otu000161" "Otu000162" "Otu000176" "Otu000179" "Otu000195" "Otu000217" "Otu000227" "Otu000261" "Otu000262" "Otu000267" "Otu000282" "Otu000298" "Otu000304" "Otu000311" "Otu000320" "Otu000322" "Otu000328" "Otu000338" "Otu000347" "Otu000355" "Otu000363" "Otu000377" "Otu000385" "Otu000387" "Otu000399" "Otu000450" "Otu000459" "Otu000500" "Otu000506" "Otu000646" "Otu000663" "Otu000717" "Otu000746" "Otu000763" "Otu000785" "Otu000787" "Otu000793" "Otu000803" "Otu000810" "Otu000877" "Otu000931" "Otu001065" "Otu001097" "Otu001104" "Otu001118" "Otu001183" "Otu001201" "Otu001269" "Otu001276" "Otu001301" "Otu001311" "Otu001319" "Otu001643" "Otu001784" "Otu001802" "Otu001821" "Otu002159" "Otu002882" "Otu003259"
"Z14001F" 0.268673232267345 0.0601969680203607 0.0936151377669581 0.0940577625318137 0.025008299214341 0.000663937147283391 0.0242337058758438 0.000110656191213898 0.0569879384751577 0.016377116299657 0.0173730220205821 0.033750138320239 0.000331968573641695 0.0781232709970123 0.00287706097156136 0.00497952860462543 0.0121721810335288 0 0.000221312382427797 0.0149385858138763 0.0127254619895983 0.0304304525838221 0 0.00132787429456678 0.0221312382427797 0.0412747593227841 0.00453690383976984 0.00497952860462543 0 0.00254509239791966 0.000221312382427797 0.000774593338497289 0 0.000221312382427797 0.00376231050127255 0.00520084098705323 0 0.00121721810335288 0.000331968573641695 0 0 0.000221312382427797 0 0 0 0.000885249529711187 0.000221312382427797 0.000442624764855594 0.000221312382427797 0.000110656191213898 0 0.000774593338497289 0 0.0268894544649773 0.000442624764855594 0.000774593338497289 0.000663937147283391 0 0 0 0 0.000442624764855594 0 0 0.015270554387518 0.000995905720925086 0.000331968573641695 0.00409427907491424 0.0070819962376895 0 0.000442624764855594 0 0 0 0 0 0 0 0 0 0.000221312382427797 0.00276640478034746 0 0 0.000331968573641695 0 0 0 0 0 0
"Z14002F" 0.177271218324665 0.0763527719375899 0.170853159234259 0.0769060528936594 0.0300984840101804 0.00232378001549187 0.0188115525063627 0 0.0753568662166648 0.00387296669248644 0.0158238353435875 0.0352993249972336 0.00165984286820848 0.0973774482682306 0.00597543432555051 0.000442624764855594 0.00774593338497289 0.00221312382427797 0.000774593338497289 0.0138320239017373 0.020692707756999 0.000663937147283391 0 0 0.0102910257828926 0.0365165431005865 0.00376231050127255 0.00442624764855594 0 0.00287706097156136 0.000110656191213898 0.00298771716277526 0 0.00110656191213898 0.00188115525063627 0.0135000553280956 0 0.00387296669248644 0.000221312382427797 0 0 0.00177049905942237 0.000110656191213898 0 0.000331968573641695 0.000995905720925086 0.000885249529711187 0.000442624764855594 0.000442624764855594 0.00520084098705323 0 0.00265574858913356 0.000221312382427797 0.0125041496071705 0.000442624764855594 0.00143853048578068 0.00110656191213898 0 0.000553280956069492 0 0 0.000774593338497289 0 0.000221312382427797 0.0252296115967688 0.00165984286820848 0.00232378001549187 0.00221312382427797 0.00829921434104238 0 0.000331968573641695 0 0 0 0 0 0 0 0.000110656191213898 0 0.000553280956069492 0.01305743056324 0 0 0.000221312382427797 0 0 0 0 0 0
"Z14003F" 0.0894102025008299 0.00929512006196747 0.0622994356534248 0.0189222086975766 0.0826601748367821 0.00309837335398916 0.0143853048578068 0.00752462100254509 0.170078565895762 0.000221312382427797 0.00442624764855594 0.0133893991368817 0.000221312382427797 0.00232378001549187 0.000774593338497289 0.00763527719375899 0.000331968573641695 0.00918446387075357 0.0526723470178156 0.000774593338497289 0.00509018479583933 0.000331968573641695 0.0499059422374682 0.00188115525063627 0 0.0329755449817417 0.0104016819741065 0.00221312382427797 0 0.00796724576740069 0.00630740289919221 0.00265574858913356 0.000110656191213898 0.000221312382427797 0.000774593338497289 0.0219099258603519 0 0.0144959610490207 0.000110656191213898 0.000221312382427797 0.000885249529711187 0.0212459887130685 0.00331968573641695 0 0.0378444173951533 0 0.00497952860462543 0 0 0.000663937147283391 0.0302091402013943 0.00110656191213898 0.0162664601084431 0 0 0.00852052672347018 0.000774593338497289 0.0148279296226624 0.0255615801704105 0.0253402677879827 0 0 0.00143853048578068 0.00608609051676441 0.0291025782892553 0 0 0.000110656191213898 0.000110656191213898 0.0110656191213898 0 0.0116189000774593 0 0.0136107115193095 0.00531149717826712 0.00442624764855594 0 0 0.00121721810335288 0.00121721810335288 0 0 0.00143853048578068 0 0.000221312382427797 0.00475821622219763 0.00143853048578068 0.00663937147283391 0 0.00143853048578068 0
"Z14004F" 0.0786765519530818 0.11098815978754 0.134668584707314 0.0613035299324997 0.0405001659842868 0.00165984286820848 0.00863118291468408 0.000995905720925086 0.0666150271107668 0.0285492973331858 0.00874183910589798 0.0233484563461326 0.00309837335398916 0.0345247316587363 0.00243443620670577 0.00066393714728339 0.00420493526612814 0.00265574858913356 0.000995905720925086 0.0100697134004648 0.0105123381653204 0.0181476153590793 0.00254509239791966 0.000110656191213898 0.112426690273321 0.0158238353435875 0.0113975876950315 0.00398362288370034 0.00177049905942237 0.00973774482682306 0 0.00807790195861459 0 0.00121721810335288 0.00774593338497289 0.0187008963151488 0 0.00276640478034746 0.000110656191213898 0 0.000221312382427797 0.00497952860462543 0.00121721810335288 0.000221312382427797 0.000553280956069492 0.000442624764855594 0 0.000774593338497289 0.000553280956069492 0.00221312382427797 0 0.00132787429456678 0 0.0333075135553834 0.000663937147283391 0.00143853048578068 0.00376231050127255 0 0.00110656191213898 0.000774593338497289 0 0.000995905720925086 0 0.000331968573641695 0.0210246763306407 0.00431559145734204 0.0177049905942237 0.00608609051676441 0.024012393493416 0.000110656191213898 0.000331968573641695 0 0 0 0 0 0 0.000995905720925086 0 0 0 0.0213566449042824 0.000331968573641695 0 0 0.000331968573641695 0.000110656191213898 0 0 0 0
"Z14005F" 0.162553944893217 0.0590904061082218 0.0814429567334292 0.0552174394157353 0.0453690383976983 0.0454796945889122 0.0810003319685736 0.0360739183357309 0.0505698793847516 0.0159344915348014 0.0194754896536461 0.040278853601859 0.00199181144185017 0.00199181144185017 0.000885249529711187 0.0251189554055549 0.0169303972557265 0.0117295562686732 0.00276640478034746 0.0226845191988492 0.0233484563461326 0 0.0277747039946885 0.000221312382427797 0.00741396481133119 0.0190328648887905 0.0169303972557265 0.00431559145734204 0 0.0225738630076353 0.0067500276640478 0.00486887241341153 0.0071926524289034 0.000442624764855594 0.00343034192763085 0.0274427354210468 0 0.00608609051676441 0 0.00265574858913356 0.00431559145734204 0 0.000110656191213898 0.000221312382427797 0 0 0 0.000331968573641695 0 0.000885249529711187 0 0.0183689277415071 0 0.00110656191213898 0.00343034192763085 0.00265574858913356 0.00210246763306407 0 0.000221312382427797 0.000110656191213898 0 0.000221312382427797 0.000110656191213898 0 0.000110656191213898 0 0.000221312382427797 0.000221312382427797 0.00221312382427797 0 0.000110656191213898 0 0.00232378001549187 0.000221312382427797 0 0 0 0 0 0 0.000553280956069492 0.00210246763306407 0 0.000110656191213898 0 0 0 0 0.000553280956069492 0 0
"Z14006F" 0.16576297443842 0.0495739736638265 0.102356976872856 0.0658404337722696 0.051233816532035 0.0450370698240567 0.0757994909815204 0.0377337612039394 0.0559920327542326 0.0167090848732987 0.017483678211796 0.0351886688060197 0.00177049905942237 0.00154918667699458 0.000995905720925086 0.0179263029766515 0.0126148057983844 0.0199181144185017 0.00531149717826712 0.0175943344030098 0.0144959610490207 0 0.0224632068164214 0.000774593338497289 0.00608609051676441 0.016377116299657 0.0214673010954963 0.00177049905942237 0 0.016377116299657 0.00453690383976984 0.00630740289919221 0.0069713400464756 0.000110656191213898 0.00298771716277526 0.0295452030541109 0 0.00763527719375899 0 0.00442624764855594 0.00121721810335288 0.000110656191213898 0 0.000331968573641695 0 0 0 0.000110656191213898 0.000442624764855594 0.00409427907491424 0 0.0151598981963041 0 0.000553280956069492 0.00287706097156136 0.00121721810335288 0.00354099811884475 0 0 0 0.000221312382427797 0.000110656191213898 0 0 0.000774593338497289 0.000110656191213898 0.00121721810335288 0 0.00431559145734204 0 0.000110656191213898 0 0.00232378001549187 0 0 0.000221312382427797 0 0 0 0 0.000331968573641695 0.00188115525063627 0 0 0 0 0 0 0 0 0
"Z14007F" 0.0579838441960828 0.0192541772712183 0.0856478919995574 0.0331968573641695 0.0405001659842868 0.0203607391833573 0.0331968573641695 0.00752462100254509 0.214341042381321 0.000110656191213898 0.00188115525063627 0.00343034192763085 0.010844306738962 0.00188115525063627 0.000774593338497289 0.00177049905942237 0.000774593338497289 0.0131680867544539 0.080557707203718 0 0.00962708863560916 0 0.0534469403563129 0.000663937147283391 0.000553280956069492 0.0320902954520305 0.0136107115193095 0.00177049905942237 0.000331968573641695 0.00829921434104238 0.00542215336948102 0.00829921434104238 0 0.000442624764855594 0.00210246763306407 0.0264468297001217 0 0.00177049905942237 0.000663937147283391 0.000553280956069492 0.0300984840101804 0.00320902954520305 0.0230164877724909 0.000885249529711187 0.000553280956069492 0 0.0199181144185017 0 0 0.00154918667699458 0.00165984286820848 0.00165984286820848 0.00475821622219763 0.000110656191213898 0.000110656191213898 0.00420493526612814 0.000331968573641695 0.00973774482682306 0.0069713400464756 0.0132787429456678 0 0 0.00254509239791966 0.0067500276640478 0.00564346575190882 0 0 0 0.000331968573641695 0.00818855814982848 0.000110656191213898 0.0126148057983844 0 0.020692707756999 0.00232378001549187 0.00619674670797831 0 0.000331968573641695 0.00132787429456678 0.00121721810335288 0.000110656191213898 0.00177049905942237 0.00121721810335288 0 0 0.000885249529711187 0.00818855814982848 0.00154918667699458 0.000110656191213898 0.00254509239791966 0
"Z14008F" 0.151820294345469 0.0774593338497289 0.0794511452915791 0.0552174394157353 0.0522297222529601 0.0386190107336506 0.0824388624543543 0.0440411641031316 0.0562133451366604 0.0179263029766515 0.0216886134779241 0.0399468850282173 0.00309837335398916 0.00199181144185017 0.00121721810335288 0.0175943344030098 0.0178156467854376 0.0122828372247427 0.00287706097156136 0.0183689277415071 0.00951643244439526 0.000110656191213898 0.0181476153590793 0.000663937147283391 0.00818855814982848 0.0140533362841651 0.0159344915348014 0.00509018479583933 0.000885249529711187 0.0149385858138763 0.00309837335398916 0.0106229943565342 0.00619674670797831 0.000774593338497289 0.00409427907491424 0.0271107668474051 0 0.00586477813433662 0.000221312382427797 0.00509018479583933 0.00774593338497289 0 0.000221312382427797 0.00165984286820848 0 0 0.000442624764855594 0.000110656191213898 0.000110656191213898 0.00398362288370034 0.000110656191213898 0.0232378001549187 0.000221312382427797 0.00110656191213898 0.00210246763306407 0.00154918667699458 0.00265574858913356 0 0.000774593338497289 0.000553280956069492 0 0 0 0 0.000442624764855594 0 0.000331968573641695 0.000221312382427797 0.00320902954520305 0 0 0 0.00143853048578068 0.000553280956069492 0 0 0 0 0 0 0.000442624764855594 0.00354099811884475 0 0.000110656191213898 0 0 0 0 0.000221312382427797 0 0
"Z14009F" 0.280956069492088 0.00509018479583933 0.116852937921877 0.0682748699789753 0.0635166537567777 0.0256722363616244 0.0763527719375899 0.0450370698240567 0.0739183357308841 0.00564346575190882 0.00885249529711187 0.059864999446719 0.00564346575190882 0.00210246763306407 0.00210246763306407 0.00354099811884475 0.00840987053225628 0.0274427354210468 0.00331968573641695 0.0122828372247427 0.00398362288370034 0.000221312382427797 0.000110656191213898 0.00210246763306407 0.000663937147283391 0.0242337058758438 0.00663937147283391 0.000663937147283391 0.000221312382427797 0.00486887241341153 0.000110656191213898 0.00165984286820848 0.00276640478034746 0.000331968573641695 0.00486887241341153 0.0135000553280956 0 0.00177049905942237 0.000110656191213898 0.00110656191213898 0.00309837335398916 0.00143853048578068 0 0 0 0.000553280956069492 0 0 0.000221312382427797 0.000663937147283391 0 0.00652871528162001 0 0.014163992475379 0.000221312382427797 0.00110656191213898 0.00188115525063627 0 0 0 0 0.00110656191213898 0 0 0.00143853048578068 0 0 0.000221312382427797 0.000885249529711187 0 0.000221312382427797 0 0.000110656191213898 0 0 0 0 0.000221312382427797 0 0 0.000110656191213898 0.000553280956069492 0 0.000110656191213898 0.000221312382427797 0.000110656191213898 0 0 0 0 0
"Z14010F" 0.281509350448158 0.0289919220980414 0.11353325218546 0.079561801482793 0.0458116631625539 0.0289919220980414 0.0717052119066062 0.044705101250415 0.0552174394157353 0.00331968573641695 0.0128361181808122 0.0455903507801261 0.00586477813433662 0.00254509239791966 0.00409427907491424 0.00343034192763085 0.0101803695916787 0.0306517649662499 0.00365165431005865 0.0120615248423149 0.00619674670797831 0.000663937147283391 0.000221312382427797 0.000442624764855594 0.00354099811884475 0.0314263583047472 0.00442624764855594 0.00066393714728339 0.000995905720925086 0.00188115525063627 0.000221312382427797 0.000442624764855594 0.00110656191213898 0.000221312382427797 0.00763527719375899 0.0107336505477481 0 0.00221312382427797 0.000110656191213898 0.00110656191213898 0.00475821622219763 0.000663937147283391 0 0 0 0.000995905720925086 0 0.000221312382427797 0.00110656191213898 0.00210246763306407 0 0.0069713400464756 0 0.0139426800929512 0.000885249529711187 0.000663937147283391 0.00254509239791966 0 0.000553280956069492 0 0 0.000553280956069492 0 0.000110656191213898 0.00177049905942237 0 0.000110656191213898 0.000110656191213898 0.000553280956069492 0.000110656191213898 0.00110656191213898 0 0 0 0 0 0 0 0 0 0.000221312382427797 0.000553280956069492 0 0.000221312382427797 0.000221312382427797 0.000221312382427797 0 0 0.000221312382427797 0 0
