"Otu000001" "Otu000004" "Otu000005" "Otu000006" "Otu000007" "Otu000009" "Otu000010" "Otu000011" "Otu000012" "Otu000016" "Otu000017" "Otu000018" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000024" "Otu000025" "Otu000026" "Otu000027" "Otu000029" "Otu000030" "Otu000033" "Otu000034" "Otu000036" "Otu000038" "Otu000040" "Otu000041" "Otu000042" "Otu000043" "Otu000044" "Otu000046" "Otu000047" "Otu000048" "Otu000049" "Otu000050" "Otu000053" "Otu000056" "Otu000057" "Otu000058" "Otu000059" "Otu000060" "Otu000061" "Otu000062" "Otu000063" "Otu000064" "Otu000065" "Otu000066" "Otu000067" "Otu000068" "Otu000070" "Otu000071" "Otu000073" "Otu000074" "Otu000075" "Otu000076" "Otu000077" "Otu000078" "Otu000079" "Otu000080" "Otu000081" "Otu000082" "Otu000083" "Otu000084" "Otu000085" "Otu000086" "Otu000087" "Otu000088" "Otu000090" "Otu000091" "Otu000093" "Otu000094" "Otu000095" "Otu000096" "Otu000098" "Otu000099" "Otu000100" "Otu000101" "Otu000103" "Otu000104" "Otu000105" "Otu000106" "Otu000107" "Otu000108" "Otu000109" "Otu000110" "Otu000112" "Otu000113" "Otu000115" "Otu000117" "Otu000119" "Otu000120" "Otu000122" "Otu000123" "Otu000124" "Otu000126" "Otu000127" "Otu000128" "Otu000133" "Otu000135" "Otu000136" "Otu000137" "Otu000139" "Otu000140" "Otu000141" "Otu000142" "Otu000143" "Otu000144" "Otu000147" "Otu000149" "Otu000150" "Otu000152" "Otu000154" "Otu000156" "Otu000158" "Otu000159" "Otu000160" "Otu000161" "Otu000162" "Otu000163" "Otu000165" "Otu000167" "Otu000168" "Otu000169" "Otu000171" "Otu000172" "Otu000173" "Otu000175" "Otu000176" "Otu000179" "Otu000182" "Otu000184" "Otu000187" "Otu000190" "Otu000191" "Otu000192" "Otu000193" "Otu000195" "Otu000196" "Otu000203" "Otu000204" "Otu000205" "Otu000209" "Otu000210" "Otu000212" "Otu000213" "Otu000215" "Otu000216" "Otu000217" "Otu000218" "Otu000219" "Otu000220" "Otu000222" "Otu000223" "Otu000224" "Otu000225" "Otu000226" "Otu000227" "Otu000231" "Otu000232" "Otu000235" "Otu000242" "Otu000244" "Otu000247" "Otu000248" "Otu000249" "Otu000253" "Otu000254" "Otu000255" "Otu000256" "Otu000259" "Otu000261" "Otu000262" "Otu000264" "Otu000265" "Otu000266" "Otu000267" "Otu000269" "Otu000271" "Otu000273" "Otu000275" "Otu000277" "Otu000278" "Otu000279" "Otu000283" "Otu000284" "Otu000285" "Otu000290" "Otu000291" "Otu000292" "Otu000296" "Otu000297" "Otu000298" "Otu000302" "Otu000305" "Otu000309" "Otu000312" "Otu000313" "Otu000317" "Otu000319" "Otu000322" "Otu000323" "Otu000325" "Otu000326" "Otu000329" "Otu000330" "Otu000335" "Otu000336" "Otu000340" "Otu000342" "Otu000344" "Otu000346" "Otu000354" "Otu000355" "Otu000357" "Otu000358" "Otu000359" "Otu000361" "Otu000367" "Otu000368" "Otu000369" "Otu000373" "Otu000376" "Otu000379" "Otu000382" "Otu000384" "Otu000385" "Otu000387" "Otu000389" "Otu000390" "Otu000391" "Otu000392" "Otu000399" "Otu000400" "Otu000402" "Otu000403" "Otu000408" "Otu000410" "Otu000412" "Otu000416" "Otu000418" "Otu000423" "Otu000425" "Otu000427" "Otu000428" "Otu000436" "Otu000437" "Otu000441" "Otu000445" "Otu000446" "Otu000451" "Otu000453" "Otu000456" "Otu000458" "Otu000468" "Otu000469" "Otu000474" "Otu000477" "Otu000481" "Otu000487" "Otu000489" "Otu000490" "Otu000496" "Otu000506" "Otu000509" "Otu000511" "Otu000514" "Otu000515" "Otu000516" "Otu000518" "Otu000522" "Otu000532" "Otu000539" "Otu000540" "Otu000547" "Otu000553" "Otu000559" "Otu000563" "Otu000566" "Otu000570" "Otu000581" "Otu000590" "Otu000595" "Otu000601" "Otu000607" "Otu000623" "Otu000633" "Otu000636" "Otu000639" "Otu000645" "Otu000651" "Otu000655" "Otu000656" "Otu000669" "Otu000670" "Otu000672" "Otu000674" "Otu000676" "Otu000679" "Otu000680" "Otu000686" "Otu000691" "Otu000695" "Otu000730" "Otu000755" "Otu000765" "Otu000770" "Otu000778" "Otu000805" "Otu000816" "Otu000818" "Otu000828" "Otu000832" "Otu000834" "Otu000839" "Otu000842" "Otu000843" "Otu000873" "Otu000893" "Otu000898" "Otu000905" "Otu000908" "Otu000914" "Otu000937" "Otu000961" "Otu000967" "Otu000977" "Otu000999" "Otu001071" "Otu001076" "Otu001089" "Otu001124" "Otu001133" "Otu001152" "Otu001180" "Otu001202" "Otu001206" "Otu001209" "Otu001219" "Otu001225" "Otu001242" "Otu001249" "Otu001304" "Otu001325" "Otu001384" "Otu001388" "Otu001425" "Otu001470" "Otu001485" "Otu001497" "Otu001513" "Otu001568" "Otu001621" "Otu001660" "Otu001666" "Otu001677" "Otu001687" "Otu001712" "Otu001840" "Otu001915" "Otu002441" "Otu002456"
"110D2F115" 140727.197544358 37915.4003474708 1988.07342645914 2130.07867120623 16188.5979011673 16188.5979011673 22152.8181805447 23856.8811175097 16188.5979011673 9514.35139805447 14626.5402089494 284.010489494163 12496.4615377432 2556.09440544747 3692.13636342412 994.036713229572 4544.16783190661 6958.256992607 9940.36713229572 22294.8234252918 1136.04195797665 5964.22027937743 3408.12587392996 11786.4353140078 10650.3933560311 142.005244747082 0 1278.04720272374 284.010489494163 8520.3146848249 0 7242.26748210117 0 142.005244747082 0 1136.04195797665 426.015734241245 38199.410836965 0 0 3834.14160817121 0 0 0 994.036713229572 142.005244747082 0 142.005244747082 994.036713229572 0 1136.04195797665 142.005244747082 710.026223735409 4118.15209766537 22436.8286700389 284.010489494163 568.020978988327 284.010489494163 0 1278.04720272374 0 0 0 284.010489494163 5538.20454513619 3408.12587392996 6958.256992607 4402.16258715953 2840.10489494163 0 0 142.005244747082 0 284.010489494163 284.010489494163 284.010489494163 710.026223735409 284.010489494163 0 0 284.010489494163 710.026223735409 14910.5506984436 0 0 0 3266.12062918288 0 0 0 0 3408.12587392996 1562.0576922179 284.010489494163 568.020978988327 0 0 142.005244747082 284.010489494163 0 3976.14685291829 426.015734241245 0 284.010489494163 0 0 142.005244747082 0 0 2272.08391595331 0 0 142.005244747082 0 7100.26223735409 426.015734241245 0 0 568.020978988327 0 0 0 0 0 0 0 0 0 426.015734241245 0 426.015734241245 0 0 1420.05244747082 568.020978988327 0 0 142.005244747082 0 568.020978988327 142.005244747082 284.010489494163 0 142.005244747082 142.005244747082 0 4686.1730766537 426.015734241245 284.010489494163 0 568.020978988327 0 142.005244747082 142.005244747082 710.026223735409 0 0 0 10224.3776217899 1420.05244747082 568.020978988327 0 852.03146848249 0 0 1420.05244747082 0 0 0 1704.06293696498 284.010489494163 0 1562.0576922179 0 0 0 0 0 0 852.03146848249 426.015734241245 0 0 0 0 0 284.010489494163 0 142.005244747082 1420.05244747082 0 0 0 0 0 0 0 0 0 142.005244747082 142.005244747082 0 0 2130.07867120623 0 0 0 0 0 142.005244747082 142.005244747082 0 0 0 0 0 0 426.015734241245 1704.06293696498 0 0 0 1704.06293696498 142.005244747082 284.010489494163 0 0 284.010489494163 1420.05244747082 0 0 0 0 0 284.010489494163 0 568.020978988327 568.020978988327 0 0 0 0 710.026223735409 0 0 0 142.005244747082 4686.1730766537 0 0 426.015734241245 284.010489494163 0 0 2130.07867120623 0 0 568.020978988327 0 0 142.005244747082 0 0 0 142.005244747082 0 0 0 0 0 0 1136.04195797665 284.010489494163 142.005244747082 0 0 0 0 0 994.036713229572 0 0 0 0 0 0 142.005244747082 0 0 0 0 0 142.005244747082 0 0 0 0 568.020978988327 0 284.010489494163 142.005244747082 0 0 0 142.005244747082 0 0 0 142.005244747082 426.015734241245 0 284.010489494163 0 142.005244747082 994.036713229572 710.026223735409 0 142.005244747082 0 0 0 0 0 0 0 0 852.03146848249 0 0 142.005244747082 0 0 0 0 0 0 0 142.005244747082 0 142.005244747082 0 284.010489494163 0 426.015734241245 0 0 142.005244747082 0 426.015734241245 0 284.010489494163 0 0 284.010489494163 0 0 0 0 0 0 0 0
"110D2F415" 101903.843948821 32382.3705187457 182.95124586862 5122.63488432135 21771.1982583658 8964.61104756237 34394.8342233005 10794.1235062486 17746.2708492561 8964.61104756237 9513.46478516823 182.95124586862 23417.7594711833 1646.56121281758 182.95124586862 548.853737605859 7683.95232648203 1097.70747521172 2012.46370455482 3476.07367150378 731.804983474479 1280.65872108034 3476.07367150378 20124.6370455482 6220.34235953307 365.90249173724 0 0 0 9879.36727690547 0 548.853737605859 1463.60996694896 0 0 0 1280.65872108034 8415.75730995651 0 0 5671.48862192721 0 0 0 731.804983474479 0 0 0 914.756229343099 0 0 0 8049.85481821927 5488.53737605859 13355.4409484092 2927.21993389792 0 0 0 2561.31744216068 0 0 0 1097.70747521172 3659.0249173724 548.853737605859 2195.41495042344 731.804983474479 914.756229343099 0 0 0 0 182.95124586862 4024.92740910964 1097.70747521172 0 2378.36619629206 3841.97616324102 0 0 182.95124586862 2561.31744216068 0 0 174718.439804532 2195.41495042344 0 0 0 0 0 2927.21993389792 0 1097.70747521172 0 0 3841.97616324102 0 0 365.90249173724 548.853737605859 182.95124586862 0 0 0 365.90249173724 0 0 914.756229343099 0 0 0 0 182.95124586862 0 0 0 0 548.853737605859 0 0 0 0 0 0 0 0 9513.46478516823 0 0 0 0 0 548.853737605859 76290.6695272145 0 0 0 182.95124586862 0 0 182.95124586862 0 548.853737605859 0 182.95124586862 182.95124586862 0 0 0 1463.60996694896 548.853737605859 0 0 0 0 914.756229343099 4939.68363845274 0 365.90249173724 0 0 0 0 0 0 0 0 731.804983474479 1280.65872108034 0 914.756229343099 731.804983474479 0 0 0 0 0 731.804983474479 0 0 0 0 0 0 365.90249173724 0 182.95124586862 0 0 0 0 0 0 0 0 0 0 182.95124586862 1280.65872108034 0 0 0 0 0 0 0 0 0 0 0 365.90249173724 0 0 0 0 0 365.90249173724 1646.56121281758 0 365.90249173724 731.804983474479 0 0 0 0 0 182.95124586862 365.90249173724 0 0 0 0 0 0 1280.65872108034 0 0 0 0 0 0 0 0 0 0 914.756229343099 0 56348.9837275349 0 0 0 0 0 0 0 365.90249173724 0 0 0 0 2744.2686880293 0 0 0 0 0 0 0 0 0 365.90249173724 0 0 15550.8558988327 0 0 4756.73239258411 3659.0249173724 0 0 548.853737605859 0 0 0 731.804983474479 182.95124586862 0 0 0 731.804983474479 0 0 0 0 548.853737605859 0 0 0 365.90249173724 0 1829.5124586862 0 0 0 0 0 0 914.756229343099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 914.756229343099 0 0 0 0 0 0 731.804983474479 0 0 0 914.756229343099 0 1280.65872108034 182.95124586862 0 182.95124586862 0 0 0 0 0 0 0 0 0 0 0 182.95124586862 0 0 0 0 0 0 0 0
"110D2F515" 201807.562201648 70733.694906157 866.126876401923 4619.34334081025 36088.6198500801 69290.1501121538 35222.4929736782 30603.1496328679 33201.5302620737 25695.097333257 100759.426621424 0 56009.5380073243 12125.7762696269 8949.97772281987 866.126876401923 12125.7762696269 12125.7762696269 6640.30605241474 18766.0823220417 10682.2314756237 1732.25375280385 19343.5002396429 46770.8513257038 15301.574816434 1443.5447940032 0 288.708958800641 577.417917601282 23096.7167040513 0 20209.6271160449 14724.1568988327 0 288.708958800641 577.417917601282 2309.67167040513 12703.1941872282 0 0 20498.3360748455 0 0 0 7217.72397001602 0 0 0 12991.9031460288 0 1443.5447940032 0 4041.92542320897 10104.8135580224 19343.5002396429 20787.0450336461 0 288.708958800641 0 14435.447940032 0 288.708958800641 0 9527.39564042115 8372.55980521859 1443.5447940032 2598.38062920577 5196.76125841154 3464.50750560769 0 0 288.708958800641 0 1732.25375280385 3464.50750560769 1443.5447940032 0 6640.30605241474 14724.1568988327 0 288.708958800641 288.708958800641 5774.17917601282 0 0 1732.25375280385 5196.76125841154 0 0 0 0 866.126876401923 4330.63438200961 0 3753.21646440833 0 0 14435.447940032 288.708958800641 0 866.126876401923 9238.68668162051 866.126876401923 0 0 0 2598.38062920577 0 0 2887.08958800641 0 0 0 0 9527.39564042115 577.417917601282 0 0 288.708958800641 2020.96271160449 0 0 0 0 0 0 0 0 6640.30605241474 0 866.126876401923 0 0 6062.88813481346 4041.92542320897 288.708958800641 2020.96271160449 288.708958800641 0 0 866.126876401923 0 3175.79854680705 0 0 0 1732.25375280385 288.708958800641 0 0 0 12703.1941872282 0 0 0 0 0 2309.67167040513 7217.72397001602 866.126876401923 866.126876401923 0 0 0 0 2309.67167040513 0 1154.83583520256 0 1443.5447940032 288.708958800641 0 288.708958800641 866.126876401923 0 0 0 0 0 2020.96271160449 288.708958800641 0 0 0 0 0 1154.83583520256 0 577.417917601282 1443.5447940032 0 0 0 0 0 0 0 0 0 0 0 0 0 6062.88813481346 0 0 0 288.708958800641 0 0 577.417917601282 0 0 0 0 0 0 4619.34334081025 6351.5970936141 4041.92542320897 0 577.417917601282 866.126876401923 288.708958800641 0 0 0 0 577.417917601282 1732.25375280385 0 0 0 0 0 0 8083.85084641794 288.708958800641 0 0 0 0 0 0 0 0 0 0 0 288.708958800641 0 577.417917601282 0 577.417917601282 866.126876401923 0 0 288.708958800641 0 0 0 866.126876401923 0 0 0 0 0 0 0 288.708958800641 0 0 288.708958800641 0 0 0 0 0 0 1154.83583520256 0 0 0 577.417917601282 0 0 1443.5447940032 0 0 0 0 0 0 0 0 0 0 288.708958800641 866.126876401923 0 0 0 0 0 0 0 288.708958800641 0 1732.25375280385 3464.50750560769 288.708958800641 0 0 0 0 0 0 0 0 0 0 0 0 288.708958800641 0 577.417917601282 0 0 0 577.417917601282 0 0 1443.5447940032 0 0 0 0 0 0 288.708958800641 0 866.126876401923 0 0 0 0 0 0 0 0 1154.83583520256 866.126876401923 0 0 0 288.708958800641 0 0 288.708958800641 0 0 1443.5447940032
"110D2F715" 125215.244429389 16645.6773348592 1366.43619913024 2484.42945296407 7204.84541359579 18508.9994245823 18384.7779519341 9068.16750331884 49564.3675866331 7329.06688624399 26459.1736740673 0 23229.415385214 2732.87239826047 17763.6705886931 2111.76503501946 3602.42270679789 5093.08037857633 8571.28161272602 3353.97976150149 2857.09387090867 248.442945296406 1366.43619913024 10558.8251750973 5341.52332387274 0 0 0 869.550308537423 2484.42945296407 0 4099.30859739071 745.328835889219 0 0 621.107363241016 372.66441794461 5838.40921446555 0 0 2235.98650766766 0 0 0 496.885890592813 124.221472648203 0 0 3850.8656520943 0 621.107363241016 0 621.107363241016 1614.87914442664 15651.9055536736 0 0 0 124.221472648203 3478.20123414969 0 0 124.221472648203 124.221472648203 1863.32208972305 1117.99325383383 2235.98650766766 1117.99325383383 745.328835889219 0 0 0 0 124.221472648203 1242.21472648203 2235.98650766766 0 0 0 0 124.221472648203 372.66441794461 9192.38897596704 0 0 0 2857.09387090867 0 0 0 0 3478.20123414969 4720.41596063172 124.221472648203 2111.76503501946 0 0 4347.75154268711 0 0 2360.20798031586 14037.026409247 0 1242.21472648203 0 0 0 0 248.442945296406 621.107363241016 0 0 0 0 3353.97976150149 745.328835889219 0 0 0 124.221472648203 124.221472648203 0 0 0 0 0 124.221472648203 0 0 0 0 0 0 1490.65767177844 1614.87914442664 0 248.442945296406 0 0 124.221472648203 0 0 248.442945296406 0 372.66441794461 0 3229.75828885328 248.442945296406 0 0 993.771781185626 1614.87914442664 124.221472648203 0 496.885890592813 0 0 621.107363241016 6583.73805035477 0 1739.10061707485 124.221472648203 0 0 0 993.771781185626 0 4347.75154268711 0 1863.32208972305 2111.76503501946 0 869.550308537423 0 0 0 0 0 0 372.66441794461 0 0 0 0 0 0 124.221472648203 0 1863.32208972305 248.442945296406 0 0 0 0 0 0 0 0 0 0 0 0 0 2484.42945296407 0 0 0 0 0 124.221472648203 124.221472648203 0 124.221472648203 0 0 0 0 248.442945296406 6832.18099565118 1366.43619913024 0 248.442945296406 248.442945296406 869.550308537423 2857.09387090867 0 0 0 869.550308537423 0 0 0 0 1242.21472648203 124.221472648203 0 745.328835889219 248.442945296406 0 0 0 0 124.221472648203 0 0 0 0 621.107363241016 0 0 372.66441794461 869.550308537423 248.442945296406 0 2732.87239826047 0 0 248.442945296406 0 0 124.221472648203 496.885890592813 0 0 124.221472648203 372.66441794461 0 0 124.221472648203 869.550308537423 0 372.66441794461 124.221472648203 372.66441794461 124.221472648203 0 124.221472648203 0 0 248.442945296406 0 0 0 621.107363241016 0 124.221472648203 0 0 0 0 0 0 0 0 248.442945296406 0 0 0 621.107363241016 496.885890592813 0 0 0 0 124.221472648203 0 0 0 124.221472648203 1117.99325383383 0 496.885890592813 0 621.107363241016 124.221472648203 0 0 124.221472648203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.221472648203 0 0 0 0 0 0 0 372.66441794461 124.221472648203 0 745.328835889219 0 0 372.66441794461 0 0 0 248.442945296406 0 0 248.442945296406 0 0 0 0 869.550308537423 0 0 496.885890592813
"110D2F815" 94202.0891029755 16557.4910274205 1505.22645703822 2257.83968555734 7777.00336136416 16181.1844131609 12167.2471943923 11289.1984277867 19191.6373272374 5268.29259963378 41895.4697208972 376.306614259556 14048.7802656901 1003.48430469215 12041.8116563058 4139.37275685512 2634.14629981689 5268.29259963378 3386.759528336 7024.39013284504 3135.88845216297 1128.91984277867 2006.9686093843 11790.9405801328 4264.80829494163 501.742152346075 0 376.306614259556 1505.22645703822 4515.67937111467 0 7024.39013284504 1003.48430469215 0 0 1254.35538086519 376.306614259556 8404.18105179675 0 0 2132.40414747082 0 0 125.435538086519 1254.35538086519 250.871076173037 0 0 3763.06614259556 0 1630.66199512474 0 250.871076173037 2759.58183790341 8655.05212796979 2132.40414747082 125.435538086519 0 0 1756.09753321126 0 376.306614259556 125.435538086519 0 3888.50168068208 1881.53307129778 4641.11490920119 878.048766605631 1756.09753321126 0 0 0 0 250.871076173037 501.742152346075 2383.27522364386 627.177690432593 0 0 0 125.435538086519 0 21449.4770127947 0 0 0 8655.05212796979 0 0 125.435538086519 0 2759.58183790341 6773.51905667201 0 1254.35538086519 0 0 2006.9686093843 0 0 10912.8918135271 4766.55044728771 125.435538086519 627.177690432593 0 125.435538086519 0 0 0 1881.53307129778 0 0 627.177690432593 0 6522.64798049897 627.177690432593 0 0 501.742152346075 250.871076173037 0 0 0 0 0 0 0 0 376.306614259556 0 627.177690432593 0 125.435538086519 2885.01737598993 627.177690432593 0 752.613228519112 125.435538086519 0 250.871076173037 0 125.435538086519 0 376.306614259556 501.742152346075 0 6898.95459475853 0 0 0 1128.91984277867 0 0 0 1505.22645703822 627.177690432593 0 125.435538086519 20320.557170016 376.306614259556 1254.35538086519 0 0 0 0 1505.22645703822 0 2257.83968555734 0 12041.8116563058 501.742152346075 0 125.435538086519 0 0 0 0 0 0 1379.79091895171 125.435538086519 0 0 0 0 0 376.306614259556 125.435538086519 627.177690432593 0 0 0 0 0 0 0 0 0 0 0 125.435538086519 0 0 1505.22645703822 0 0 0 376.306614259556 0 0 0 125.435538086519 250.871076173037 0 0 376.306614259556 0 250.871076173037 7024.39013284504 1254.35538086519 0 0 2508.71076173037 0 1003.48430469215 0 0 0 878.048766605631 0 0 0 0 250.871076173037 0 0 2634.14629981689 0 125.435538086519 0 0 0 1128.91984277867 0 0 0 0 5770.03475197986 0 0 250.871076173037 1128.91984277867 0 0 1505.22645703822 0 0 1003.48430469215 0 0 125.435538086519 0 0 0 1128.91984277867 376.306614259556 0 0 0 1756.09753321126 0 6522.64798049897 0 125.435538086519 125.435538086519 0 125.435538086519 0 0 376.306614259556 0 0 0 250.871076173037 0 0 125.435538086519 0 0 0 0 0 0 0 376.306614259556 0 0 250.871076173037 250.871076173037 627.177690432593 752.613228519112 0 0 0 0 0 0 0 0 878.048766605631 0 501.742152346075 0 250.871076173037 752.613228519112 0 0 0 376.306614259556 0 0 0 0 0 0 0 1003.48430469215 0 0 125.435538086519 0 0 0 0 0 0 0 0 0 0 125.435538086519 878.048766605631 627.177690432593 1003.48430469215 0 0 125.435538086519 0 752.613228519112 0 250.871076173037 0 0 1254.35538086519 0 0 0 0 0 0 0 501.742152346075
"110D2F915" 135530.366035958 30992.728945182 1005.16958741131 2680.45223309682 7706.30017015335 16082.7133985809 26469.4658018311 15245.0720757382 10889.3371969558 4858.31967248798 27139.5788601053 0 12229.5633135042 4858.31967248798 8878.99802213321 6031.01752446784 4020.67834964523 5695.96099533074 8208.88496385901 7036.18711187915 2010.33917482261 2177.86743939116 2512.92396852827 8711.46975756466 7371.24364101625 0 0 0 4188.20661421378 1675.28264568551 0 14742.4872820325 1340.22611654841 0 167.528264568551 2177.86743939116 1340.22611654841 20605.9765419318 0 0 2512.92396852827 0 0 0 2177.86743939116 0 0 0 3350.56529137102 0 335.056529137102 0 335.056529137102 2680.45223309682 16082.7133985809 167.528264568551 0 0 0 2010.33917482261 0 0 0 335.056529137102 3350.56529137102 3685.62182050813 7873.8284347219 2847.98049766537 1675.28264568551 0 0 0 0 0 670.113058274205 1340.22611654841 4355.73487878233 0 0 0 335.056529137102 1005.16958741131 20270.9200127947 0 0 0 10554.2806678187 0 0 0 0 5695.96099533074 1340.22611654841 0 3853.15008507668 0 0 1340.22611654841 0 0 26134.409272694 3518.09355593957 0 2010.33917482261 0 335.056529137102 0 0 0 1507.75438111696 0 0 502.584793705653 0 10386.7524032502 502.584793705653 0 0 0 0 0 0 0 0 0 0 0 0 1507.75438111696 0 335.056529137102 0 0 837.641322842756 2345.39570395972 0 837.641322842756 502.584793705653 0 335.056529137102 0 0 0 167.528264568551 0 0 3853.15008507668 0 0 0 502.584793705653 0 0 0 502.584793705653 0 0 167.528264568551 62990.6274777752 502.584793705653 1005.16958741131 0 0 0 0 1005.16958741131 0 502.584793705653 0 6533.6023181735 3183.03702680247 0 502.584793705653 0 0 0 0 0 0 335.056529137102 0 0 0 0 0 0 502.584793705653 0 335.056529137102 167.528264568551 0 0 0 0 0 0 0 0 0 167.528264568551 335.056529137102 0 0 4690.79140791943 502.584793705653 0 0 167.528264568551 0 0 335.056529137102 0 167.528264568551 0 335.056529137102 335.056529137102 0 670.113058274205 10889.3371969558 502.584793705653 0 0 14407.4307528954 335.056529137102 167.528264568551 0 0 0 4858.31967248798 0 0 0 0 0 167.528264568551 0 4188.20661421378 335.056529137102 0 0 0 0 1507.75438111696 0 0 0 335.056529137102 18260.5808379721 0 0 837.641322842756 335.056529137102 0 335.056529137102 1340.22611654841 0 0 1005.16958741131 0 0 1172.69785197986 0 0 0 1675.28264568551 167.528264568551 0 0 0 1340.22611654841 167.528264568551 3183.03702680247 1172.69785197986 0 0 0 0 0 0 1675.28264568551 0 0 0 1172.69785197986 0 0 0 0 0 0 0 0 0 0 0 0 0 335.056529137102 0 167.528264568551 2177.86743939116 0 0 0 0 0 335.056529137102 0 0 502.584793705653 0 1005.16958741131 0 0 2847.98049766537 0 0 0 0 0 0 0 0 0 0 0 502.584793705653 0 0 167.528264568551 0 0 0 0 0 0 0 0 0 0 837.641322842756 335.056529137102 335.056529137102 1842.81091025406 0 0 502.584793705653 0 837.641322842756 0 167.528264568551 0 0 502.584793705653 0 167.528264568551 0 0 0 0 0 0
"110M2F115" 451869.733257038 196120.781135271 40994.3675532158 25621.4797207599 76864.4391622797 29348.2404074159 0 76864.4391622797 30745.7756649119 15372.8878324559 83852.1154497597 5124.29594415198 18633.8034332799 7919.36645914397 33540.8461799039 5124.29594415198 2329.22542915999 20963.0288624399 5124.29594415198 77330.2842481117 13975.3525749599 120188.032144656 30745.7756649119 8385.21154497597 23292.2542915999 3260.91560082399 1397.53525749599 12111.972231632 0 31211.6207507439 0 42391.9028107118 0 465.845085831998 465.845085831998 4658.45085831998 2329.22542915999 0 0 931.690171663996 16304.5780041199 0 0 0 14907.0427466239 1397.53525749599 0 0 15838.7329182879 0 34472.5363515679 931.690171663996 465.845085831998 5590.14102998398 11180.282059968 0 9782.74680247196 0 0 3260.91560082399 0 0 6521.83120164797 1397.53525749599 59628.1709864958 9316.90171663996 3726.76068665599 3260.91560082399 1863.38034332799 0 4192.60577248798 1397.53525749599 0 3260.91560082399 5590.14102998398 931.690171663996 0 465.845085831998 6987.67628747997 41926.0577248798 0 5590.14102998398 7453.52137331197 0 0 931.690171663996 9316.90171663996 0 0 931.690171663996 0 2795.07051499199 6521.83120164797 1863.38034332799 465.845085831998 0 0 1863.38034332799 1397.53525749599 1863.38034332799 5590.14102998398 465.845085831998 465.845085831998 0 0 0 0 0 0 6987.67628747997 465.845085831998 0 7453.52137331197 465.845085831998 25621.4797207599 0 0 0 931.690171663996 465.845085831998 0 0 0 0 0 0 0 465.845085831998 0 0 1863.38034332799 0 465.845085831998 6521.83120164797 1397.53525749599 0 1397.53525749599 465.845085831998 465.845085831998 0 0 4192.60577248798 0 7919.36645914397 0 0 7919.36645914397 1863.38034332799 0 0 0 0 0 2329.22542915999 0 0 1863.38034332799 0 0 3260.91560082399 6055.98611581598 0 0 0 931.690171663996 7919.36645914397 465.845085831998 1397.53525749599 0 0 0 0 4658.45085831998 2795.07051499199 0 5590.14102998398 0 0 0 0 465.845085831998 0 0 1863.38034332799 0 0 4192.60577248798 0 1863.38034332799 1397.53525749599 0 0 0 0 0 0 0 0 0 931.690171663996 931.690171663996 0 0 2329.22542915999 0 0 0 0 0 19565.4936049439 0 0 0 0 0 0 0 465.845085831998 5590.14102998398 0 465.845085831998 0 0 0 2329.22542915999 0 465.845085831998 1863.38034332799 465.845085831998 1397.53525749599 0 931.690171663996 465.845085831998 0 931.690171663996 0 0 1397.53525749599 2329.22542915999 0 465.845085831998 0 2329.22542915999 0 0 3260.91560082399 0 0 465.845085831998 0 0 1397.53525749599 465.845085831998 0 931.690171663996 0 0 0 0 465.845085831998 931.690171663996 2795.07051499199 0 0 0 1863.38034332799 2795.07051499199 0 931.690171663996 0 0 0 0 0 0 0 465.845085831998 0 0 465.845085831998 0 0 0 0 465.845085831998 0 0 0 0 0 0 0 0 0 465.845085831998 465.845085831998 0 2795.07051499199 0 0 0 0 0 0 465.845085831998 0 465.845085831998 0 0 931.690171663996 931.690171663996 0 0 0 0 8385.21154497597 931.690171663996 0 0 0 0 931.690171663996 1863.38034332799 465.845085831998 0 0 0 0 465.845085831998 8385.21154497597 0 465.845085831998 0 0 0 0 0 0 0 0 0 0 0 0 1397.53525749599 0 465.845085831998 0 0 465.845085831998 931.690171663996 931.690171663996 931.690171663996 0 1397.53525749599 0 931.690171663996 0 0 0 0 0
