"Otu000001" "Otu000007" "Otu000009" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000030" "Otu000041" "Otu000046" "Otu000056" "Otu000070" "Otu000075" "Otu000077" "Otu000082" "Otu000083" "Otu000093" "Otu000110" "Otu000136" "Otu000137" "Otu000142" "Otu000176" "Otu000215" "Otu000227" "Otu000231" "Otu000256" "Otu000262" "Otu000385" "Otu000387" "Otu000390" "Otu000441" "Otu000674" "Otu000775" "Otu001028" "Otu001677" "Otu002522"
"110D2F115" 0.418937805730259 0.132599580712788 0.0319706498951782 0.0251572327044025 0.0386093640810622 0.0457721872816212 0.0415793151642208 0.0291754018169113 0.00296995108315863 0.0169461914744934 0.0131027253668763 0.00209643605870021 0.0220125786163522 0.0674353598881901 0.00192173305380853 0.0386093640810622 0.00296995108315863 0.000174703004891684 0.00454227812718379 0.00349406009783368 0.00279524807826695 0.00593990216631726 0.00296995108315863 0 0.00279524807826695 0.00454227812718379 0.000174703004891684 0.0202655485674354 0.00698812019566737 0.00209643605870021 0 0.000349406009783368 0.000698812019566737 0.00908455625436758 0 0.00122292103424179 0 0 0
"110D2F415" 0.224493361285814 0.216631726065688 0.0172955974842767 0.0269042627533194 0.0604472396925227 0.0487421383647799 0.0111809923130678 0.010482180293501 0.000698812019566737 0.00296995108315863 0.00157232704402516 0 0.000174703004891684 0.0136268343815514 0 0.0139762403913347 0.00174703004891684 0 0.000349406009783368 0.00262054507337526 0.316561844863732 0 0.00262054507337526 0.000873515024458421 0.0115303983228512 0.000349406009783368 0.000174703004891684 0.00733752620545073 0.00227113906359189 0.000873515024458421 0 0 0.00139762403913347 0.0010482180293501 0.000524109014675052 0.000349406009783368 0 0 0.000174703004891684
"110D2F515" 0.293326345213138 0.150244584206848 0.0789657582110412 0.0316212438853948 0.165793151642208 0.0854297693920335 0.0426275331935709 0.0158979734451433 0 0.0192173305380853 0.00209643605870021 0.000524109014675052 0.023759608665269 0.0111809923130678 0.00122292103424179 0.0146750524109015 0.0193920335429769 0.000174703004891684 0 0.0103074772886094 0.00314465408805031 0.000524109014675052 0.00821104122990915 0.000698812019566737 0.00576519916142558 0.0010482180293501 0.0010482180293501 0.00698812019566737 0.003319357092942 0.000349406009783368 0 0 0.000524109014675052 0.000524109014675052 0 0 0 0.000524109014675052 0.000873515024458421
"110D2F715" 0.328616352201258 0.0931167016072676 0.0359888190076869 0.0894479385045423 0.0838574423480084 0.0759958071278826 0.0524109014675052 0.0426275331935709 0.00559049615653389 0.0141509433962264 0.000873515024458421 0 0.0136268343815514 0.0136268343815514 0.0010482180293501 0.0248078266946191 0.0197414395527603 0.000174703004891684 0.00227113906359189 0.00646401118099231 0.00279524807826695 0.00174703004891684 0.0324947589098532 0.00174703004891684 0.0120545073375262 0.00506638714185884 0.000873515024458421 0.0256813417190776 0.00628930817610063 0.00192173305380853 0 0 0.00157232704402516 0.00209643605870021 0 0.00122292103424179 0 0 0
"110D2F815" 0.280922431865828 0.0833333333333333 0.0317959468902865 0.0393081761006289 0.119496855345912 0.0599231306778477 0.0707547169811321 0.0358141160027953 0.00978336827393431 0.0134521313766597 0.003319357092942 0.0010482180293501 0.0263801537386443 0.0221872816212439 0.00314465408805031 0.0150244584206848 0.0101327742837177 0.00192173305380853 0.00821104122990915 0.00471698113207547 0.00471698113207547 0.0193920335429769 0.00943396226415094 0.0010482180293501 0.00821104122990915 0.0117051013277428 0.000349406009783368 0.0447239692522711 0.0419287211740042 0.00139762403913347 0 0 0.00192173305380853 0.0110062893081761 0 0.00209643605870021 0.0010482180293501 0.000349406009783368 0
"110D2F915" 0.305380852550664 0.0728511530398323 0.0288259958071279 0.0260307477288609 0.0534591194968553 0.0375611460517121 0.069706498951782 0.0333682739343117 0.00908455625436757 0.0113556953179595 0.00366876310272537 0.000698812019566737 0.0363382250174703 0.0328441649196366 0.000873515024458421 0.0249825296995108 0.00209643605870021 0.000349406009783368 0.0310971348707198 0.00524109014675052 0.00471698113207547 0.037037037037037 0.0120545073375262 0 0.0148497554157932 0.00506638714185884 0.000349406009783368 0.0810621942697414 0.0300489168413697 0.00139762403913347 0 0 0.000174703004891684 0.0209643605870021 0 0.003319357092942 0.00227113906359189 0.000873515024458421 0
"110M2F115" 0.452131376659679 0.147099930118798 0.0209643605870021 0.019916142557652 0.0777428371767994 0.0202655485674354 0.0141509433962264 0.0317959468902865 0.00296995108315863 0.0174703004891684 0.0700559049615653 0.00716282320055905 0.0417540181691125 0 0.0125786163522013 0.00856044723969252 0.0127533193570929 0.000174703004891684 0.00576519916142558 0.00960866526904263 0.00244584206848358 0.00296995108315863 0.00209643605870021 0.000698812019566737 0.00244584206848358 0.0043675751222921 0 0.00209643605870021 0.00314465408805031 0.00157232704402516 0.000698812019566737 0 0.00279524807826695 0.00139762403913347 0 0.000349406009783368 0 0 0
"110M2F415" 0.265024458420685 0.132424877707897 0.0499650593990217 0.0260307477288609 0.0936408106219427 0.0587002096436059 0.0310971348707198 0.019916142557652 0.000349406009783368 0.00821104122990915 0.000698812019566737 0 0.040356394129979 0.00873515024458421 0.00227113906359189 0.0179944095038435 0.0246331236897275 0 0.0010482180293501 0.0106568832983927 0.181167016072676 0.00139762403913347 0.00366876310272537 0.000349406009783368 0.00576519916142558 0.00139762403913347 0.000174703004891684 0.00943396226415094 0.000873515024458421 0.00122292103424179 0 0 0.000174703004891684 0.000873515024458421 0.000873515024458421 0.000349406009783368 0 0 0.000524109014675052
"110M2F515" 0.244584206848358 0.145702306079665 0.0468204053109713 0.0426275331935709 0.105870020964361 0.0510132774283718 0.030398322851153 0.0223619846261356 0.000174703004891684 0.00838574423480084 0.00209643605870021 0 0.0207896575821104 0.00506638714185884 0.000524109014675052 0.0136268343815514 0.0354647099930119 0.000174703004891684 0.000174703004891684 0.0188679245283019 0.182215234102027 0.000524109014675052 0.003319357092942 0.000524109014675052 0.00454227812718379 0.00192173305380853 0.000873515024458421 0.00698812019566736 0.00139762403913347 0.000524109014675052 0 0 0.0010482180293501 0.000174703004891684 0 0.000174703004891684 0 0 0.0010482180293501
"110M2F715" 0.32879105520615 0.0679594689028651 0.0244584206848358 0.0213137665967855 0.178197064989518 0.0414046121593291 0.0106568832983927 0.0241090146750524 0 0.0176450034940601 0.036512928022362 0.000873515024458421 0.019916142557652 0.003319357092942 0.0043675751222921 0.00593990216631726 0.0387840670859539 0 0.00157232704402516 0.0988819007686932 0.000698812019566737 0.00489168413696716 0.0188679245283019 0.000524109014675052 0.00349406009783368 0.013801537386443 0 0.0193920335429769 0.0110062893081761 0.000873515024458421 0 0.000174703004891684 0.000698812019566737 0.000524109014675052 0 0.000174703004891684 0 0.000174703004891684 0
"110S2F115" 0.420684835779175 0.122641509433962 0.0246331236897275 0.0260307477288609 0.0681341719077568 0.0583508036338225 0.00890985324947589 0.0255066387141859 0.000873515024458421 0.0155485674353599 0.033717679944095 0.00559049615653389 0.0305730258560447 0.000524109014675052 0.0732005590496157 0.00856044723969252 0.0295248078266946 0 0.0043675751222921 0.0151991614255765 0.00227113906359189 0.00209643605870021 0.00209643605870021 0.000349406009783368 0.000174703004891684 0.00925925925925926 0 0.00227113906359189 0.00471698113207547 0.000174703004891684 0.00209643605870021 0.000174703004891684 0.00122292103424179 0.000524109014675052 0 0 0 0 0
"110S2F415" 0.277253668763103 0.128406708595388 0.0377358490566038 0.030398322851153 0.0856044723969252 0.0504891684136967 0.0246331236897275 0.0223619846261356 0.000174703004891684 0.00856044723969252 0.00262054507337526 0 0.0428022361984626 0.0131027253668763 0.00244584206848358 0.0218378756114605 0.0124039133473096 0 0.000698812019566737 0.00716282320055905 0.200733752620545 0.0010482180293501 0.00314465408805031 0.000174703004891684 0.00419287211740042 0.00227113906359189 0.000873515024458421 0.00873515024458421 0.00174703004891684 0.000174703004891684 0 0.000349406009783368 0.000174703004891684 0.00209643605870021 0.000698812019566737 0.00157232704402516 0 0.000524109014675052 0.00279524807826695
