OTU,Muskegon_HNA,Inland_HNA,Michigan_HNA,RL_score,lake
Otu000277,NA,NA,NA,NA,NA
Otu000160,NA,NA,NA,NA,NA
Otu000471,NA,NA,NA,NA,NA
Otu000517,NA,NA,NA,NA,NA
Otu000050,NA,NA,NA,NA,NA
Otu000193,NA,NA,NA,NA,NA
Otu000099,NA,NA,NA,NA,NA
Otu000203,NA,NA,NA,NA,NA
Otu000172,NA,NA,NA,NA,NA
Otu000456,NA,NA,NA,NA,NA
Otu002374,NA,NA,NA,NA,NA
Otu000218,NA,NA,NA,NA,NA
Otu000985,NA,NA,NA,NA,NA
Otu001273,NA,NA,NA,NA,NA
Otu000893,NA,NA,NA,NA,NA
Otu000259,NA,NA,NA,NA,NA
Otu000223,NA,NA,NA,NA,NA
Otu000240,NA,NA,NA,NA,NA
Otu001210,NA,NA,NA,NA,NA
Otu000749,NA,NA,NA,NA,NA
Otu000898,NA,NA,NA,NA,NA
Otu001329,NA,NA,NA,NA,NA
Otu000163,NA,NA,NA,NA,NA
Otu000408,NA,NA,NA,NA,NA
Otu000460,NA,NA,NA,NA,NA
Otu000144,NA,NA,NA,NA,NA
Otu000014,NA,NA,NA,NA,NA
Otu000090,NA,NA,NA,NA,NA
Otu000917,NA,NA,NA,NA,NA
Otu000536,NA,NA,NA,NA,NA
Otu000159,NA,NA,NA,NA,NA
Otu000154,NA,NA,NA,NA,NA
Otu000796,NA,NA,NA,NA,NA
Otu000425,NA,NA,NA,NA,NA
Otu001018,NA,NA,NA,NA,NA
Otu000132,NA,NA,NA,NA,NA
Otu001366,NA,NA,NA,NA,NA
Otu000681,NA,NA,NA,NA,NA
Otu000392,NA,NA,NA,NA,NA
Otu000422,NA,NA,NA,NA,NA
Otu001664,NA,NA,NA,NA,NA
Otu000084,NA,NA,NA,NA,NA
Otu001092,NA,0.276,NA,0.276,Inland
Otu000363,NA,0.152,NA,0.152,Inland
Otu000369,NA,0.382,NA,0.382,Inland
Otu000022,NA,0.23,NA,0.23,Inland
Otu000717,NA,0.274,NA,0.274,Inland
Otu001668,NA,0.362,NA,0.362,Inland
Otu000619,NA,0.196,NA,0.196,Inland
Otu001821,NA,0.15,NA,0.15,Inland
Otu000151,NA,0.132,NA,0.132,Inland
Otu000664,NA,0.304,NA,0.304,Inland
Otu002159,NA,0.186,NA,0.186,Inland
Otu000250,NA,0.202,NA,0.202,Inland
Otu001087,NA,0.24,NA,0.24,Inland
Otu000580,NA,0.224,NA,0.224,Inland
Otu000571,NA,0.19,NA,0.19,Inland
Otu000973,NA,0.132,NA,0.132,Inland
Otu000792,NA,0.376,NA,0.376,Inland
Otu000282,NA,0.234,NA,0.234,Inland
Otu000321,NA,0.14,NA,0.14,Inland
Otu000803,NA,0.21,NA,0.21,Inland
Otu001288,NA,0.26,NA,0.26,Inland
Otu000526,NA,0.148,NA,0.148,Inland
Otu000227,NA,0.226,NA,0.226,Inland
Otu000574,NA,0.154,NA,0.154,Inland
Otu001038,NA,0.14,NA,0.14,Inland
Otu000346,NA,0.26,NA,0.26,Inland
Otu001656,NA,0.21,NA,0.21,Inland
Otu001533,NA,0.222,NA,0.222,Inland
Otu000285,NA,0.19,NA,0.19,Inland
Otu001552,NA,0.142,NA,0.142,Inland
Otu001863,NA,0.188,NA,0.188,Inland
Otu000168,NA,0.194,NA,0.194,Inland
Otu001140,NA,0.21,NA,0.21,Inland
Otu000389,NA,0.26,NA,0.26,Inland
Otu000711,NA,0.164,NA,0.164,Inland
Otu000638,NA,0.154,NA,0.154,Inland
Otu000441,NA,0.16,NA,0.16,Inland
Otu001107,NA,0.142,NA,0.142,Inland
Otu000207,NA,0.222,NA,0.222,Inland
Otu000511,NA,0.316,NA,0.316,Inland
Otu000247,NA,0.142,NA,0.142,Inland
Otu000745,NA,0.134,NA,0.134,Inland
Otu000329,NA,0.152,NA,0.152,Inland
Otu001498,NA,0.178,NA,0.178,Inland
Otu000066,NA,0.158,NA,0.158,Inland
Otu000523,NA,NA,NA,NA,NA
Otu000120,NA,NA,NA,NA,NA
Otu000269,NA,NA,NA,NA,NA
Otu000053,NA,NA,NA,NA,NA
Otu001301,NA,NA,NA,NA,NA
Otu000108,NA,NA,NA,NA,NA
Otu000067,NA,NA,NA,NA,NA
Otu000307,NA,NA,NA,NA,NA
Otu000501,NA,NA,NA,NA,NA
Otu000637,NA,NA,NA,NA,NA
Otu001215,NA,NA,NA,NA,NA
Otu000555,NA,NA,NA,NA,NA
Otu000006,NA,NA,NA,NA,NA
Otu002163,NA,NA,NA,NA,NA
Otu001341,NA,NA,NA,NA,NA
Otu001414,NA,NA,NA,NA,NA
Otu000582,NA,NA,NA,NA,NA
Otu000297,NA,NA,NA,NA,NA
Otu000650,NA,NA,NA,NA,NA
Otu000140,NA,NA,NA,NA,NA
Otu000378,NA,NA,NA,NA,NA
Otu000093,NA,NA,NA,NA,NA
Otu000274,NA,NA,NA,NA,NA
Otu000597,NA,NA,NA,NA,NA
Otu000105,NA,NA,NA,NA,NA
Otu000660,NA,NA,NA,NA,NA
Otu000189,NA,NA,NA,NA,NA
Otu001643,NA,NA,NA,NA,NA
Otu001134,NA,NA,NA,NA,NA
Otu002185,NA,NA,NA,NA,NA
Otu000073,NA,NA,NA,NA,NA
Otu001709,NA,NA,NA,NA,NA
Otu000706,NA,NA,NA,NA,NA
Otu001250,NA,NA,NA,NA,NA
Otu000222,NA,NA,NA,NA,NA
Otu000315,NA,NA,NA,NA,NA
Otu000311,NA,NA,NA,NA,NA
Otu000856,NA,NA,NA,NA,NA
Otu000358,NA,NA,NA,NA,NA
Otu001793,NA,NA,NA,NA,NA
Otu001175,NA,NA,NA,NA,NA
Otu000156,NA,NA,NA,NA,NA
Otu000579,NA,NA,NA,NA,NA
Otu000680,NA,NA,NA,NA,NA
Otu001645,NA,NA,NA,NA,NA
Otu000720,NA,NA,NA,NA,NA
Otu000522,NA,NA,NA,NA,NA
Otu000401,NA,NA,NA,NA,NA
Otu001118,NA,NA,NA,NA,NA
Otu002596,NA,NA,NA,NA,NA
Otu002082,NA,NA,NA,NA,NA
Otu001707,NA,NA,NA,NA,NA
Otu000634,NA,NA,NA,NA,NA
Otu000216,NA,NA,0.264,0.264,Michigan
Otu000025,NA,NA,0.362,0.362,Michigan
Otu000081,NA,NA,0.356,0.356,Michigan
Otu000359,NA,NA,0.288,0.288,Michigan
Otu000539,NA,NA,0.264,0.264,Michigan
Otu001568,NA,NA,0.288,0.288,Michigan
Otu000249,NA,NA,0.358,0.358,Michigan
Otu000225,NA,NA,0.26,0.26,Michigan
Otu000330,NA,NA,0.274,0.274,Michigan
Otu001497,NA,NA,0.26,0.26,Michigan
Otu000540,NA,NA,NA,NA,NA
Otu001300,NA,NA,NA,NA,NA
