OTU,hex,Phylum
Otu002374,#0000FF,Actinobacteria
Otu000218,#6495ED,Bacteroidetes
Otu000985,#FFBBFF,Betaproteobacteria
Otu001273,#6495ED,Bacteroidetes
Otu000893,#B3B3B3,Bacteria_unclassified
Otu000259,#A020F0,Verrucomicrobia
Otu000223,#FF4500,Alphaproteobacteria
Otu000240,#00FFFF,Gammaproteobacteria
Otu001210,#ADFF2F,Proteobacteria_unclassified
Otu000749,#6495ED,Bacteroidetes
Otu000898,#B3B3B3,Bacteria_unclassified
Otu001329,#B3B3B3,Bacteria_unclassified
Otu000163,#FF4500,Alphaproteobacteria
Otu000408,#A020F0,Verrucomicrobia
Otu000460,#A020F0,Verrucomicrobia
Otu000144,#A020F0,Verrucomicrobia
Otu000014,#32CD32,Cyanobacteria
Otu000090,#FFBBFF,Betaproteobacteria
Otu000917,#FFBBFF,Betaproteobacteria
Otu000536,#00FFFF,Gammaproteobacteria
Otu000159,#6495ED,Bacteroidetes
Otu000154,#A020F0,Verrucomicrobia
Otu000796,#E0E0E0,unknown_unclassified
Otu000425,#B3B3B3,Bacteria_unclassified
Otu001018,#FFBBFF,Betaproteobacteria
Otu000132,#FF4500,Alphaproteobacteria
Otu001366,#FFBBFF,Betaproteobacteria
Otu000681,#6B8E23,Deltaproteobacteria
Otu000392,#6495ED,Bacteroidetes
Otu000422,#6495ED,Bacteroidetes
Otu001664,#E0E0E0,unknown_unclassified
Otu000084,#6495ED,Bacteroidetes
Otu001092,#6495ED,Bacteroidetes
Otu000363,#6495ED,Bacteroidetes
Otu000369,#FF4500,Alphaproteobacteria
Otu000022,#FF4500,Alphaproteobacteria
Otu000717,#FF82AB,Lentisphaerae
Otu001668,#FFEFD5,Firmicutes
Otu000619,#FF00FF,Chlorobi
Otu001821,#FFEFD5,Firmicutes
Otu000151,#A020F0,Verrucomicrobia
Otu000664,#6495ED,Bacteroidetes
Otu002159,#00FFFF,Gammaproteobacteria
Otu000250,#FF00FF,Chlorobi
Otu001087,#ADFF2F,Proteobacteria_unclassified
Otu000580,#6B8E23,Deltaproteobacteria
Otu000571,#FFC125,Chloroflexi
Otu000973,#6495ED,Bacteroidetes
Otu000792,#E0E0E0,unknown_unclassified
Otu000282,#32CD32,Cyanobacteria
Otu000321,#6495ED,Bacteroidetes
Otu000803,#CD0000,Epsilonproteobacteria
Otu001288,#B3B3B3,Bacteria_unclassified
Otu000526,#6495ED,Bacteroidetes
Otu000227,#FFFF00,Gemmatimonadetes
Otu000574,#6495ED,Bacteroidetes
Otu001038,#FFBBFF,Betaproteobacteria
Otu000346,#FFBBFF,Betaproteobacteria
Otu001656,#A020F0,Verrucomicrobia
Otu001533,#E0E0E0,unknown_unclassified
Otu000285,#6495ED,Bacteroidetes
Otu001552,#E0E0E0,unknown_unclassified
Otu001863,#ADFF2F,Proteobacteria_unclassified
Otu000168,#FF4500,Alphaproteobacteria
Otu001140,#B3B3B3,Bacteria_unclassified
Otu000389,#ADFF2F,Proteobacteria_unclassified
Otu000711,#6495ED,Bacteroidetes
Otu000638,#A020F0,Verrucomicrobia
Otu000441,#A020F0,Verrucomicrobia
