OTU,Muskegon_LNA,Inland_LNA,Michigan_LNA,RL_score,lake
Otu000163,0.098,NA,NA,0.098,Muskegon
Otu000408,0.106,NA,NA,0.106,Muskegon
Otu000460,0.094,NA,NA,0.094,Muskegon
Otu000144,0.098,NA,NA,0.098,Muskegon
Otu000014,0.094,NA,NA,0.094,Muskegon
Otu000090,0.172,NA,NA,0.172,Muskegon
Otu000917,0.154,NA,NA,0.154,Muskegon
Otu000536,0.116,NA,NA,0.116,Muskegon
Otu000159,0.194,NA,NA,0.194,Muskegon
Otu000154,0.11,NA,NA,0.11,Muskegon
Otu000796,0.114,NA,NA,0.114,Muskegon
Otu000425,0.092,NA,NA,0.092,Muskegon
Otu001018,0.102,NA,NA,0.102,Muskegon
Otu000132,0.22,NA,NA,0.22,Muskegon
Otu001366,0.2,NA,NA,0.2,Muskegon
Otu000681,0.13,NA,NA,0.13,Muskegon
Otu000392,0.096,0.166,NA,0.131,Muskegon-Inland
Otu000422,0.184,NA,NA,0.184,Muskegon
Otu001664,0.096,NA,NA,0.096,Muskegon
Otu000084,0.1,0.144,NA,0.122,Muskegon-Inland
Otu001092,NA,NA,NA,NA,NA
Otu000363,NA,NA,NA,NA,NA
Otu000369,NA,0.296,NA,0.296,Inland
Otu000022,NA,NA,NA,NA,NA
Otu000717,NA,NA,NA,NA,NA
Otu001668,NA,NA,NA,NA,NA
Otu000619,NA,0.194,NA,0.194,Inland
Otu001821,NA,NA,NA,NA,NA
Otu000151,NA,NA,NA,NA,NA
Otu000664,NA,NA,NA,NA,NA
Otu002159,NA,NA,NA,NA,NA
Otu000250,NA,NA,NA,NA,NA
Otu001087,NA,0.228,NA,0.228,Inland
Otu000580,NA,NA,NA,NA,NA
Otu000571,NA,NA,NA,NA,NA
Otu000973,NA,NA,NA,NA,NA
Otu000792,NA,NA,NA,NA,NA
Otu000282,NA,0.228,NA,0.228,Inland
Otu000321,NA,0.164,NA,0.164,Inland
Otu000803,NA,NA,NA,NA,NA
Otu001288,NA,NA,NA,NA,NA
Otu000526,NA,NA,NA,NA,NA
Otu000227,NA,NA,NA,NA,NA
Otu000574,NA,NA,NA,NA,NA
Otu001038,NA,NA,NA,NA,NA
Otu000346,NA,0.234,NA,0.234,Inland
Otu001656,NA,NA,NA,NA,NA
Otu001533,NA,0.328,NA,0.328,Inland
Otu000285,NA,NA,NA,NA,NA
Otu001552,NA,NA,NA,NA,NA
Otu001863,NA,NA,NA,NA,NA
Otu000168,NA,NA,0.428,0.428,Michigan
Otu001140,NA,NA,NA,NA,NA
Otu000389,NA,NA,NA,NA,NA
Otu000711,NA,0.11,NA,0.11,Inland
