"Otu000001" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000030" "Otu000041" "Otu000046" "Otu000048" "Otu000056" "Otu000070" "Otu000075" "Otu000077" "Otu000082" "Otu000083" "Otu000086" "Otu000087" "Otu000088" "Otu000093" "Otu000106" "Otu000110" "Otu000117" "Otu000136" "Otu000137" "Otu000142" "Otu000154" "Otu000162" "Otu000176" "Otu000184" "Otu000210" "Otu000215" "Otu000227" "Otu000231" "Otu000256" "Otu000262" "Otu000273" "Otu000322" "Otu000379" "Otu000385" "Otu000387" "Otu000390" "Otu000436" "Otu000441" "Otu000509" "Otu000547" "Otu000674" "Otu000755" "Otu000775" "Otu000908" "Otu000977" "Otu001028" "Otu001054" "Otu001219" "Otu001677" "Otu002522"
"110D2F115" 0.408106219426974 0.104472396925227 0.0319706498951782 0.0281271837875611 0.0251572327044025 0.0386093640810622 0.039832285115304 0.0415793151642208 0.00856044723969252 0.00296995108315863 0.0169461914744934 0.0127533193570929 0.00209643605870021 0.0220125786163522 0.000873515024458421 0.0674353598881901 0.00192173305380853 0.0386093640810622 0.00296995108315863 0.000174703004891684 0.00454227812718379 0.00471698113207547 0.0108315863032844 0.00908455625436758 0.00349406009783368 0.00122292103424179 0.000174703004891684 0.000349406009783368 0.00593990216631726 0.00296995108315863 0 0.00593990216631726 0.003319357092942 0.00279524807826695 0 0.00139762403913347 0.00454227812718379 0.000174703004891684 0.0202655485674354 0.00698812019566737 0.00209643605870021 0.000873515024458421 0.000349406009783368 0 0 0.000349406009783368 0.000698812019566737 0 0.00908455625436758 0.00122292103424179 0 0 0 0 0 0.00139762403913347 0 0 0 0 0
"110D2F415" 0.219776380153739 0.169986023759609 0.0172955974842767 0.0466457023060797 0.0269042627533194 0.0604472396925227 0.0452480782669462 0.0111809923130678 0.00174703004891684 0.000698812019566737 0.00296995108315863 0.00157232704402516 0 0.000174703004891684 0.000698812019566737 0.0136268343815514 0 0.0139762403913347 0.00174703004891684 0 0.000349406009783368 0.00279524807826695 0.00471698113207547 0.00209643605870021 0.00262054507337526 0.000524109014675052 0.311670160726765 0 0 0.00262054507337526 0.000873515024458421 0.00349406009783368 0.000174703004891684 0.0115303983228512 0 0.00244584206848358 0.000349406009783368 0.000174703004891684 0.00733752620545073 0.00227113906359189 0.000873515024458421 0.00122292103424179 0.00122292103424179 0 0 0 0.00139762403913347 0 0.0010482180293501 0 0 0.000524109014675052 0 0.000349406009783368 0 0 0 0 0.00244584206848358 0 0.000174703004891684
"110D2F515" 0.290705800139762 0.119671558350804 0.0789657582110412 0.030398322851153 0.0316212438853948 0.165793151642208 0.0740740740740741 0.0426275331935709 0.00733752620545073 0 0.0192173305380853 0.00192173305380853 0.000524109014675052 0.023759608665269 0.000174703004891684 0.0111809923130678 0.00122292103424179 0.0146750524109015 0.0193920335429769 0.000174703004891684 0 0.00174703004891684 0.00262054507337526 0.00559049615653389 0.0103074772886094 0.000174703004891684 0.00209643605870021 0.000174703004891684 0.000524109014675052 0.00821104122990915 0.000698812019566737 0.0113556953179595 0.000524109014675052 0.00576519916142558 0 0.000349406009783368 0.0010482180293501 0.0010482180293501 0.00698812019566737 0.003319357092942 0.000349406009783368 0.000873515024458421 0 0.000174703004891684 0 0 0.000524109014675052 0 0.000524109014675052 0 0 0 0 0 0 0 0 0.000174703004891684 0 0.000524109014675052 0.000873515024458421
"110D2F715" 0.323899371069182 0.0560796645702306 0.0359888190076869 0.0340670859538784 0.0894479385045423 0.0838574423480084 0.0698812019566737 0.0524109014675052 0.03319357092942 0.00559049615653389 0.0141509433962264 0.000873515024458421 0 0.0136268343815514 0.00122292103424179 0.0136268343815514 0.0010482180293501 0.0248078266946191 0.0197414395527603 0.000174703004891684 0.00227113906359189 0.00209643605870021 0.00471698113207547 0.00279524807826695 0.00646401118099231 0.00174703004891684 0 0 0.00174703004891684 0.0324947589098532 0.00174703004891684 0.00611460517120894 0.00157232704402516 0.0120545073375262 0 0 0.00506638714185884 0.000873515024458421 0.0256813417190776 0.00628930817610063 0.00192173305380853 0.000873515024458421 0 0.00279524807826695 0 0 0.00157232704402516 0 0.00209643605870021 0.000698812019566737 0.000174703004891684 0 0 0.000524109014675052 0 0 0 0.00192173305380853 0 0 0
"110D2F815" 0.272012578616352 0.0620195667365479 0.0317959468902865 0.0202655485674354 0.0393081761006289 0.119496855345912 0.0466457023060797 0.0707547169811321 0.023759608665269 0.00978336827393431 0.0134521313766597 0.00244584206848358 0.0010482180293501 0.0263801537386443 0.00192173305380853 0.0221872816212439 0.00314465408805031 0.0150244584206848 0.0101327742837177 0.00192173305380853 0.00821104122990915 0.00174703004891684 0.00890985324947589 0.0043675751222921 0.00471698113207547 0.00192173305380853 0.000174703004891684 0.000873515024458421 0.0193920335429769 0.00943396226415094 0.0010482180293501 0.013277428371768 0.00139762403913347 0.00821104122990915 0 0.000698812019566737 0.0117051013277428 0.000349406009783368 0.0447239692522711 0.0419287211740042 0.00139762403913347 0.00279524807826695 0.000174703004891684 0.0010482180293501 0 0 0.00192173305380853 0 0.0110062893081761 0.00122292103424179 0 0 0 0.000873515024458421 0 0.000349406009783368 0.0010482180293501 0.00122292103424179 0 0.000349406009783368 0
"110D2F915" 0.289657582110412 0.0438504542278127 0.0288259958071279 0.0284765897973445 0.0260307477288609 0.0534591194968553 0.0272536687631027 0.069706498951782 0.0155485674353599 0.00908455625436757 0.0113556953179595 0.00366876310272537 0.000698812019566737 0.0363382250174703 0.000873515024458421 0.0328441649196366 0.000873515024458421 0.0249825296995108 0.00209643605870021 0.000349406009783368 0.0310971348707198 0.00349406009783368 0.0157232704402516 0.00384346610761705 0.00524109014675052 0.00366876310272537 0 0 0.037037037037037 0.0120545073375262 0 0.0103074772886094 0.00454227812718379 0.0148497554157932 0 0.00139762403913347 0.00506638714185884 0.000349406009783368 0.0810621942697414 0.0300489168413697 0.00139762403913347 0.00192173305380853 0.000174703004891684 0.000524109014675052 0 0 0.000174703004891684 0 0.0209643605870021 0.00139762403913347 0 0 0 0.00192173305380853 0 0.00192173305380853 0.00227113906359189 0.000698812019566737 0 0.000873515024458421 0
"110M2F115" 0.450034940600978 0.143431167016073 0.0209643605870021 0.00139762403913347 0.019916142557652 0.0777428371767994 0.0143256464011181 0.0141509433962264 0.0124039133473096 0.00296995108315863 0.0174703004891684 0.0681341719077568 0.00716282320055905 0.0417540181691125 0.00122292103424179 0 0.0125786163522013 0.00856044723969252 0.0127533193570929 0.000174703004891684 0.00576519916142558 0.0043675751222921 0.00209643605870021 0.00628930817610063 0.00960866526904263 0.00349406009783368 0.00122292103424179 0.00192173305380853 0.00296995108315863 0.00209643605870021 0.000698812019566737 0.00559049615653389 0.000873515024458421 0.00244584206848358 0 0.00314465408805031 0.0043675751222921 0 0.00209643605870021 0.00314465408805031 0.00157232704402516 0.000349406009783368 0.000873515024458421 0 0.000698812019566737 0 0.00279524807826695 0.00157232704402516 0.00139762403913347 0 0 0 0.000349406009783368 0.000349406009783368 0.000698812019566737 0 0 0 0 0 0
"110M2F415" 0.261530398322851 0.0985324947589098 0.0499650593990217 0.0338923829489867 0.0260307477288609 0.0936408106219427 0.0510132774283718 0.0310971348707198 0.00978336827393431 0.000349406009783368 0.00821104122990915 0.000698812019566737 0 0.040356394129979 0 0.00873515024458421 0.00227113906359189 0.0179944095038435 0.0246331236897275 0 0.0010482180293501 0.00262054507337526 0.00349406009783368 0.00611460517120894 0.0106568832983927 0.000349406009783368 0.17941998602376 0 0.00139762403913347 0.00366876310272537 0.000349406009783368 0.0076869322152341 0.000873515024458421 0.00576519916142558 0 0.000174703004891684 0.00139762403913347 0.000174703004891684 0.00943396226415094 0.000873515024458421 0.00122292103424179 0.000524109014675052 0 0 0 0 0.000174703004891684 0 0.000873515024458421 0 0 0.000873515024458421 0 0.000349406009783368 0 0 0 0 0.00122292103424179 0 0.000524109014675052
"110M2F515" 0.242837176799441 0.12037037037037 0.0468204053109713 0.0253319357092942 0.0426275331935709 0.105870020964361 0.043675751222921 0.030398322851153 0.00890985324947589 0.000174703004891684 0.00838574423480084 0.00209643605870021 0 0.0207896575821104 0.000349406009783368 0.00506638714185884 0.000524109014675052 0.0136268343815514 0.0354647099930119 0.000174703004891684 0.000174703004891684 0.00489168413696716 0.00174703004891684 0.00454227812718379 0.0188679245283019 0 0.180992313067785 0 0.000524109014675052 0.003319357092942 0.000524109014675052 0.00733752620545073 0.000873515024458421 0.00454227812718379 0 0.00279524807826695 0.00192173305380853 0.000873515024458421 0.00698812019566736 0.00139762403913347 0.000524109014675052 0.000349406009783368 0 0 0 0 0.0010482180293501 0 0.000174703004891684 0.000174703004891684 0 0 0 0 0 0 0 0 0.000873515024458421 0 0.0010482180293501
"110M2F715" 0.322152341020266 0.0461215932914046 0.0244584206848358 0.0211390635918938 0.0213137665967855 0.178197064989518 0.0274283717679944 0.0106568832983927 0.0101327742837177 0 0.0176450034940601 0.036512928022362 0.000873515024458421 0.019916142557652 0.000174703004891684 0.003319357092942 0.0043675751222921 0.00593990216631726 0.0387840670859539 0 0.00157232704402516 0.00559049615653389 0.006638714185884 0.000698812019566737 0.0988819007686932 0.00279524807826695 0.000349406009783368 0 0.00489168413696716 0.0188679245283019 0.000524109014675052 0.013801537386443 0.00192173305380853 0.00349406009783368 0 0.00279524807826695 0.013801537386443 0 0.0193920335429769 0.0110062893081761 0.000873515024458421 0.000349406009783368 0 0.000698812019566737 0 0.000174703004891684 0.000698812019566737 0 0.000524109014675052 0.000174703004891684 0 0 0.000174703004891684 0 0 0 0 0 0 0.000174703004891684 0
"110S2F115" 0.418937805730259 0.110237596086653 0.0246331236897275 0.010482180293501 0.0260307477288609 0.0681341719077568 0.043151642208246 0.00890985324947589 0.0124039133473096 0.000873515024458421 0.0155485674353599 0.0324947589098532 0.00559049615653389 0.0305730258560447 0.000174703004891684 0.000524109014675052 0.0732005590496157 0.00856044723969252 0.0295248078266946 0 0.0043675751222921 0.003319357092942 0.00174703004891684 0.003319357092942 0.0151991614255765 0.00157232704402516 0.00157232704402516 0.00122292103424179 0.00209643605870021 0.00209643605870021 0.000349406009783368 0.0118798043326345 0.00209643605870021 0.000174703004891684 0 0.00262054507337526 0.00925925925925926 0 0.00227113906359189 0.00471698113207547 0.000174703004891684 0.000698812019566737 0 0 0.00209643605870021 0.000174703004891684 0.00122292103424179 0.0010482180293501 0.000524109014675052 0 0 0 0.003319357092942 0 0.000873515024458421 0 0 0 0 0 0
"110S2F415" 0.274458420684836 0.103074772886094 0.0377358490566038 0.0249825296995108 0.030398322851153 0.0856044723969252 0.0408805031446541 0.0246331236897275 0.0118798043326345 0.000174703004891684 0.00856044723969252 0.00262054507337526 0 0.0428022361984626 0.000698812019566737 0.0131027253668763 0.00244584206848358 0.0218378756114605 0.0124039133473096 0 0.000698812019566737 0.00314465408805031 0.00279524807826695 0.00506638714185884 0.00716282320055905 0.000349406009783368 0.19916142557652 0 0.0010482180293501 0.00314465408805031 0.000174703004891684 0.00960866526904263 0.000698812019566737 0.00419287211740042 0 0.000524109014675052 0.00227113906359189 0.000873515024458421 0.00873515024458421 0.00174703004891684 0.000174703004891684 0 0 0.000349406009783368 0 0.000349406009783368 0.000174703004891684 0 0.00209643605870021 0 0 0.000698812019566737 0 0.00157232704402516 0 0.000174703004891684 0 0 0.00139762403913347 0.000524109014675052 0.00279524807826695
"110S2F515" 0.366526904262753 0.101502445842068 0.0504891684136967 0.0345911949685535 0.0358141160027953 0.101851851851852 0.0817610062893082 0.0387840670859539 0.00296995108315863 0.0010482180293501 0.0164220824598183 0.00244584206848358 0.000873515024458421 0.0174703004891684 0.0010482180293501 0.0148497554157932 0.000349406009783368 0.0225366876310273 0.00489168413696716 0 0.000174703004891684 0.00244584206848358 0.00576519916142558 0.00646401118099231 0.00419287211740042 0.000174703004891684 0.0428022361984626 0 0.00174703004891684 0.00471698113207547 0.000174703004891684 0.00873515024458421 0.000524109014675052 0.00419287211740042 0 0.0010482180293501 0.00296995108315863 0.000873515024458421 0.00856044723969252 0.003319357092942 0.000349406009783368 0.000524109014675052 0 0 0 0.000174703004891684 0.000524109014675052 0 0.0010482180293501 0.000698812019566737 0 0.000524109014675052 0 0.000698812019566737 0 0 0 0 0 0 0.000349406009783368
"110S2F715" 0.319357092941999 0.131900768693222 0.0328441649196366 0.00262054507337526 0.0103074772886094 0.108665269042628 0.0164220824598183 0.00628930817610063 0.0129280223619846 0.0108315863032844 0.0225366876310273 0.0483927323549965 0.000349406009783368 0.003319357092942 0.00296995108315863 0 0.00262054507337526 0.00471698113207547 0.0688329839273236 0 0.00157232704402516 0.0162473794549266 0.000524109014675052 0 0.0700559049615653 0.0179944095038435 0.000349406009783368 0 0.00139762403913347 0.00559049615653389 0.00192173305380853 0.0457721872816212 0 0.000698812019566737 0 0.00646401118099231 0.00471698113207547 0.000174703004891684 0.00908455625436757 0.00471698113207547 0 0 0 0 0 0.000349406009783368 0.0010482180293501 0 0.00314465408805031 0 0 0 0.00227113906359189 0 0 0 0 0 0 0 0
"110S2F915" 0.311495457721873 0.09958071278826 0.0368623340321454 0.00698812019566736 0.0510132774283718 0.0396575821104123 0 0.00209643605870021 0.0127533193570929 0 0.0103074772886094 0.0585255066387142 0.0246331236897275 0.00576519916142558 0.0076869322152341 0 0.116526904262753 0.000174703004891684 0.0609713487071978 0 0.00873515024458421 0.00419287211740042 0 0 0.0718029350104822 0.00227113906359189 0 0 0.00856044723969252 0.003319357092942 0.000524109014675052 0.0164220824598183 0.00262054507337526 0 0 0.00262054507337526 0.00611460517120894 0 0.0010482180293501 0.00559049615653389 0.000349406009783368 0 0.000698812019566737 0 0.00401816911250874 0 0.000349406009783368 0.00506638714185884 0.00943396226415094 0 0 0 0.0010482180293501 0 0 0 0 0.000174703004891684 0 0 0
"Fa13.BD.MM110.DN.1" 0.214360587002096 0.113906359189378 0.0373864430468204 0.0366876310272537 0.0103074772886094 0.0391334730957372 0.00821104122990915 0.0457721872816212 0.0593990216631726 0.00192173305380853 0.0192173305380853 0.00419287211740042 0.00314465408805031 0.0179944095038435 0.00471698113207547 0.231481481481481 0 0.00559049615653389 0 0.00262054507337526 0.0118798043326345 0.003319357092942 0.00401816911250874 0.00890985324947589 0.00279524807826695 0.00157232704402516 0.000524109014675052 0 0.020440251572327 0.00786163522012579 0.000698812019566737 0.00786163522012579 0.00209643605870021 0.00524109014675052 0.000174703004891684 0.00296995108315863 0.000524109014675052 0.00139762403913347 0.0155485674353599 0.0239343116701607 0.00209643605870021 0.00856044723969252 0.000873515024458421 0 0 0 0.000349406009783368 0 0.00174703004891684 0.00174703004891684 0.000349406009783368 0 0 0.003319357092942 0.000174703004891684 0.0010482180293501 0 0.000873515024458421 0 0.0010482180293501 0
"Fa13.BD.MM110.SD.1" 0.34748427672956 0.188853948287911 0.0667365478686233 0.017120894479385 0.00262054507337526 0.102026554856744 0.000524109014675052 0.009958071278826 0.10167714884696 0 0.0324947589098532 0.0246331236897275 0.00227113906359189 0.0118798043326345 0.00506638714185884 0.000349406009783368 0.0211390635918938 0.0010482180293501 0.00559049615653389 0 0.0043675751222921 0.0148497554157932 0 0.00139762403913347 0.00262054507337526 0.00262054507337526 0 0 0.00366876310272537 0.00209643605870021 0.000873515024458421 0.00296995108315863 0.000698812019566737 0.000174703004891684 0.000873515024458421 0.00698812019566737 0.000698812019566737 0.0010482180293501 0 0.00209643605870021 0.0010482180293501 0 0.000349406009783368 0.000174703004891684 0 0.000349406009783368 0.00122292103424179 0.00139762403913347 0.00174703004891684 0 0 0 0.000174703004891684 0 0.000174703004891684 0 0 0.00384346610761705 0 0 0
"Fa13.BD.MM110.SN.1" 0.30083857442348 0.213487071977638 0.0740740740740741 0.0221872816212439 0.00314465408805031 0.110587002096436 0.00174703004891684 0.0162473794549266 0.0875262054507338 0 0.040356394129979 0.0258560447239693 0.000873515024458421 0.0120545073375262 0.0103074772886094 0 0.020440251572327 0.000524109014675052 0.00296995108315863 0 0.00576519916142558 0.0134521313766597 0.000524109014675052 0.00349406009783368 0.00314465408805031 0.00192173305380853 0.000174703004891684 0 0.00279524807826695 0.000524109014675052 0.00157232704402516 0.00174703004891684 0.00139762403913347 0 0.000873515024458421 0.00646401118099231 0.000524109014675052 0 0 0.00349406009783368 0.000873515024458421 0 0.000524109014675052 0 0.000524109014675052 0 0.000873515024458421 0.000873515024458421 0.000873515024458421 0 0 0 0.000174703004891684 0 0.000174703004891684 0 0 0.00401816911250874 0 0 0
"Fa13.BD.MM15.DN.1" 0.351153039832285 0.142732354996506 0.0772187281621244 0.0246331236897275 0.006638714185884 0.109189378057303 0.0351153039832285 0.036512928022362 0.063067784765898 0.000524109014675052 0.0347658979734451 0.0110062893081761 0.00506638714185884 0.0172955974842767 0.00296995108315863 0.000174703004891684 0.00541579315164221 0.0076869322152341 0.000873515024458421 0.000524109014675052 0.00576519916142558 0.0113556953179595 0.000698812019566737 0.00628930817610063 0.0010482180293501 0.00296995108315863 0 0 0.00227113906359189 0.00227113906359189 0.0010482180293501 0.00716282320055905 0.000873515024458421 0.000524109014675052 0.000349406009783368 0.00576519916142558 0.000524109014675052 0 0.0010482180293501 0.000873515024458421 0.00471698113207547 0.000524109014675052 0.000174703004891684 0 0 0.000174703004891684 0.00821104122990915 0.0010482180293501 0.000174703004891684 0 0 0 0 0.000174703004891684 0.000524109014675052 0.000524109014675052 0 0.000349406009783368 0 0 0
"Fa13.BD.MM15.SD.1" 0.31429070580014 0.235324947589099 0.0807127882599581 0.0172955974842767 0.00489168413696716 0.0924178895877009 0.003319357092942 0.0188679245283019 0.0840321453529001 0.000174703004891684 0.0373864430468204 0.0129280223619846 0.00157232704402516 0.00943396226415094 0.00366876310272537 0 0.0174703004891684 0.00122292103424179 0.0124039133473096 0.000174703004891684 0.00279524807826695 0.0106568832983927 0 0.00401816911250874 0.00314465408805031 0.00192173305380853 0 0.000174703004891684 0.00122292103424179 0.00209643605870021 0.00139762403913347 0.00227113906359189 0.000349406009783368 0 0.000174703004891684 0.00593990216631726 0.0010482180293501 0 0.000698812019566737 0.00244584206848358 0.00296995108315863 0.000174703004891684 0.000524109014675052 0 0 0 0.00244584206848358 0.00244584206848358 0.000524109014675052 0 0 0 0.000174703004891684 0 0.00122292103424179 0 0 0.00157232704402516 0 0 0
"Fa13.BD.MM15.SN.1" 0.323549965059399 0.237071977638015 0.0740740740740741 0.0216631726065688 0.00296995108315863 0.0861285814116003 0.00681341719077568 0.0248078266946191 0.0552061495457722 0.000524109014675052 0.0380852550663871 0.0162473794549266 0.003319357092942 0.0129280223619846 0.00227113906359189 0.000174703004891684 0.0158979734451433 0.00244584206848358 0.00611460517120894 0.000524109014675052 0.00506638714185884 0.010482180293501 0 0.0122292103424179 0.00419287211740042 0.00296995108315863 0.000174703004891684 0 0.00262054507337526 0.00174703004891684 0.000873515024458421 0.00349406009783368 0.00209643605870021 0.000174703004891684 0 0.00698812019566737 0.00139762403913347 0 0.000873515024458421 0.00157232704402516 0.00244584206848358 0.000349406009783368 0.000349406009783368 0 0.000349406009783368 0 0.00209643605870021 0.00262054507337526 0.00139762403913347 0 0 0 0 0 0.000524109014675052 0 0 0.00174703004891684 0.000349406009783368 0 0
"M15S2F115" 0.527428371767994 0.0939902166317261 0.0263801537386443 0.0139762403913347 0.0267295597484277 0.0913696715583508 0.0461215932914046 0.0127533193570929 0.00506638714185884 0.000698812019566737 0.0167714884696017 0.0153738644304682 0.00873515024458421 0.00786163522012579 0.000698812019566737 0.000174703004891684 0.0143256464011181 0.0296995108315863 0.0136268343815514 0 0.00314465408805031 0.00471698113207547 0.00262054507337526 0.00506638714185884 0.00419287211740042 0.0043675751222921 0.000349406009783368 0 0.00227113906359189 0.0010482180293501 0 0.00419287211740042 0.000174703004891684 0.000174703004891684 0 0.00209643605870021 0.00209643605870021 0 0.000698812019566737 0.00157232704402516 0.000349406009783368 0.00157232704402516 0 0 0.000698812019566737 0.000174703004891684 0.00471698113207547 0 0.000698812019566737 0 0 0 0.00122292103424179 0 0 0 0 0 0 0 0
"M15S2F515" 0.325995807127883 0.187456324248777 0.0457721872816212 0.0312718378756115 0.0162473794549266 0.127358490566038 0.0375611460517121 0.0295248078266946 0.00139762403913347 0.00366876310272537 0.070230607966457 0.00157232704402516 0.0125786163522013 0.00384346610761705 0 0.000349406009783368 0.000174703004891684 0.00454227812718379 0.0103074772886094 0 0.00349406009783368 0.00559049615653389 0.00122292103424179 0.00541579315164221 0.0307477288609364 0.00279524807826695 0.000698812019566737 0 0.000524109014675052 0.00471698113207547 0.000524109014675052 0.0124039133473096 0.0010482180293501 0.00524109014675052 0 0.00192173305380853 0 0.000524109014675052 0.00279524807826695 0.00122292103424179 0.000349406009783368 0.00227113906359189 0 0.000698812019566737 0 0 0.00506638714185884 0 0 0 0 0 0 0 0.000349406009783368 0.000174703004891684 0 0.000349406009783368 0 0 0
"M15S2F715" 0.477113906359189 0.118972746331237 0.0347658979734451 0.0185185185185185 0.00890985324947589 0.0981830887491265 0.0276030747728861 0.00698812019566737 0.0043675751222921 0.00279524807826695 0.0394828791055206 0.0146750524109015 0.0010482180293501 0.00506638714185884 0.00139762403913347 0.000349406009783368 0.000873515024458421 0.0221872816212439 0.0400069881201957 0.000174703004891684 0 0.0131027253668763 0.000698812019566737 0.00384346610761705 0.0202655485674354 0.00524109014675052 0 0.000174703004891684 0 0.00296995108315863 0.00209643605870021 0.017120894479385 0.000349406009783368 0 0 0.00227113906359189 0.000524109014675052 0.000174703004891684 0.00366876310272537 0.000174703004891684 0.000174703004891684 0.000349406009783368 0 0 0 0 0.00174703004891684 0 0 0 0 0 0.0010482180293501 0 0 0 0 0 0.000524109014675052 0 0
"M15S2F815" 0.448812019566737 0.0751222921034242 0.0559049615653389 0.00786163522012579 0.0111809923130678 0.0571278825995807 0.00174703004891684 0.0146750524109015 0.0108315863032844 0.00244584206848358 0.0347658979734451 0.0466457023060797 0.00681341719077568 0.0103074772886094 0.00873515024458421 0 0.0471698113207547 0.00506638714185884 0.0214884696016771 0.00139762403913347 0.00890985324947589 0.0269042627533194 0.000349406009783368 0.00139762403913347 0.0314465408805031 0.00943396226415094 0 0.00122292103424179 0 0.00366876310272537 0.000349406009783368 0.0110062893081761 0.000349406009783368 0.000349406009783368 0 0.00751222921034242 0.00541579315164221 0 0.00157232704402516 0.0141509433962264 0 0 0.000524109014675052 0 0 0 0.000174703004891684 0.000524109014675052 0.000174703004891684 0 0 0 0.00506638714185884 0 0 0 0.000524109014675052 0.000873515024458421 0 0 0
"M15S2F915" 0.408805031446541 0.100104821802935 0.0307477288609364 0.0076869322152341 0.0808874912648498 0.0508385744234801 0.000349406009783368 0.00244584206848358 0.006638714185884 0.000349406009783368 0.0157232704402516 0.069706498951782 0.0106568832983927 0.00296995108315863 0.006638714185884 0 0.0878756114605171 0.003319357092942 0.0136268343815514 0 0.0101327742837177 0.00541579315164221 0 0.000174703004891684 0.0169461914744934 0.00244584206848358 0 0.000349406009783368 0.00314465408805031 0.00786163522012579 0.00227113906359189 0.0235849056603774 0.00209643605870021 0.000349406009783368 0.000174703004891684 0.00157232704402516 0.00279524807826695 0 0.000873515024458421 0.0124039133473096 0 0 0 0 0.000174703004891684 0 0.000873515024458421 0.000524109014675052 0.00314465408805031 0 0 0 0.00296995108315863 0 0 0 0 0.000349406009783368 0 0 0
"M45D2F115" 0.475716282320056 0.086303284416492 0.0185185185185185 0.0150244584206848 0.0319706498951782 0.0492662473794549 0.0462962962962963 0.0188679245283019 0.013277428371768 0.00174703004891684 0.0111809923130678 0.0223619846261356 0.0162473794549266 0.0600978336827393 0.000174703004891684 0.000349406009783368 0.0160726764500349 0.0424528301886792 0.0146750524109015 0 0.00296995108315863 0.00419287211740042 0.00157232704402516 0.0124039133473096 0.00559049615653389 0.00506638714185884 0.000174703004891684 0.000174703004891684 0.00174703004891684 0.000524109014675052 0 0.0043675751222921 0 0.000349406009783368 0 0.00209643605870021 0.00314465408805031 0 0.00139762403913347 0.000698812019566737 0.00209643605870021 0 0.000524109014675052 0 0 0.000174703004891684 0.00646401118099231 0.000174703004891684 0.000174703004891684 0 0 0.000524109014675052 0.000524109014675052 0 0.000174703004891684 0.00209643605870021 0 0 0 0 0
"M45D2F415" 0.442697414395528 0.183962264150943 0.0272536687631027 0.0401816911250873 0.00943396226415094 0.0927672955974843 0.0628930817610063 0.0153738644304682 0.00122292103424179 0.000349406009783368 0.00838574423480084 0.00122292103424179 0 0.00279524807826695 0 0.0117051013277428 0 0.0340670859538784 0.0216631726065688 0 0.000174703004891684 0.000698812019566737 0.00262054507337526 0.00628930817610063 0.00873515024458421 0 0.0103074772886094 0 0.000174703004891684 0.00139762403913347 0.000698812019566737 0.00296995108315863 0.000524109014675052 0.00174703004891684 0 0.000349406009783368 0 0.000349406009783368 0.00244584206848358 0.000349406009783368 0.0010482180293501 0.000524109014675052 0.000873515024458421 0 0 0 0.000698812019566737 0 0 0 0 0.000349406009783368 0 0.000349406009783368 0 0.000174703004891684 0 0 0 0 0.000174703004891684
"M45D2F515" 0.360062893081761 0.129804332634521 0.0496156533892383 0.0249825296995108 0.0151991614255765 0.10167714884696 0.0328441649196366 0.0206149545772187 0.0179944095038435 0.000174703004891684 0.0324947589098532 0.000873515024458421 0.00122292103424179 0.0401816911250874 0 0.00524109014675052 0.000873515024458421 0.0262054507337526 0.020440251572327 0.000524109014675052 0.000873515024458421 0.00454227812718379 0.003319357092942 0.010482180293501 0.0118798043326345 0.000174703004891684 0.0704053109713487 0 0 0.00139762403913347 0 0.00454227812718379 0 0.00192173305380853 0 0.000873515024458421 0 0.000524109014675052 0.00349406009783368 0.00122292103424179 0.000698812019566737 0.000174703004891684 0 0 0 0 0.000698812019566737 0 0.000174703004891684 0 0 0.000174703004891684 0 0.000349406009783368 0 0.000174703004891684 0 0 0.000698812019566737 0.000174703004891684 0
