"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences" "norep_filter_name" "tot_bacprod" "SD_tot_bacprod"
"27" "M15S2-815" 2577264.029 815176.786 1762087.243 38926.8287 17019.66757 22389.59718 "Accuri" "Michigan" "M15S2F815" "Summer" "August" 2015 "Free" "MM15" "Surface" 12677 "M15SF815" NA NA
"28" "M15S2-915-2" 1545927.125 372969.0397 1172958.085 56324.6898 15049.32295 43166.03673 "Accuri" "Michigan" "M15S2F915" "Fall" "September" 2015 "Free" "MM15" "Surface" 12919 "M15SF915" NA NA
"29" "M45D2-115-2" 1647885.545 372830.1987 1275055.346 26333.10634 1400.859444 26651.92494 "Accuri" "Michigan" "M45D2F115" "Winter" "Januari" 2015 "Free" "MM45" "Deep" 22716 "M45DF115" NA NA
"30" "M45D2-415-2" 1126724.256 300912.0984 825812.1574 11035.97536 5850.115758 6035.314184 "Accuri" "Michigan" "M45D2F415" "Spring" "April" 2015 "Free" "MM45" "Deep" 7263 "M45DF415" NA NA
"31" "M45D2-515" 1694259.724 610479.7691 1083779.955 25720.93409 10802.24964 16903.77507 "Accuri" "Michigan" "M45D2F515" "Spring" "May" 2015 "Free" "MM45" "Deep" 15696 "M45DF515" NA NA
"32" "M45D2-715-2" 657163.5451 108776.5115 548387.0336 20690.36921 3846.949671 16978.59339 "Accuri" "Michigan" "M45D2F715" "Summer" "July" 2015 "Free" "MM45" "Deep" 16753 "M45DF715" NA NA
"33" "M45D2-815" 774089.043 205706.149 568382.894 8983.157155 4125.573508 5423.820044 "Accuri" "Michigan" "M45D2F815" "Summer" "August" 2015 "Free" "MM45" "Deep" 12041 "M45DF815" NA NA
"34" "M45D2-915-2" 1141301.726 262718.9641 878582.7622 10790.67235 8500.398517 3349.100706 "Accuri" "Michigan" "M45D2F915" "Fall" "September" 2015 "Free" "MM45" "Deep" 18637 "M45DF915" NA NA
"35" "M45S2-415-2" 1232528.393 302713.4601 929814.933 5780.176205 1449.254176 5296.13539 "Accuri" "Michigan" "M45S2F415" "Spring" "April" 2015 "Free" "MM45" "Surface" 19879 "M45SF415" NA NA
"36" "M45S2-515-DMSO" 2169417.914 939862.3429 1229555.571 6953.540136 7142.277772 6831.590983 "Accuri" "Michigan" "M45S2F515" "Spring" "May" 2015 "Free" "MM45" "Surface" 12393 "M45SF515" NA NA
"37" "M45S2-715-2" 1079869.359 266334.0178 813535.3415 38446.99785 9673.745116 28898.02637 "Accuri" "Michigan" "M45S2F715" "Summer" "July" 2015 "Free" "MM45" "Surface" 16886 "M45SF715" NA NA
