"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences" "norep_filter_name" "tot_bacprod" "SD_tot_bacprod"
"111" "MM15-S-N_July" 2963172.842 632722.9215 2330449.92 37604.70173 16918.46804 27240.06031 "Accuri" "Michigan" "Su13.BD.MM15.SN.1" "Summer" "July" 2013 "Free" "MM15" "Surface" 35065 "Su13BD.M" NA NA
"112" "Z14-10-1" 8804248.621 1757149.479 7047099.142 303918.4311 61559.19812 243097.4281 "Accuri" "Inland" "Z14010F" "Summer" "June" 2015 "Free" "Big Seven" "Surface" 19457 "Z1400F" NA NA
"113" "Z14-20-1" 8307301.844 2456604.32 5850697.524 213695.1183 116531.7377 112946.9103 "Accuri" "Inland" "Z14020F" "Summer" "June" 2015 "Free" "Lobdell" "Surface" 29081 "Z1400F" NA NA
"114" "Z14-30-1" 5852384.968 2264191.627 3588193.341 126821.6373 79106.43298 47740.94717 "Accuri" "Inland" "Z14030F" "Summer" "June" 2015 "Free" "Halfmoon" "Surface" 24624 "Z1400F" NA NA
"115" "Z14-40-1" 5793042.643 1309377.303 4483665.34 66421.19456 27001.17687 52700.0173 "Accuri" "Inland" "Z14040F" "Summer" "June" 2015 "Free" "Sand" "Surface" 20622 "Z1400F" NA NA
"116" "Z14-50-1" 4130724.917 1054379.193 3076345.724 60422.00262 11063.25124 49660.13283 "Accuri" "Inland" "Z14050F" "Fall" "October" 2015 "Free" "North" "Surface" 18860 "Z1400F" NA NA
"117" "Z14-1-1" 8928438.409 1984212.902 6944225.507 236740.0167 58839.94392 178194.3831 "Accuri" "Inland" "Z14001F" "Summer" "June" 2014 "Free" "Bishop" "Surface" 31347 "Z1401F" NA NA
"118" "Z14-11-1" 8050102.885 4875708.819 3174394.065 324561.5042 233943.0307 104077.5113 "Accuri" "Inland" "Z14011F" "Summer" "June" 2015 "Free" "Big Seven" "Deep" 23890 "Z1401F" NA NA
"119" "Z14-21-1" 5804649.793 1766766.636 4037883.156 70163.69605 25557.76736 46521.71029 "Accuri" "Inland" "Z14021F" "Summer" "June" 2015 "Free" "North" "Surface" 18682 "Z1401F" NA NA
"120" "Z14-31-1" 5005906.675 2430879.521 2575027.153 55547.12998 21025.32082 34607.10432 "Accuri" "Inland" "Z14031F" "Summer" "June" 2015 "Free" "Halfmoon" "Deep" 34755 "Z1401F" NA NA
"121" "Z14-41-1" 6866121.758 2134153.988 4731967.77 104145.7616 50024.31095 60422.70801 "Accuri" "Inland" "Z14041F" "Summer" "June" 2015 "Free" "Whitmore" "Surface" 32904 "Z1401F" NA NA
"122" "Z14-61-1" 4120768.342 1225764.088 2895004.253 50446.72218 28177.46895 29507.86883 "Accuri" "Inland" "Z14061F" "Fall" "October" 2014 "Free" "Independence" "Surface" 25229 "Z1401F" NA NA
"123" "Z14-2-1" 8647455.79 1945478.791 6701976.998 131049.6372 36628.45344 102305.0651 "Accuri" "Inland" "Z14002F" "Summer" "June" 2015 "Free" "Bishop" "Surface" 15383 "Z1402F" NA NA
"124" "Z14-12-1" 9491664.935 2028965.755 7462699.18 378766.4996 115865.8915 264804.4013 "Accuri" "Inland" "Z14012F" "Summer" "June" 2015 "Free" "Big Seven" "Surface" 26095 "Z1402F" NA NA
"125" "Z14-22-1" 5458830.589 1539845.069 3918985.52 101734.7988 30006.69257 76074.33631 "Accuri" "Inland" "Z14022F" "Summer" "June" 2015 "Free" "North" "Surface" 22343 "Z1402F" NA NA
"126" "Z14-32-1" 5863306.715 2249222.002 3614084.713 54615.07059 65084.84518 32727.82515 "Accuri" "Inland" "Z14032F" "Summer" "June" 2015 "Free" "Halfmoon" "Surface" 23894 "Z1402F" NA NA
"127" "Z14-42-1" 6818565.935 2052859.515 4765706.42 66650.07366 50209.9916 20963.72283 "Accuri" "Inland" "Z14042F" "Summer" "June" 2015 "Free" "Whitmore" "Surface" 32017 "Z1402F" NA NA
"128" "Z14-3-1" 11221596.09 5742282.966 5479313.126 378559.4895 289482.0028 90699.01212 "Accuri" "Inland" "Z14003F" "Summer" "June" 2015 "Free" "Bishop" "Deep" 24038 "Z1403F" NA NA
"129" "Z14-13-1" 8550067.537 1978617.438 6571450.099 117732.7526 12809.65106 112637.7736 "Accuri" "Inland" "Z14013F" "Summer" "June" 2015 "Free" "Heron" "Surface" 45060 "Z1403F" NA NA
"130" "Z14-23-1" 7900172.713 4170813.043 3729359.67 213534.6296 104032.1164 110562.7561 "Accuri" "Inland" "Z14023F" "Summer" "June" 2015 "Free" "North" "Deep" 27677 "Z1403F" NA NA
"131" "Z14-33-1" 5036317.322 1581203.388 3455113.933 116654.2111 29206.46137 87953.719 "Accuri" "Inland" "Z14033F" "Summer" "June" 2015 "Free" "Cedar" "Surface" 27927 "Z1403F" NA NA
"132" "Z14-43-1" 3837709.564 825094.5648 3012614.999 59723.58685 26969.04282 33177.96266 "Accuri" "Inland" "Z14043F" "Summer" "June" 2015 "Free" "Whitmore" "Deep" 36303 "Z1403F" NA NA
"133" "Z14-53-1" 3870306.913 880437.9836 2989868.929 30627.36914 26175.70698 17629.77041 "Accuri" "Inland" "Z14053F" "Fall" "October" 2014 "Free" "Bruin" "Surface" 24818 "Z1403F" NA NA
"134" "Z14-63-1" 3795547.753 1108947.539 2686600.214 43293.9176 29584.95376 14186.64837 "Accuri" "Inland" "Z14063F" "Fall" "October" 2014 "Free" "Independence" "Deep" 27149 "Z1403F" NA NA
"135" "Z14-4-1" 8495432.617 2025256.226 6470176.391 155013.3051 18950.72192 136472.2547 "Accuri" "Inland" "Z14004F" "Summer" "June" 2015 "Free" "Bishop" "Surface" 26687 "Z1404F" NA NA
"136" "Z14-14-1" 8640395.991 1988570.698 6651825.293 106534.6106 35158.04197 71461.61292 "Accuri" "Inland" "Z14014F" "Summer" "June" 2015 "Free" "Heron" "Surface" 13584 "Z1404F" NA NA
"137" "Z14-24-1" 5249319.788 1801033.07 3448286.717 104692.2048 32266.24986 72453.57443 "Accuri" "Inland" "Z14024F" "Summer" "June" 2015 "Free" "North" "Surface" 24890 "Z1404F" NA NA
"138" "Z14-34-1" 5326690.822 1680237.057 3646453.765 191336.6595 56633.83574 144075.6652 "Accuri" "Inland" "Z14034F" "Summer" "June" 2015 "Free" "Cedar" "Surface" 29214 "Z1404F" NA NA
"139" "Z14-44-1" 7309963.2 2172316.521 5137646.679 78193.01484 45712.60971 32480.49101 "Accuri" "Inland" "Z14044F" "Summer" "June" 2015 "Free" "Whitmore" "Surface" 26873 "Z1404F" NA NA
"140" "Z14-5-1" 9315748.672 1631166.394 7684582.279 111696.1466 42461.06761 105968.7314 "Accuri" "Inland" "Z14005F" "Summer" "June" 2015 "Free" "Woodland" "Surface" 28400 "Z1405F" NA NA
"141" "Z14-25-1" 4742687.926 784606.452 3958081.474 81866.99092 9164.109028 79910.53634 "Accuri" "Inland" "Z14025F" "Summer" "June" 2015 "Free" "Bruin" "Surface" 25634 "Z1405F" NA NA
"142" "Z14-35-1" 3995835.899 967066.7392 3028769.16 54714.43985 26379.11458 32257.42406 "Accuri" "Inland" "Z14035F" "Summer" "June" 2015 "Free" "Cedar" "Deep" 24937 "Z1405F" NA NA
"143" "Z14-45-1" 5916745.467 1458781.524 4457963.943 196428.2412 46900.41423 150361.0169 "Accuri" "Inland" "Z14045F" "Summer" "June" 2015 "Free" "Independence" "Surface" 47134 "Z1405F" NA NA
"144" "Z14-55-1" 7151123.168 3062020.685 4089102.483 198957.118 98250.61456 100748.5977 "Accuri" "Inland" "Z14055F" "Fall" "October" 2014 "Free" "Bruin" "Deep" 29845 "Z1405F" NA NA
"145" "Z14-6-1" 10015628.18 1819185.105 8196443.078 83962.64587 3043.429438 81711.70919 "Accuri" "Inland" "Z14006F" "Summer" "June" 2015 "Free" "Woodland" "Surface" 20976 "Z1406F" NA NA
"146" "Z14-16-1" 8747225.596 2025397.278 6721828.318 35906.17505 22517.49038 43627.1826 "Accuri" "Inland" "Z14016F" "Summer" "June" 2015 "Free" "Heron" "Surface" 31914 "Z1406F" NA NA
"147" "Z14-26-1" 4450146.249 752809.6172 3697336.631 179905.9561 33837.49568 147257.6507 "Accuri" "Inland" "Z14026F" "Summer" "June" 2015 "Free" "Bruin" "Surface" 27681 "Z1406F" NA NA
"148" "Z14-36-1" 5413642.265 1752827.195 3660815.07 42482.94107 15313.27981 32499.71729 "Accuri" "Inland" "Z14036F" "Summer" "June" 2015 "Free" "Cedar" "Surface" 25625 "Z1406F" NA NA
"149" "Z14-46-1" 5395203.168 1308085.503 4087117.665 41184.03421 15216.70354 32506.52221 "Accuri" "Inland" "Z14046F" "Summer" "June" 2015 "Free" "Independence" "Surface" 35874 "Z1406F" NA NA
"150" "Z14-7-1" 8078502.46 4637987.427 3440515.033 585024.846 398955.2891 189166.3052 "Accuri" "Inland" "Z14007F" "Summer" "June" 2015 "Free" "Woodland" "Deep" 26726 "Z1407F" NA NA
"151" "Z14-17-1" 8422137.494 2262679.908 6159457.586 231543.3322 72721.17373 160365.1956 "Accuri" "Inland" "Z14017F" "Summer" "June" 2015 "Free" "Lobdell" "Surface" 22740 "Z1407F" NA NA
"152" "Z14-27-1" 3504815.241 1019288.065 2485527.177 119838.5313 38805.97932 81576.5456 "Accuri" "Inland" "Z14027F" "Summer" "June" 2015 "Free" "Bruin" "Deep" 30322 "Z1407F" NA NA
"153" "Z14-37-1" 5036198.528 1125569.644 3910628.884 268234.155 44552.07933 225977.7801 "Accuri" "Inland" "Z14037F" "Summer" "June" 2015 "Free" "Sand" "Surface" 35518 "Z1407F" NA NA
"154" "Z14-47-1" 6305317.804 1919578.208 4385739.596 44976.7604 9461.383394 36257.15153 "Accuri" "Inland" "Z14047F" "Summer" "June" 2015 "Free" "Independence" "Deep" 26088 "Z1407F" NA NA
"155" "Z14-57-1" 6199513.88 1852823.504 4346690.376 36298.89511 41941.71529 15953.11692 "Accuri" "Inland" "Z14057F" "Fall" "October" 2014 "Free" "Whitmore" "Surface" 25473 "Z1407F" NA NA
"156" "Z14-8-1" 10257457.61 1851866.196 8405591.412 226327.6841 58225.81171 171083.164 "Accuri" "Inland" "Z14008F" "Summer" "June" 2015 "Free" "Woodland" "Surface" 21521 "Z1408F" NA NA
"157" "Z14-18-1" 8208670.298 2383161.648 5825508.65 116877.8448 62573.93322 62036.45686 "Accuri" "Inland" "Z14018F" "Summer" "June" 2015 "Free" "Lobdell" "Surface" 22867 "Z1408F" NA NA
"158" "Z14-28-1" 3967728.678 698821.2775 3268907.4 93842.58421 23964.32666 70411.12275 "Accuri" "Inland" "Z14028F" "Summer" "June" 2015 "Free" "Bruin" "Surface" 18079 "Z1408F" NA NA
"159" "Z14-38-1" 5457855.997 1229437.904 4228418.094 63589.59693 12969.8363 56360.18271 "Accuri" "Inland" "Z14038F" "Summer" "June" 2015 "Free" "Sand" "Surface" 34502 "Z1408F" NA NA
"160" "Z14-48-1" 5776899.202 1206946.024 4569953.178 16116.83988 12821.85987 8694.443944 "Accuri" "Inland" "Z14048F" "Summer" "June" 2015 "Free" "Independence" "Surface" 23300 "Z1408F" NA NA
"161" "Z14-9-1" 8683505.588 1791820.237 6891685.351 54181.94396 37270.3866 16919.21186 "Accuri" "Inland" "Z14009F" "Summer" "June" 2015 "Free" "Big Seven" "Surface" 19191 "Z1409F" NA NA
"162" "Z14-19-1" 4814442.237 2186270.767 2628171.47 79538.44981 57766.21074 34968.27477 "Accuri" "Inland" "Z14019F" "Summer" "June" 2015 "Free" "Lobdell" "Deep" 27871 "Z1409F" NA NA
"163" "Z14-29-1" 7999722.403 3044857.088 4954865.316 255537.4725 101307.1816 154372.843 "Accuri" "Inland" "Z14029F" "Summer" "June" 2015 "Free" "Halfmoon" "Surface" 30200 "Z1409F" NA NA
"164" "Z14-39-1" 5129808.706 1062987.774 4066820.932 114921.5337 34928.8883 82251.34958 "Accuri" "Inland" "Z14039F" "Summer" "June" 2015 "Free" "Sand" "Deep" 33835 "Z1409F" NA NA
"165" "Z14-59-1" 5262967.016 1470039.168 3792927.848 89982.83309 36299.69349 61419.2159 "Accuri" "Inland" "Z14059F" "Fall" "October" 2014 "Free" "Whitmore" "Deep" 30860 "Z1409F" NA NA
"166" "Z14-71-1" 3579879.208 1321206.898 2258672.311 53131.33225 48653.39876 5991.882325 "Accuri" "Inland" "Z15071F" "Spring" "April" 2015 "Free" "Bruin" "Deep" 19656 "Z1501F" NA NA
"167" "Z14-73-1" 5534262.926 1984381.604 3549881.322 43895.85017 40362.50055 7519.806139 "Accuri" "Inland" "Z15073F" "Spring" "April" 2015 "Free" "Whitmore" "Surface" 14836 "Z1503F" NA NA
"168" "Z14-65-1" 1957204.374 707579.9188 1249624.456 216171.2793 46673.59786 170378.9331 "Accuri" "Inland" "Z15065F" "Spring" "April" 2015 "Free" "North" "Surface" 10152 "Z1505F" NA NA
"169" "Z14-75-1" 5699981.915 2094257.295 3605724.62 185339.2347 109599.1324 75881.84993 "Accuri" "Inland" "Z15075F" "Spring" "April" 2015 "Free" "Whitmore" "Deep" 14343 "Z1505F" NA NA
"170" "Z14-67-1" 1858277.671 700805.7004 1157471.971 272738.7584 101431.0373 172065.73 "Accuri" "Inland" "Z15067F" "Spring" "April" 2015 "Free" "North" "Deep" 9907 "Z1507F" NA NA
"171" "Z14-77-1" 6536193.575 2021500.991 4514692.585 76357.80296 51386.08918 26034.3514 "Accuri" "Inland" "Z15077F" "Spring" "April" 2015 "Free" "Independence" "Surface" 16452 "Z1507F" NA NA
"172" "Z14-69-1" 2512418.891 778563.6587 1733855.232 52508.00127 20198.48344 36601.86573 "Accuri" "Inland" "Z15069F" "Spring" "April" 2015 "Free" "Bruin" "Surface" 14634 "Z1509F" NA NA
"173" "Z14-79-1" 6556486.887 2001412.927 4555073.96 46399.32271 7226.140413 40262.08702 "Accuri" "Inland" "Z15079F" "Spring" "April" 2015 "Free" "Independence" "Deep" 16158 "Z1509F" NA NA
