"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth"
"Z14-32-1" 5863.306715 2249.222002 3614.084713 54.61507059 65.08484518 32.72782515 "Accuri" "Inland" "Z14032F" "Summer" "June" 2015 "Free" "Halfmoon" "Surface"
"Z14-33-1" 5036.317322 1581.203388 3455.113933 116.6542111 29.20646137 87.953719 "Accuri" "Inland" "Z14033F" "Summer" "June" 2015 "Free" "Cedar" "Surface"
"Z14-34-1" 5326.690822 1680.237057 3646.453765 191.3366595 56.63383574 144.0756652 "Accuri" "Inland" "Z14034F" "Summer" "June" 2015 "Free" "Cedar" "Surface"
"Z14-35-1" 3995.835899 967.0667392 3028.76916 54.71443985 26.37911458 32.25742406 "Accuri" "Inland" "Z14035F" "Summer" "June" 2015 "Free" "Cedar" "Deep"
"Z14-36-1" 5413.642265 1752.827195 3660.81507 42.48294107 15.31327981 32.49971729 "Accuri" "Inland" "Z14036F" "Summer" "June" 2015 "Free" "Cedar" "Surface"
"Z14-37-1" 5036.198528 1125.569644 3910.628884 268.234155 44.55207933 225.9777801 "Accuri" "Inland" "Z14037F" "Summer" "June" 2015 "Free" "Sand" "Surface"
"Z14-38-1" 5457.855997 1229.437904 4228.418094 63.58959693 12.9698363 56.36018271 "Accuri" "Inland" "Z14038F" "Summer" "June" 2015 "Free" "Sand" "Surface"
"Z14-39-1" 5129.808706 1062.987774 4066.820932 114.9215337 34.9288883 82.25134958 "Accuri" "Inland" "Z14039F" "Summer" "June" 2015 "Free" "Sand" "Deep"
"Z14-40-1" 5793.042643 1309.377303 4483.66534 66.42119456 27.00117687 52.7000173 "Accuri" "Inland" "Z14040F" "Summer" "June" 2015 "Free" "Sand" "Surface"
"Z14-41-1" 6866.121758 2134.153988 4731.96777 104.1457616 50.02431095 60.42270801 "Accuri" "Inland" "Z14041F" "Summer" "June" 2015 "Free" "Whitmore" "Surface"
"Z14-42-1" 6818.565935 2052.859515 4765.70642 66.65007366 50.2099916 20.96372283 "Accuri" "Inland" "Z14042F" "Summer" "June" 2015 "Free" "Whitmore" "Surface"
"Z14-43-1" 3837.709564 825.0945648 3012.614999 59.72358685 26.96904282 33.17796266 "Accuri" "Inland" "Z14043F" "Summer" "June" 2015 "Free" "Whitmore" "Deep"
"Z14-44-1" 7309.9632 2172.316521 5137.646679 78.19301484 45.71260971 32.48049101 "Accuri" "Inland" "Z14044F" "Summer" "June" 2015 "Free" "Whitmore" "Surface"
"Z14-45-1" 5916.745467 1458.781524 4457.963943 196.4282412 46.90041423 150.3610169 "Accuri" "Inland" "Z14045F" "Summer" "June" 2015 "Free" "Independence" "Surface"
"Z14-46-1" 5395.203168 1308.085503 4087.117665 41.18403421 15.21670354 32.50652221 "Accuri" "Inland" "Z14046F" "Summer" "June" 2015 "Free" "Independence" "Surface"
"Z14-47-1" 6305.317804 1919.578208 4385.739596 44.9767604 9.461383394 36.25715153 "Accuri" "Inland" "Z14047F" "Summer" "June" 2015 "Free" "Independence" "Deep"
"Z14-48-1" 5776.899202 1206.946024 4569.953178 16.11683988 12.82185987 8.694443944 "Accuri" "Inland" "Z14048F" "Summer" "June" 2015 "Free" "Independence" "Surface"
"Z14-50-1" 4130.724917 1054.379193 3076.345724 60.42200262 11.06325124 49.66013283 "Accuri" "Inland" "Z14050F" "Fall" "October" 2015 "Free" "North" "Surface"
"Z14-51-1" 4721.285284 1317.604332 3403.680952 69.68700182 12.68087039 58.62966599 "Accuri" "Inland" "Z14051F" "Fall" "October" 2014 "Free" "North" "Deep"
"Z14-53-1" 3870.306913 880.4379836 2989.868929 30.62736914 26.17570698 17.62977041 "Accuri" "Inland" "Z14053F" "Fall" "October" 2014 "Free" "Bruin" "Surface"
"Z14-55-1" 7151.123168 3062.020685 4089.102483 198.957118 98.25061456 100.7485977 "Accuri" "Inland" "Z14055F" "Fall" "October" 2014 "Free" "Bruin" "Deep"
"Z14-57-1" 6199.51388 1852.823504 4346.690376 36.29889511 41.94171529 15.95311692 "Accuri" "Inland" "Z14057F" "Fall" "October" 2014 "Free" "Whitmore" "Surface"
"Z14-59-1" 5262.967016 1470.039168 3792.927848 89.98283309 36.29969349 61.4192159 "Accuri" "Inland" "Z14059F" "Fall" "October" 2014 "Free" "Whitmore" "Deep"
"Z14-61-1" 4120.768342 1225.764088 2895.004253 50.44672218 28.17746895 29.50786883 "Accuri" "Inland" "Z14061F" "Fall" "October" 2014 "Free" "Independence" "Surface"
"Z14-63-1" 3795.547753 1108.947539 2686.600214 43.2939176 29.58495376 14.18664837 "Accuri" "Inland" "Z14063F" "Fall" "October" 2014 "Free" "Independence" "Deep"
"Z14-65-1" 1957.204374 707.5799188 1249.624456 216.1712793 46.67359786 170.3789331 "Accuri" "Inland" "Z15065F" "Spring" "April" 2015 "Free" "North" "Surface"
"Z14-67-1" 1858.277671 700.8057004 1157.471971 272.7387584 101.4310373 172.06573 "Accuri" "Inland" "Z15067F" "Spring" "April" 2015 "Free" "North" "Deep"
"Z14-69-1" 2512.418891 778.5636587 1733.855232 52.50800127 20.19848344 36.60186573 "Accuri" "Inland" "Z15069F" "Spring" "April" 2015 "Free" "Bruin" "Surface"
"Z14-71-1" 3579.879208 1321.206898 2258.672311 53.13133225 48.65339876 5.991882325 "Accuri" "Inland" "Z15071F" "Spring" "April" 2015 "Free" "Bruin" "Deep"
"Z14-73-1" 5534.262926 1984.381604 3549.881322 43.89585017 40.36250055 7.519806139 "Accuri" "Inland" "Z15073F" "Spring" "April" 2015 "Free" "Whitmore" "Surface"
"Z14-75-1" 5699.981915 2094.257295 3605.72462 185.3392347 109.5991324 75.88184993 "Accuri" "Inland" "Z15075F" "Spring" "April" 2015 "Free" "Whitmore" "Deep"
"Z14-77-1" 6536.193575 2021.500991 4514.692585 76.35780296 51.38608918 26.0343514 "Accuri" "Inland" "Z15077F" "Spring" "April" 2015 "Free" "Independence" "Surface"
"Z14-79-1" 6556.486887 2001.412927 4555.07396 46.39932271 7.226140413 40.26208702 "Accuri" "Inland" "Z15079F" "Spring" "April" 2015 "Free" "Independence" "Deep"
