"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth"
"MBRE2-515" 4326.955645 1739.096624 2587.85902 96.17494375 70.45146776 31.36159022 "Accuri" "Muskegon" "MBRE2F515" "Spring" "May" 2015 "Free" "MBR" "Surface"
"MBRE2-915" 4895.227607 1264.623909 3630.603698 22.8532975 16.80030478 14.09263546 "Accuri" "Muskegon" "MBRE2F915" "Fall" "September" 2015 "Free" "MBR" "Surface"
"MBRH1-714" 2684.665697 789.2178887 1895.447808 32.63865877 17.56030872 15.81554391 "Accuri" "Muskegon" "MBRH1F714" "Summer" "July" 2014 "Free" "MBR" "Deep"
"MBRH1-914" 3475.184587 988.4506973 2486.733889 18.520798 10.74289791 8.16331964 "Accuri" "Muskegon" "MBRH1F914" "Fall" "September" 2014 "Free" "MBR" "Deep"
"MRBH1-715" 2309.541701 604.9956189 1704.546082 41.21500266 15.90678581 27.67813169 "Accuri" "Muskegon" "MBRH1F715" "Summer" "July" 2015 "Free" "MBR" "Deep"
"MBRH2-515" 4833.39969 1293.993211 3539.406478 91.21146532 32.42467127 81.88252541 "Accuri" "Muskegon" "MBRH2F515" "Spring" "May" 2015 "Free" "MBR" "Deep"
"MBRH2-915" 2827.50435 847.4783695 1980.025981 109.8318865 46.39703628 63.68118052 "Accuri" "Muskegon" "MBRH2F915" "Fall" "September" 2015 "Free" "MBR" "Deep"
"MUSDEPE1-epi-deep-514" 4412.737842 2396.947528 2015.790314 112.6219378 114.096596 100.6250727 "Accuri" "Muskegon" "MDPE1F514" "Spring" "May" 2014 "Free" "MDP" "Surface"
"MDPE1-714" 9365.634053 3007.82581 6357.808244 100.3518524 44.80045981 58.13229242 "Accuri" "Muskegon" "MDPE1F714" "Summer" "July" 2014 "Free" "MDP" "Surface"
"MDPE1-914" 7360.864378 2059.672048 5301.192331 149.891638 75.02402954 75.89716088 "Accuri" "Muskegon" "MDPE1F914" "Fall" "September" 2014 "Free" "MDP" "Surface"
"MDPE1-715" 7539.904733 1721.378751 5818.525982 50.03173127 54.28279075 43.61652186 "Accuri" "Muskegon" "MDPE1F715" "Summer" "July" 2015 "Free" "MDP" "Surface"
"MDPE2-515" 6095.630674 2155.514548 3940.116126 104.7920411 50.6269332 62.12279334 "Accuri" "Muskegon" "MDPE2F515" "Spring" "May" 2015 "Free" "MDP" "Surface"
"MDPE2-915" 5522.877426 1349.635455 4173.241971 60.79746975 33.7110419 30.62477363 "Accuri" "Muskegon" "MDPE2F915" "Fall" "September" 2015 "Free" "MDP" "Surface"
"MDPH1-714" 2792.914004 836.1636558 1956.750349 26.47493709 13.52857357 13.34077381 "Accuri" "Muskegon" "MDPH1F714" "Summer" "July" 2014 "Free" "MDP" "Deep"
"MDPH1-914" 3348.037862 1139.623799 2208.414063 23.67413538 41.72705286 39.61647438 "Accuri" "Muskegon" "MDPH1F914" "Fall" "September" 2014 "Free" "MDP" "Deep"
"MDPH1-715" 2703.952099 713.1023333 1990.849765 105.0174351 38.21553239 69.91079354 "Accuri" "Muskegon" "MDPH1F715" "Summer" "July" 2015 "Free" "MDP" "Deep"
"MUSDEPH-hypo-deep-514" 3112.909391 1406.416197 1706.493194 42.78451351 25.04030632 17.79340622 "Accuri" "Muskegon" "MDPH2F514" "Spring" "May" 2014 "Free" "MDP" "Deep"
"MDPH2-515" 3070.178756 1051.089388 2019.089367 6.03995441 12.23751948 7.037903373 "Accuri" "Muskegon" "MDPH2F515" "Spring" "May" 2015 "Free" "MDP" "Deep"
"MDPH2-915" 4146.877003 1587.176345 2559.700658 19.13194141 15.91658115 20.68732738 "Accuri" "Muskegon" "MDPH2F915" "Fall" "September" 2015 "Free" "MDP" "Deep"
"MUSINLE1-epi-inlet-514" 5465.149289 3145.039711 2320.109578 123.7215566 95.86982959 54.19170502 "Accuri" "Muskegon" "MINE1F514" "Spring" "May" 2014 "Free" "MIN" "Surface"
"MINE1-714" 10419.6225 3659.046108 6760.576391 63.90504441 37.24916958 50.44382012 "Accuri" "Muskegon" "MINE1F714" "Summer" "July" 2014 "Free" "MIN" "Surface"
"MINE1-914" 9447.100065 3360.73165 6086.368415 128.6028639 75.52509734 57.47263725 "Accuri" "Muskegon" "MINE1F914" "Fall" "September" 2014 "Free" "MIN" "Surface"
"MINE1-715" 8596.26076 2913.853507 5682.407252 48.19201139 27.02452664 22.21162988 "Accuri" "Muskegon" "MINE1F715" "Summer" "July" 2015 "Free" "MIN" "Surface"
"MINE2-515" 7217.488753 2803.428088 4414.060665 378.974444 489.935488 121.8646305 "Accuri" "Muskegon" "MINE2F515" "Spring" "May" 2015 "Free" "MIN" "Surface"
"MINE2-915" 6647.631765 2312.988547 4334.643218 72.82450101 45.52362168 42.87152807 "Accuri" "Muskegon" "MINE2F915" "Fall" "September" 2015 "Free" "MIN" "Surface"
"MUSINLH1-hypo-inlet-514" 5416.344337 3208.599181 2207.745156 76.61426329 26.51129562 59.1957771 "Accuri" "Muskegon" "MINH1F514" "Spring" "May" 2014 "Free" "MIN" "Deep"
"MINH1-714" 8911.216513 3319.397042 5591.819471 117.6425419 19.23992066 104.9375505 "Accuri" "Muskegon" "MINH1F714" "Summer" "July" 2014 "Free" "MIN" "Deep"
"MINH1-914" 8404.619652 2792.948857 5611.670795 301.1313053 155.796909 147.726692 "Accuri" "Muskegon" "MINH1F914" "Fall" "September" 2014 "Free" "MIN" "Deep"
"MINH1-715" 8121.097624 2786.736502 5334.361121 347.4542191 116.9832246 232.4792132 "Accuri" "Muskegon" "MINH1F715" "Summer" "July" 2015 "Free" "MIN" "Deep"
"MINH2-515" 6695.260868 2505.861798 4189.399069 94.85347212 23.78071705 74.86319197 "Accuri" "Muskegon" "MINH2F515" "Spring" "May" 2015 "Free" "MIN" "Deep"
"MINH2-915" 6566.333665 2267.897202 4298.436463 69.18606138 31.99235652 39.83685504 "Accuri" "Muskegon" "MINH2F915" "Fall" "September" 2015 "Free" "MIN" "Deep"
