;SampleID;FCM;Study;Blank;Duplicates;Group;Station;Season;Year;Lake;Depth;Fraction;Sampnum;Invaded;TP;TDP;CHL;TSS;VSS;Turbidity;NO3;NH4;SRP
Z15.067.P;Z15.067.P;no;Inland;no;Z15.066.P;Inland;Hypo;Spring;2015;North;Bottom;Particle;Z15.067;no;16,75;4,1;11,31;4,02;2,83;1,34;0,032;9,38;0,13
Z15.068.F;Z15.068.F;no;Inland;no;Z15.068.F;Inland;Epi;Spring;2015;Bruin;Top;Free;Z15.068;yes;20,26;2,56;12,09;4,82;2,95;1,18;0,033;8,69;0,14
Z15.068.P;Z15.068.P;no;Inland;no;Z15.068.P;Inland;Epi;Spring;2015;Bruin;Top;Particle;Z15.068;yes;20,26;2,56;12,09;4,82;2,95;1,18;0,033;8,69;0,14
Z15.069.F;Z15.069.F;yes;Inland;no;Z15.068.F;Inland;Epi;Spring;2015;Bruin;Top;Free;Z15.069;yes;7,73;3,54;2,42;2,7;1,05;1,51;0,086;73,11;2,07
Z15.069.P;Z15.069.P;no;Inland;no;Z15.068.P;Inland;Epi;Spring;2015;Bruin;Top;Particle;Z15.069;yes;7,73;3,54;2,42;2,7;1,05;1,51;0,086;73,11;2,07
Z15.070.F;Z15.070.F;no;Inland;no;Z15.070.F;Inland;Hypo;Spring;2015;Bruin;Bottom;Free;Z15.070;yes;10,28;3,1;2,5;3,03;1,02;1,17;0,079;71,89;1,73
Z15.070.P;Z15.070.P;no;Inland;no;Z15.070.P;Inland;Hypo;Spring;2015;Bruin;Bottom;Particle;Z15.070;yes;10,28;3,1;2,5;3,03;1,02;1,17;0,079;71,89;1,73
Z15.071.F;Z15.071.F;yes;Inland;no;Z15.070.F;Inland;Hypo;Spring;2015;Bruin;Bottom;Free;Z15.071;yes;9,6;3,57;3,46;1,85;0,8;0,81;0,109;145,07;1,81
Z15.071.P;Z15.071.P;no;Inland;no;Z15.070.P;Inland;Hypo;Spring;2015;Bruin;Bottom;Particle;Z15.071;yes;9,6;3,57;3,46;1,85;0,8;0,81;0,109;145,07;1,81
Z15.072.F;Z15.072.F;no;Inland;no;Z15.065.F;Inland;Epi;Spring;2015;North;Top;Free;Z15.072;no;8,91;3,96;3,57;2,35;0,85;0,8;0,103;130,39;2,44
Z15.072.P;Z15.072.P;no;Inland;no;Z15.065.P;Inland;Epi;Spring;2015;North;Top;Particle;Z15.072;no;8,91;3,96;3,57;2,35;0,85;0,8;0,103;130,39;2,44
Z15.073.F;Z15.073.F;yes;Inland;no;Z15.073.F;Inland;Epi;Spring;2015;Whitmore;Top;Free;Z15.073;yes;11,44;3,24;2,9;1,97;1,12;0,36;0,071;45,84;0,14
Z15.073.P;Z15.073.P;no;Inland;no;Z15.073.P;Inland;Epi;Spring;2015;Whitmore;Top;Particle;Z15.073;yes;11,44;3,24;2,9;1,97;1,12;0,36;0,071;45,84;0,14
Z15.074.F;Z15.074.F;no;Inland;no;Z15.073.F;Inland;Epi;Spring;2015;Whitmore;Top;Free;Z15.074;yes;11,72;3,47;2,87;1,7;1,14;0,64;0,07;47,04;0,04
Z15.074.P;Z15.074.P;no;Inland;no;Z15.073.P;Inland;Epi;Spring;2015;Whitmore;Top;Particle;Z15.074;yes;11,72;3,47;2,87;1,7;1,14;0,64;0,07;47,04;0,04
Z15.075.F;Z15.075.F;yes;Inland;no;Z15.075.F;Inland;Hypo;Spring;2015;Whitmore;Bottom;Free;Z15.075;yes;20,93;3,41;3,09;2,57;1,62;0,68;0,073;66,08;0,12
Z15.075.P;Z15.075.P;no;Inland;no;Z15.075.P;Inland;Hypo;Spring;2015;Whitmore;Bottom;Particle;Z15.075;yes;20,93;3,41;3,09;2,57;1,62;0,68;0,073;66,08;0,12
Z15.076.F;Z15.076.F;no;Inland;no;Z15.075.F;Inland;Hypo;Spring;2015;Whitmore;Bottom;Free;Z15.076;yes;17,34;3,12;2,73;2,09;1,17;0,54;0,069;61,08;0
Z15.076.P;Z15.076.P;no;Inland;no;Z15.075.P;Inland;Hypo;Spring;2015;Whitmore;Bottom;Particle;Z15.076;yes;17,34;3,12;2,73;2,09;1,17;0,54;0,069;61,08;0
Z15.077.F;Z15.077.F;yes;Inland;no;Z15.077.F;Inland;Epi;Spring;2015;Independence;Top;Free;Z15.077;yes;10,94;4,7;1,76;1,63;0,93;0,68;0;10,03;2,9
Z15.077.P;Z15.077.P;no;Inland;no;Z15.077.P;Inland;Epi;Spring;2015;Independence;Top;Particle;Z15.077;yes;10,94;4,7;1,76;1,63;0,93;0,68;0;10,03;2,9
Z15.078.F;Z15.078.F;no;Inland;no;Z15.077.F;Inland;Epi;Spring;2015;Independence;Top;Free;Z15.078;yes;15,66;4,73;1,78;1,51;0,86;0,61;0;9,19;2,44
Z15.078.P;Z15.078.P;no;Inland;no;Z15.077.P;Inland;Epi;Spring;2015;Independence;Top;Particle;Z15.078;yes;15,66;4,73;1,78;1,51;0,86;0,61;0;9,19;2,44
Z15.079.F;Z15.079.F;yes;Inland;no;Z15.079.F;Inland;Hypo;Spring;2015;Independence;Bottom;Free;Z15.079;yes;10,34;5,08;1,93;1,59;0,87;0,62;0;8,95;2,87
Z15.079.P;Z15.079.P;no;Inland;no;Z15.079.P;Inland;Hypo;Spring;2015;Independence;Bottom;Particle;Z15.079;yes;10,34;5,08;1,93;1,59;0,87;0,62;0;8,95;2,87
Z15.080.F;Z15.080.F;no;Inland;no;Z15.079.F;Inland;Hypo;Spring;2015;Independence;Bottom;Free;Z15.080;yes;11,44;5,03;1,86;1,52;0,84;0,83;0;9,83;2,98
Z15.080.P;Z15.080.P;no;no;no;Inland;Hypo;Spring;2015;Independence;Bottom;Particle;Z15.080;yes;11,44;5,03;1,86;1,52;0,84;0,83;0;9,83;2,98;
