;SampleID;FCM;Study;Blank;Duplicates;Group;Station;Season;Year;Lake;Depth;Fraction;Sampnum;Invaded;TP;TDP;CHL;TSS;VSS;Turbidity;NO3;NH4;SRP
Z14.033.F;Z14.033.F;yes;Inland;no;Z14.033.F;Inland;Inlet;Summer;2014;Cedar;Top;Free;Z14.033;yes;13,82;4;3,52;3,26;NA;NA;0,166;14,66;1,03
Z14.033.P;Z14.033.P;no;Inland;no;Z14.033.P;Inland;Inlet;Summer;2014;Cedar;Top;Particle;Z14.033;yes;13,82;4;3,52;3,26;NA;NA;0,166;14,66;1,03
Z14.034.F;Z14.034.F;yes;Inland;no;Z14.034.F;Inland;Epi;Summer;2014;Cedar;Top;Free;Z14.034;yes;13,3;4,7;3,64;3,22;NA;NA;0,165;222,6;0,4
Z14.034.P;Z14.034.P;no;Inland;no;Z14.034.P;Inland;Epi;Summer;2014;Cedar;Top;Particle;Z14.034;yes;13,3;4,7;3,64;3,22;NA;NA;0,165;222,6;0,4
Z14.035.F;Z14.035.F;yes;Inland;no;Z14.035.F;Inland;Hypo;Summer;2014;Cedar;Bottom;Free;Z14.035;yes;18,94;5,13;4,95;3,28;NA;NA;0,166;216,38;8,38
Z14.035.P;Z14.035.P;no;Inland;no;Z14.035.P;Inland;Hypo;Summer;2014;Cedar;Bottom;Particle;Z14.035;yes;18,94;5,13;4,95;3,28;NA;NA;0,166;216,38;8,38
Z14.036.F;Z14.036.F;yes;Inland;no;Z14.036.F;Inland;Outlet;Summer;2014;Cedar;Top;Free;Z14.036;yes;14,05;5,72;4,27;3,18;NA;NA;0,165;4,13;0,49
Z14.036.P;Z14.036.P;no;Inland;no;Z14.036.P;Inland;Outlet;Summer;2014;Cedar;Top;Particle;Z14.036;yes;14,05;5,72;4,27;3,18;NA;NA;0,165;4,13;0,49
Z14.037.F;Z14.037.F;yes;Inland;no;Z14.037.F;Inland;Inlet;Summer;2014;Sand;Top;Free;Z14.037;yes;9,58;3,1;1,86;1,56;NA;NA;0,165;3,89;1,32
Z14.037.P;Z14.037.P;no;Inland;no;Z14.037.P;Inland;Inlet;Summer;2014;Sand;Top;Particle;Z14.037;yes;9,58;3,1;1,86;1,56;NA;NA;0,165;3,89;1,32
Z14.038.F;Z14.038.F;yes;Inland;no;Z14.038.F;Inland;Epi;Summer;2014;Sand;Top;Free;Z14.038;yes;8,67;2,68;1,92;2,17;NA;NA;0,165;2,59;0,34
Z14.038.P;Z14.038.P;no;Inland;no;Z14.038.P;Inland;Epi;Summer;2014;Sand;Top;Particle;Z14.038;yes;8,67;2,68;1,92;2,17;NA;NA;0,165;2,59;0,34
Z14.039.F;Z14.039.F;yes;Inland;no;Z14.039.F;Inland;Hypo;Summer;2014;Sand;Bottom;Free;Z14.039;yes;11,66;3,74;3,47;2,29;NA;NA;0,173;81,48;1,15
Z14.039.P;Z14.039.P;no;Inland;no;Z14.039.P;Inland;Hypo;Summer;2014;Sand;Bottom;Particle;Z14.039;yes;11,66;3,74;3,47;2,29;NA;NA;0,173;81,48;1,15
Z14.040.F;Z14.040.F;yes;Inland;no;Z14.040.F;Inland;Outlet;Summer;2014;Sand;Top;Free;Z14.040;yes;11,4;4,02;1,72;2,17;NA;NA;0,164;3,97;1,4
Z14.040.P;Z14.040.P;no;Inland;no;Z14.040.P;Inland;Outlet;Summer;2014;Sand;Top;Particle;Z14.040;yes;11,4;4,02;1,72;2,17;NA;NA;0,164;3,97;1,4
Z14.041.F;Z14.041.F;yes;Inland;no;Z14.041.F;Inland;Inlet;Summer;2014;Whitmore;Top;Free;Z14.041;yes;13,56;2,78;3,71;2,99;NA;NA;0,168;3,83;42,56
Z14.041.P;Z14.041.P;no;Inland;no;Z14.041.P;Inland;Inlet;Summer;2014;Whitmore;Top;Particle;Z14.041;yes;13,56;2,78;3,71;2,99;NA;NA;0,168;3,83;42,56
