,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,kendall,p_kendall
Otu000042,0.062,37533.75593264307,1.6437484454929874,0.005053116986661463,1.426601288364254,0.42737175130873845,1.7810284244558458e-06
Otu001387,0.062,1155.2603498215055,2.9394357552934345,0.0001436564886044274,2.7939043719042753,0.2770826264620416,0.00644266921865176
Otu000894,0.06,973.1852347921654,2.6086643137097356,0.00011492519088353871,2.3466546209097023,0.3883382012078691,0.0001271041850849336
Otu000277,0.06,7064.287014868449,1.5350906715545662,0.0009589070614346436,1.345876752037178,0.4327003862712865,2.4992503982762986e-06
Otu000283,0.06,356.5117553027202,2.6257201629957287,6.10540076568742e-05,2.3964871146470563,-0.023568707216247046,0.8188005117641242
Otu000139,0.058,23970.45747341277,1.0988634386234004,0.0036847889327040616,0.9746118289866039,0.0692509780733257,0.4325863485797532
Otu000099,0.058,654.5744559477379,2.4137559964519117,0.0001903448474008726,2.792860337592919,-0.4496768473460728,8.216071019187185e-06
Otu000088,0.058,7070.53985892933,1.127830457242443,0.0013252311073759853,1.1051167365502974,-0.08778122159207347,0.33034322907304514
Otu000904,0.058,701.7141239719579,2.5769266204689028,0.00012929083974397906,2.3242080213557132,-0.12519207690126646,0.2161421445295887
Otu000196,0.056,18402.096607699274,1.482844425452177,0.0025965910315253788,1.1930937499662748,0.37949537045502896,2.4899501740321125e-05
Otu001574,0.056,669.4031542152404,2.6958151267359223,7.901106873243066e-05,2.4524194579374616,0.3249563696984746,0.0014867753843951493
Otu000159,0.056,469.72897889686203,2.291928952619513,8.978530537775646e-05,1.9809320541803705,-0.2504463892978313,0.014048569052226696
Otu000563,0.056,4264.599636157623,2.067879258895213,0.0008152505728302032,1.988057792583939,-0.24539552893419386,0.009167872543776694
Otu000152,0.054,20968.966606840935,1.6060923215172611,0.002876721184304055,1.338559206058882,0.3571302309956558,8.014416187432892e-05
Otu000515,0.054,3723.5778435688567,2.136278984078655,0.0004992062979004241,1.9579403263718251,0.2985366242666922,0.0020548941829067273
Otu000870,0.054,779.2517246392433,4.062495232561969,0.0002585816794879903,4.508817734269221,-0.3029045299073115,0.002864125919640631
Otu000496,0.054,337.9127939211759,1.97926744839902,7.182824430220163e-05,2.006219836605014,-0.26834610354574706,0.009083177229001337
Otu001366,0.052,597.4000669942033,2.2834566518564907,7.901106873242903e-05,2.3438354374078045,0.2931453345970041,0.004155666618600983
Otu000074,0.052,16927.54977082839,0.6230133342854479,0.0030850230927804948,0.6630403375502594,-0.2661110080828418,0.002682870524596881
Otu000388,0.052,257.0358539372651,2.609130656438581,6.823683208709838e-05,3.6225707634873676,-0.24114228193064016,0.020391866979367224
Otu000219,0.052,10554.607994167549,1.0978719970417052,0.0016520496189511159,1.1764129554783502,0.3110547615407644,0.000583462846932634
Otu000204,0.05,6224.891733829665,2.8375511023325592,0.0014617047715502352,2.835809593416641,-0.3560893141632473,0.00023899936246507168
Otu002026,0.05,1108.3406189511638,2.774712706559903,0.00015443072524976288,2.4434158037047355,0.23306319926657804,0.021077202247020706
Otu000470,0.05,959.6444459348814,2.1485562959095863,0.0002478074428426516,2.4465134479504793,-0.3594475709552498,0.00031127100147098914
Otu000075,0.048,29602.794739504094,1.0868679171742155,0.005599011643358351,1.2248311623347263,0.06973082996052933,0.42904163699726583
Otu000026,0.048,55789.04090993097,0.7756467336325794,0.00867685191170869,0.6429089529145579,0.3193065823500166,0.0002717042607775407
