,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,kendall,p_kendall
Otu002173,0.116,995.0741309830197,1.885751590034808,0.00016241473226552745,1.9456009094047686,0.04494976203067161,0.6056470249748174
Otu001086,0.116,800.6995246031548,3.4984288096802807,9.280841843744677e-05,3.3943528962168,0.01639344262295082,0.8506442012050557
Otu000650,0.114,6350.446834904532,2.0009160476200387,0.0009245146298192988,2.1846521870313644,0.03860391327340032,0.6574706719780812
Otu000191,0.112,10522.809243932648,1.1190605459631,0.0018151184913634015,1.1032401973114325,-0.03014278159703861,0.7291753851156607
Otu001905,0.112,1105.893019279163,3.3927192898247776,0.00013564307310089677,3.0823506481854595,0.13484928609201483,0.12140795969939298
Otu001685,0.112,2094.988223812857,3.819550694079216,0.0002480840415924371,3.4481236953079097,0.13273400317292441,0.12736026314359072
Otu000453,0.112,1773.6783530432242,1.465296302112282,0.0002819948098676226,1.3229622755325292,-0.07879428873611846,0.365445157668264
Otu001622,0.112,630.7718238103568,2.275572926586832,9.459319571508389e-05,2.158551453872871,-0.07667900581702804,0.37845755516525637
Otu000088,0.112,1016.8798532698905,1.9928105066394726,0.00020346460965133228,2.180322386875692,-0.03860391327340032,0.6574706719780812
Otu000877,0.11,6355.799532225938,3.6849978432141293,0.0007728085612196339,3.413082520256172,0.09994711792702275,0.2509679622796229
Otu000388,0.108,800.9423913784551,1.8394302351544627,0.00015349084587730963,2.158274608943249,0.017451084082496036,0.841132804108627
Otu000763,0.108,5262.452517112437,3.5879181861726384,0.0008209975477159937,3.8422286342204393,0.13061872025383398,0.13353717534856532
Otu000701,0.108,803.7817625568002,3.5578827905753854,0.00015170606859966614,3.527270967584079,-0.03754627181385511,0.6662794719715107
Otu000156,0.106,4794.159760113439,0.9057652783217958,0.0008013649976618711,0.9394299531896337,-0.2734003172924379,0.0016877474142213043
Otu000095,0.106,30411.35902877774,2.8019364345457087,0.0056702374110734486,2.7725140115432354,-0.021681649920676893,0.8033318877997414
Otu000501,0.104,3312.7907022384675,2.319147285890149,0.000619317715342266,2.223526968138109,-0.29349550502379695,0.0007486449311619169
Otu000595,0.104,519.5760640770735,1.7136106550729993,8.209975477156934e-05,1.707245126358072,-0.017451084082496036,0.841132804108627
Otu000117,0.102,1544.0437432651433,2.1978051979918316,0.00020881894148425166,1.9192997638906049,-0.028027498677948178,0.7475085022428376
Otu001118,0.1,423.1131036134599,2.1776722846435472,7.853020021629032e-05,2.1557527728415242,-0.04706504494976203,0.5887879515824399
Otu000006,0.1,17083.86685329666,2.5479831316215544,0.0032340164270900267,2.427889279549118,-0.2120571126388155,0.014862726381484934
Otu000905,0.1,1417.6784053264896,1.728595886671973,0.00024451448703711293,1.816028132584024,-0.1475409836065574,0.09013826416642948
Otu000400,0.1,753.9499522518536,1.9629842413224075,0.00013028874126794194,2.25770359261883,-0.21840296139608675,0.012121210317214266
Otu000720,0.098,404.96417451016777,2.7719111245044608,7.853020021629838e-05,2.7407392319834583,-0.12638815441565313,0.14658349647125501
Otu000132,0.098,4160.658298577178,1.4735642493000913,0.0006800001427821242,1.484687457262472,-0.15917503966155475,0.06750474728448311
Otu000219,0.098,10470.606308195342,1.4369458281883907,0.0016366407635990776,1.5234561611304995,0.2205182443151772,0.011312576808486947
Otu000646,0.096,3378.875953147812,2.687799386183899,0.0006050394971211388,2.7197185378919873,-0.1983077736647277,0.02273964862980675
Otu000857,0.094,499.93381045665274,2.4283560005815477,8.566930932686613e-05,2.4013790057647095,0.0671602326811211,0.44046490565728946
Otu000259,0.094,1498.376485723567,2.4136627449151944,0.0003051969144770032,2.7882137493015544,-0.012162876784769964,0.888893959861689
Otu000390,0.094,6267.0084821665005,3.4368071553415365,0.0008245671022712744,2.964324459086446,-0.16552088841882603,0.05727744489654136
Otu001707,0.094,318.21348349438,2.37757994840417,6.960631382807741e-05,2.5133394562412708,-0.20148069804336333,0.020655374559544776
Otu000402,0.092,1125.1515124291898,1.7758366848114995,0.00017847772776429514,1.5160042389320991,0.014278159703860394,0.8697309799351222
Otu000458,0.092,1175.4474787093927,1.984937790437781,0.00022131238242775647,2.002048131617353,-0.24061343204653624,0.005714879363194538
Otu000213,0.092,7861.60005004337,1.6269561685468386,0.0011815225577999557,1.6538332372336064,-0.042834479111581183,0.62271890205929
Otu000418,0.09,2972.7501474243886,2.4259938789973328,0.0006496589290622144,2.5852908732783444,0.04494976203067161,0.6056470249748174
Otu000139,0.09,7232.710655466597,1.4623556307234984,0.0012743309762374164,1.540541269825884,-0.006874669487043892,0.9370620025943025
Otu000020,0.09,65288.00615626262,1.1204907427874145,0.009539634549004593,0.8842949617846143,0.021681649920676893,0.8033318877997414
Otu000778,0.088,401.54793767736237,2.18714111019293,6.603675927279033e-05,2.4360382863212533,-0.12215758857747225,0.160583177351021
Otu000175,0.088,35461.861329346735,1.9298148716074952,0.00478677265863992,2.0014589809865067,0.13696456901110526,0.11567548243092071
Otu000143,0.088,29296.162804500847,0.9065660961078477,0.004729659785755288,0.8425404227794169,-0.06398730830248546,0.46236148255917053
Otu000966,0.088,2113.526406748956,2.0375276796866757,0.00029805780536643214,1.9198217220723846,-0.06292966684294024,0.4697931005256184
Otu000853,0.088,1017.1869186320038,1.943089336471434,0.00015884517771023708,1.830638387853052,-0.06187202538339504,0.4772902611997323
Otu000067,0.086,11175.1426817992,1.6203978423153522,0.0024897643023126625,1.8743488378847468,0.04494976203067161,0.6056470249748174
Otu000079,0.086,6038.2225332968055,2.2332457624797337,0.0009512862889839679,2.176347259466123,0.10840824960338447,0.2130631061543815
Otu000921,0.086,523.1718129785435,2.2786054347215554,8.031497749393062e-05,2.233744264363537,-0.06610259122157588,0.4476969070283343
Otu000046,0.086,27872.1275266021,1.402707625749155,0.003864042806098171,1.1539544073663508,0.22474881015335804,0.009837633533389475
Otu000265,0.086,6293.776175425754,2.3140581139916088,0.001897218246135021,3.5147130636602286,-0.21099947117927023,0.015369272070878244
Otu000787,0.086,3192.2518230214864,2.7411153207392,0.0006443045972292725,3.0633690088788508,0.01850872554204125,0.8316445391372341
Otu000373,0.086,19053.31455192273,1.6642428894898682,0.003478530914127188,1.654919792960881,-0.16763617133791645,0.054168845050179
Otu003610,0.086,416.9926382274306,3.0241792834542713,4.997376377400484e-05,2.964747713779077,0.07139079851930197,0.4122155138155018
