,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV
Otu000173,0.9633333333333334,8669.419741790718,1.8835721210118694,0.001284263705482191,1.520429819521001
Otu002102,0.5366666666666666,198.37741539653373,5.072315794682494,0.0002238395358143251,0.42522316294174417
Otu000981,0.5233333333333333,746.9715657700579,3.9735190771014595,0.00029636854741896696,1.2636045142841097
Otu000682,0.5133333333333333,1053.3121639643355,4.379639735326473,0.00030512204881952715,1.427276774016763
Otu000001,0.49333333333333335,369375.3893837137,0.7287593487717613,0.09485294117647064,0.638429754462345
Otu002073,0.48333333333333334,102.18140526585633,3.814298900577359,0.00021508603441376483,0.1493550384777105
Otu001327,0.4766666666666667,633.8703590323634,3.617885385544303,0.0002588535414165659,0.8835976169546171
Otu002589,0.4633333333333333,161.14288462510007,3.4285627441531332,0.0002163365346138449,0.19669257411397031
Otu000060,0.45666666666666667,25684.04822338961,1.454461103687403,0.0037840136054421722,1.030437536023967
Otu000169,0.45666666666666667,14204.429060076529,1.6728436034286327,0.002300920368147256,1.5809581243136897
Otu000242,0.44333333333333336,4517.53891615609,3.260158693001742,0.0007778111244497798,2.1033116100842753
Otu000292,0.44,1013.7755356934027,2.801058947259698,0.0005439675870348131,2.031925584711869
Otu001586,0.43666666666666665,260.72921088310324,3.8305895973940345,0.00022759103641456518,0.38355450187925777
Otu000027,0.42333333333333334,24561.179680984387,1.1945072116754014,0.008993597438975582,1.1484621991061092
Otu000335,0.4166666666666667,6266.337839286962,2.38105458272686,0.0010154061624649852,1.7454230224408394
Otu001276,0.4066666666666667,504.75272775610256,2.0879293154350833,0.0002450980392156857,0.41598277819944124
Otu000897,0.4033333333333333,89.84560107042816,4.234150508636949,0.00021508603441376485,0.21250394452868684
Otu000088,0.4,4616.289407465236,1.293974018344444,0.001785714285714284,1.5033132364419526
Otu001312,0.3933333333333333,79.13191525872855,4.520684097335718,0.0002475990396158457,0.8058609805430046
Otu000998,0.39,67.22800925995399,4.263092633202593,0.00022634053621448515,0.39335983181746736
Otu000313,0.39,2596.248069228942,2.167380266168612,0.00048394357743097177,1.2548961306405573
Otu000917,0.38666666666666666,1529.4798548957085,4.145417940372419,0.00035514205682272846,1.6979578023843975
Otu000022,0.38666666666666666,46093.61102123936,1.5308030569466973,0.015133553421368528,2.1164030565448035
Otu001912,0.38333333333333336,22.49563186024407,6.038232209094475,0.0002138355342136848,0.22739441047045225
Otu000074,0.37333333333333335,12493.67748718061,0.7947380104592042,0.0034726390556222434,0.8669285307949732
Otu000215,0.36,1037.942224962109,2.9236670952144364,0.0009291216486594629,2.3716587475095663
Otu000075,0.3466666666666667,17744.740905930623,1.295627178039994,0.006141206482593031,1.5170405774492215
Otu000330,0.3433333333333333,4777.1258568359835,2.427887401349119,0.0007790616246498593,1.869992764056674
Otu004062,0.34,10.257747779486792,6.256389475417011,0.0002138355342136848,0.1690833355927335
Otu000539,0.33666666666666667,885.7675263893058,1.986056271685728,0.00034513805522208823,0.8538013990096283
Otu002708,0.33666666666666667,325.79935061274495,9.448658282689632,0.00023384353741496533,0.9349106898472723
Otu000474,0.33,4093.285040026012,1.8907597268839067,0.0007553021208483386,1.4032430548415409
Otu000056,0.33,3396.8659099509814,3.867364587277955,0.0039603341336534635,4.629325665313364
Otu000231,0.32666666666666666,930.3055310215336,5.493850675987539,0.0014055622248899554,5.062067971111859
Otu000943,0.31333333333333335,211.5905198091736,5.394239038478036,0.00022258903561424504,0.4221193241828714
Otu000175,0.31333333333333335,22002.062711509723,2.066734905962656,0.0031662665066026392,1.9313781709789608
Otu001929,0.31333333333333335,50.29912776373048,4.417470977620417,0.00023384353741496536,0.5423054626980051
Otu000025,0.30666666666666664,77605.7104386761,1.0129490624269137,0.014965986394557807,0.7555973697201047
Otu001267,0.30666666666666664,425.42087562900167,5.08127314895224,0.00024384753901560559,0.8810773780640019
Otu000271,0.3,8054.352645459437,2.235152991566878,0.0011367046818727487,1.7988687255001738
Otu001688,0.3,121.4742420993397,7.705701050816726,0.00021508603441376483,0.23787270944990271
Otu000187,0.2966666666666667,6545.647502509753,1.7217524523111858,0.0010341636654661857,1.3033171572206432
Otu003268,0.2966666666666667,117.24288131627654,4.67331888597838,0.00021633653461384486,0.16551185515332972
Otu000139,0.2966666666666667,10858.662167435104,1.667758862581938,0.0019345238095238079,1.3243385099143896
Otu000253,0.29,5132.004607077704,1.9478134523366522,0.0011004401760704272,1.8806703243805913
Otu002147,0.29,47.2879302283413,4.625616928911718,0.00021133453381352475,0.07669515619417633
Otu000101,0.29,2077.1172930620996,1.7985020668062657,0.0009278711484593834,1.5914611749585736
