,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,r_spearman,p_spearman
Otu000187,0.49666666666666665,15571.32731714981,1.050220857516159,0.002133664374593839,0.8848090485192968,0.7126452674244498,2.7671355109603626e-08
Otu000060,0.4666666666666667,46181.07801319964,0.8730286637908922,0.006851972184775301,0.5856520932549921,0.5123554458796491,0.00027250857120158394
Otu000058,0.4533333333333333,35587.65657293737,1.408003647712098,0.009659680532252251,1.937661686723153,-0.34571952911925463,0.01860603217963518
Otu000005,0.4,139045.58507926075,1.9786339316921415,0.016661979070692164,1.6804885022597127,0.715837811755565,2.245374092989084e-08
Otu000271,0.38333333333333336,12722.360445717633,1.4309130619409798,0.0016681376019551854,1.2893234763786892,0.6096653181686916,6.881763724415116e-06
Otu000317,0.37,4682.596280591411,1.9046077338969687,0.0005479638052934021,1.6208530926513587,0.6923111145220547,9.834094673062325e-08
Otu000175,0.3566666666666667,29886.001096819877,1.2632796185822412,0.004029716125653403,1.032660542081797,0.6641345977940448,4.852973564839639e-07
Otu000027,0.33,23472.95019977887,1.0327706302459925,0.005625115169383829,1.1634861238384668,-0.7335363311956417,6.685175422550172e-09
Otu000496,0.31666666666666665,521.0435115557324,2.3719234814498806,0.00011638169315965216,2.128147632491571,-0.510264590104281,0.00029146293656643745
Otu000160,0.31,44395.28227378309,2.2700712688396845,0.005091699075735365,1.9960419994056555,0.6721084309403554,3.143227680728306e-07
Otu000296,0.2866666666666667,6822.029889228874,1.4933788679621829,0.0008922596475574111,1.3343745934165687,0.6866772431703454,1.3724371264242316e-07
Otu000038,0.2866666666666667,50410.67244704153,1.3642395685641036,0.006905313794140154,1.1553182934767252,0.5996915674377653,1.0612461006386202e-05
Otu000361,0.2833333333333333,3703.9145616483524,0.7753936373068084,0.0007613302427527758,0.9699344802114154,-0.4441410624494748,0.0019878490035311414
Otu000048,0.27666666666666667,22588.454524571072,1.5564120762484368,0.0029531854639264997,1.226365733598869,0.6104402710528358,6.6498879622859285e-06
Otu000122,0.2733333333333333,13216.350420622835,0.9970446193541294,0.0019978857325742326,0.9215826188184788,0.44709302908839105,0.0018390809032579824
Otu000517,0.27,1442.6519337545694,2.0542172329962587,0.0003830897399838848,2.3019868930455414,-0.3418267196764942,0.02006652142635391
Otu000108,0.2633333333333333,15728.009263619082,1.160458295873513,0.0022064029328186367,1.0450643304165192,0.686356127318159,1.3984490479299358e-07
Otu000203,0.26,3644.5377850284667,1.871877227164035,0.00077587795439775,1.900052996336966,-0.3317156153651659,0.02431749181856243
Otu000309,0.25,2522.9951036185003,1.578908055255996,0.00032489889340404785,1.4307163705421844,0.5740568851893096,3.0301755705016332e-05
Otu000018,0.24666666666666667,2364.8151309778973,1.260954309083087,0.000499471433143539,1.228258306951747,-0.5823937751187149,2.175195479707643e-05
Otu000434,0.23666666666666666,2043.0798899853562,1.6206911729211926,0.00047037600985362605,1.7693970869809708,-0.5267769668123308,0.00016932615336031365
Otu000899,0.23333333333333334,368.1000726852163,2.9853790531747917,4.3643134934867386e-05,2.9743300475611387,0.42795961776108404,0.003008516823965229
Otu000406,0.23333333333333334,615.3900098197053,3.3462194547148107,7.273855822478696e-05,3.362744323126085,0.46527256679067913,0.0011215568374332368
Otu000293,0.23,1017.9564813692301,2.342894057364748,0.00030550194454411525,2.3914290373385767,-0.5118770380649167,0.0002767443446546518
Otu000468,0.23,35.51113627811337,4.908858937967913,1.454771164495652e-05,5.0101132290500985,-0.30592215212396573,0.03867537772826041
Otu000150,0.21666666666666667,24551.354633785617,1.4043905212453276,0.006153682025817318,1.808427896949714,-0.05538068238489283,0.7146980353767176
Otu000139,0.21,28499.680311000982,1.0755897521998063,0.004233384088682816,0.950564731487157,0.2778396252742133,0.06154820308917631
Otu000196,0.20666666666666667,17467.238632907898,1.5183544599070746,0.0023906739469881106,1.2051671785863816,0.5840918483709416,2.0308963452883265e-05
Otu000220,0.20333333333333334,623.7991576147573,2.988014513604904,0.00020366796302941084,3.0529549848600586,-0.38711379136680013,0.00786559188079709
Otu000851,0.19,2086.9299411496595,1.519132626287781,0.0002715572840392022,1.458282312032695,0.6274945262813724,3.054633036772206e-06
Otu000377,0.18,2330.7474875326134,1.9284587468310155,0.0003248988934040566,1.868822546539098,0.4822389229896974,0.000689407446547001
Otu000204,0.17666666666666667,8322.121792733904,2.3912914792188382,0.001920297937134467,2.4332373809304784,-0.3368795258511956,0.022060867241434728
Otu000547,0.17333333333333334,1048.4543932391937,1.3927601947165495,0.0002473110979642695,1.450986280386147,-0.5095263140141381,0.00029843518641257927
Otu000894,0.17,1376.886646849449,2.9794978831616046,0.00015032635366455654,2.6369397539654056,0.6031208568960258,9.159080927136283e-06
Otu000030,0.15,14910.800837778466,2.190443911401952,0.0017942177695448177,1.822850032696409,0.6392582590196314,1.737282190310165e-06
Otu000346,0.14666666666666667,1123.7973672666787,1.6563809388921353,0.0002376126235342935,1.5634008810207791,-0.461490097879509,0.0012458940179215705
Otu000725,0.14333333333333334,949.4121856481972,1.6259866059408155,0.00023761262353430218,1.8074203927415757,-0.43629605974478675,0.0024362603349825968
Otu000193,0.14,10614.155107313622,0.985231521449353,0.001653589890310217,0.8240284834594818,0.2986185787414676,0.04381609957796451
Otu000227,0.13666666666666666,3116.704216033518,1.222163893311529,0.0006207023635181848,1.1856665304915641,-0.38813958876286236,0.007688852550222883
Otu000147,0.13333333333333333,9717.710900813705,1.8335105171008361,0.001997885732574237,2.033545560861298,-0.08590452552661058,0.5702729926017789
Otu000379,0.13,5791.335388079605,1.1271563871510435,0.0014062787923459325,1.3529308867825263,-0.7007648030814514,5.879210845216145e-08
Otu000195,0.13,3317.7683838510693,0.8806026715632276,0.0006691947356680479,0.9532271373123656,-0.4187017731633839,0.0037797895211016436
