,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV
Otu000173,1.0,8669.419741790718,1.8835721210118694,0.0012204881952781101,1.6304734468607238
Otu000060,0.9966666666666667,25684.04822338962,1.4544611036874036,0.0037427470988395323,1.0521540114887546
Otu000203,0.9933333333333333,6497.374080574606,2.170475031230022,0.001131702681072429,2.03129226601868
Otu000085,0.9833333333333333,30723.994947349936,1.1012976416090672,0.007046568627450968,0.8393851358083957
Otu000119,0.98,11843.95937434473,2.1634957903090046,0.001598139255702281,1.8807543976240417
Otu000047,0.98,19404.49028720138,2.1286035079429606,0.003984093637454979,1.963976214910573
Otu000001,0.98,369375.3893837138,0.7287593487717612,0.09485294117647063,0.6384297544623452
Otu000255,0.98,6122.341451426819,4.947271791392671,0.0010966886754701876,4.734552054116007
Otu000222,0.9733333333333334,6332.955910897234,1.9607023108140402,0.0010166566626650653,1.8556260461041747
Otu000088,0.9666666666666667,4616.289407465236,1.2939740183444435,0.001724439775910363,1.5785488885569563
Otu000175,0.9633333333333334,22002.062711509712,2.0667349059626567,0.003061224489795918,2.0145627900381613
Otu000137,0.9633333333333334,3052.0745572256396,1.863609442061709,0.001505602240896357,2.587881439943058
Otu000011,0.9566666666666667,168900.63511459582,1.016108088804911,0.03406612645058024,0.6413498147988207
Otu000176,0.9433333333333334,7582.179430249222,1.454065902313302,0.0014768407362945168,1.0959744806553786
Otu000217,0.94,11807.853024471158,1.8926305758142645,0.001904511804721887,1.9669782033880958
Otu000265,0.94,2911.0094061099435,2.862676741790102,0.0010904361744697873,3.8198966367255407
Otu000066,0.9266666666666666,13709.885539495805,2.0754930601299546,0.0021833733493397353,2.0294485262016613
Otu000020,0.9233333333333333,56464.792136403696,1.1061859733659942,0.010287865146058409,0.7718853951796679
Otu000190,0.9233333333333333,4203.922933238919,1.7616203726996886,0.0012492496998799513,1.4758715236204916
Otu000216,0.9233333333333333,7851.68724414666,3.398501665681765,0.00164940976390556,2.9079293614309827
Otu000059,0.92,18565.540422782742,0.7912952353020902,0.004970738295318121,0.9224060863114777
Otu000005,0.9133333333333333,132973.28709617758,1.8198036518845004,0.020486944777911142,1.6021007700627878
Otu000226,0.9066666666666666,4320.267067254529,1.6270369166388685,0.00120798319327731,2.6743961269051075
Otu000090,0.8966666666666666,12232.231688914315,1.0988348318526033,0.0028073729491796674,0.8939694988912907
Otu000098,0.8933333333333333,10090.39771802121,1.6835519591620134,0.002154611844737893,1.5133923972103276
Otu000033,0.89,22884.03523930023,0.9059263519626229,0.006717687074829924,1.0202291776029981
Otu000025,0.89,77605.71043867612,1.0129490624269135,0.014965986394557798,0.755597369720105
