,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,r_spearman,p_spearman
Otu000060,0.9433333333333334,27431.752890876145,1.4309586361072457,0.004058984735986716,1.0399395132900626,0.648101938523023,2.1795522926843617e-21
Otu000287,0.8533333333333334,6997.545419007524,4.951682706969572,0.0013144896593480083,4.287124335642198,-0.0043066299681404985,0.9558167675039067
Otu000075,0.69,19069.997115124734,1.299822493248346,0.006642819965371802,1.5593365309552978,-0.41143756075173793,3.0181973748363714e-08
Otu000113,0.6833333333333333,6981.672821541433,2.4870851982954125,0.0008630487662385772,2.390282420839988,0.6201656571643965,3.122007264383845e-19
Otu000313,0.67,2917.1756748536795,2.1929461669157675,0.00038903582847368866,1.931976816277848,0.5651277200312118,1.4635039171296147e-15
Otu000117,0.62,1316.6832594259542,3.842287644465021,0.00022040937722399826,3.069270745306633,0.03483115790715596,0.6539880797646048
Otu000024,0.5933333333333334,85415.9499504792,1.128066186271585,0.015264013256429036,0.8859350076754374,0.40130704019813723,7.004854432771892e-08
Otu000279,0.5866666666666667,4272.2857557359575,4.426145991752224,0.0006439671563472365,2.633250147140594,0.34373922893103,5.069455089527494e-06
Otu000335,0.5633333333333334,6536.7207534389245,2.369310297695205,0.0009493536428624267,1.9528663224616327,0.42182602995976815,1.235916722648846e-08
Otu000074,0.55,13440.587905288765,0.7953633320437272,0.003679243278841725,0.8569718460634492,-0.5243771729170517,2.981900707734398e-13
Otu000392,0.5266666666666666,4160.131757079656,2.2009446676607594,0.0005961675323709482,2.08366266960944,0.5086604673017415,1.9295826190090094e-12
Otu001038,0.5233333333333333,778.1046447704553,2.5386525333300862,0.00016198761458630952,2.6001438011921314,0.08327612836329222,0.2831865276494859
Otu000053,0.5233333333333333,29526.869484658313,1.4914306717222237,0.0049339834082193735,0.9816971066015022,0.38010161799508635,3.735868062011951e-07
Otu000173,0.5166666666666667,9202.636542811331,1.868850762432822,0.0013158174266806623,1.673869750722185,0.5667202404762588,1.1711901563998494e-15
Otu000090,0.5133333333333333,12185.155222926956,0.9980058581597144,0.002931710270545835,0.870567796151934,-0.29923152253902024,8.141583724352185e-05
Otu000597,0.49666666666666665,2463.6915780842714,2.2522967986551174,0.00038770806114101386,2.1186151524738213,0.40971900106926534,3.488473757504763e-08
Otu000682,0.4866666666666667,1400.1668000913508,4.290562063248163,0.00015534877792294224,3.962108974644505,0.36870108890084,8.761092504647001e-07
Otu000645,0.4866666666666667,670.5723472515218,2.04739156107844,0.0002177538425586458,2.638507983674539,-0.20209315894235239,0.008613291467262267
Otu000816,0.4866666666666667,233.21194344866322,3.648584076363336,0.0002323592832180786,3.521164750136653,-0.5422396019034426,3.1667544397194406e-14
Otu000423,0.4766666666666667,3896.9417129021804,1.8003921798821425,0.0006081174383650147,1.6135456188226325,0.4682585303170985,1.5478678191475178e-10
Otu001136,0.4766666666666667,801.5104028658527,2.8292504776168705,0.00011020468861199526,2.3856755236407845,0.3931534902229619,1.3520051603185404e-07
Otu000317,0.47333333333333333,2884.5772447646127,2.911354228762218,0.00034521950649542445,2.5669595015903766,0.5201484062921546,4.975132838054803e-13
Otu000210,0.4666666666666667,2772.818220931455,1.5337009976010665,0.0009613035488565021,1.6016118292712844,-0.514588775950114,9.648134294447431e-13
Otu000088,0.4633333333333333,4796.152364736093,1.417696265356533,0.0018575464984119622,1.683279605330608,-0.5109325721453606,1.4817672286840525e-12
Otu000377,0.46,10013.879045626065,3.924498482084554,0.0013118341246826505,3.507168565809482,0.5096395618635567,1.7224557146777616e-12
