,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,kendall,p_kendall
Otu000173,0.548,6663.099323805251,1.4227768892399242,0.0009415482936620566,1.3184984344152912,0.4294510901835079,5.1325646543869396e-06
Otu000029,0.52,85003.94785835815,1.0950026920615372,0.011611134730707445,1.0195046361290865,0.37413751216984603,4.0719757416175414e-05
Otu000369,0.504,3645.849526106124,1.9219096831788252,0.0007532386349296597,1.8125632997014733,-0.47431559458449796,1.7339362457294712e-06
Otu001087,0.49,1169.064274854449,1.9503722211987427,0.00030673119669814033,2.3568171708820325,-0.37421084680170336,0.00022706459530260703
Otu001038,0.478,762.8456840979289,1.2552147440094328,0.0001456002515971895,1.5210710512194725,-0.22712664136236102,0.02620204078786507
Otu000574,0.462,1044.3219196092475,1.8953582555095478,0.00021160569898794914,1.9448327999449289,-0.20958909814082902,0.04038081469676197
Otu000274,0.458,7355.024553659515,1.6337146925415222,0.0010463804748120757,1.4902091007147749,0.16992330825124846,0.07522994128813572
Otu000323,0.452,2069.718485557427,2.7383620520970293,0.00027372847300277897,2.6553948921472017,0.32771102808982955,0.0016463667068786572
Otu000074,0.448,11700.62082878575,0.8808917208246452,0.0023315453622436647,1.0340210228212297,-0.18603963040529398,0.044411949229400796
Otu000001,0.432,359782.3827822054,0.6163019435403061,0.05799937488958645,0.4342911407711062,-0.27657585145075336,0.002397447834328766
Otu000358,0.406,215.0804672700339,2.944746617488581,3.882673375924913e-05,2.92490842347516,0.17918008858402162,0.09483671784211976
Otu000583,0.4,6333.011382392852,1.8653741483349673,0.001147329982586172,2.0931879569356515,-0.1953063529576584,0.04797419522564489
Otu000981,0.394,1711.2836906480009,2.6410984263456387,0.00025237376943518074,2.646063600556897,0.24967327145153384,0.01569540053913876
Otu000441,0.394,904.9793605411666,2.8069481517642716,0.0002465497593712895,2.9074636552657727,-0.15004003573622104,0.14700229613256008
