,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV
Otu000158,0.19666666666666666,10531.608220360766,2.1997136438772804,0.0027160864345738265,1.7094202732457473
Otu000506,0.19333333333333333,1158.7484978553923,2.7270995509496294,0.00015881352541016402,2.5178095476526368
Otu000207,0.18666666666666668,918.4342687812624,2.6273451958719547,0.00017006802721088437,2.8322777469693716
Otu002234,0.18666666666666668,124.84268416866743,5.4250736191477,3.7515006002401005e-05,5.3186824715838155
Otu001087,0.18333333333333332,794.1970969302724,2.428335590793753,0.0001638155262104841,3.1800467599166997
Otu000011,0.18,168900.63511459582,1.016108088804911,0.03406612645058024,0.6413498147988207
Otu000319,0.18,4909.207366380679,1.4354732826809207,0.0008128251300520206,1.2552702687241455
Otu000615,0.17666666666666667,760.2019786665915,3.8805509043659203,0.00011254501800720292,3.5669511330960018
Otu000277,0.17666666666666667,8779.328224976367,2.8606430845012714,0.0011367046818727493,2.584479251879993
Otu000296,0.17333333333333334,4383.042252992447,1.8419719903081373,0.0006214985994397757,1.6848106894154942
Otu000253,0.17333333333333334,5132.004607077709,1.9478134523366493,0.0010229091636654662,2.0581582457942513
Otu001570,0.17333333333333334,323.87956291391555,3.284609404791391,7.753101240496197e-05,3.4012260831307324
Otu000472,0.17,297.86459766906745,2.9581317601218844,5.0020008003201236e-05,2.879121622537904
Otu000332,0.16666666666666666,424.99617387830125,3.3960582481435417,8.753501400560217e-05,3.8369149283851303
Otu001375,0.16666666666666666,381.975726922019,7.204686377604312,7.503001200480193e-05,7.207580839427774
Otu000273,0.16333333333333333,1634.9867817448235,2.515029118152132,0.000605242096838735,2.539883320400887
Otu000343,0.16333333333333333,3783.408632260405,5.098161008077608,0.00044767907162865167,4.312465219455908
Otu000297,0.16,2660.3386185386657,2.2665254272977458,0.0004314225690276111,1.9834096775602235
Otu000400,0.16,1367.2055449692375,2.0894766555990665,0.0002551020408163264,1.8864432487796436
Otu000041,0.16,46370.52393611082,1.839273570458743,0.008219537815126044,1.4504366722993098
Otu000153,0.15666666666666668,326.6498839698377,4.009236999446078,4.62685074029612e-05,3.79809560697722
Otu000568,0.15666666666666668,840.926906103692,2.1824561197996144,0.0001963285314125649,2.9927434774301944
Otu000169,0.15666666666666668,14204.429060076534,1.672843603428632,0.002234643857543015,1.6454904813325126
Otu000043,0.15333333333333332,18909.033323691358,1.0219974162016838,0.006242496998799515,1.1287280948907623
Otu000152,0.15333333333333332,11044.198508924816,2.3319215642954227,0.0015381152460984388,1.9386124045986235
Otu000885,0.15,798.2964887630048,2.493850969701118,0.00013880552220888357,2.494558272724306
Otu000344,0.14666666666666667,5017.330881869122,1.4390018532783857,0.000887855142056822,1.2753413840550307
Otu000189,0.14333333333333334,6503.652338244053,3.16610193866135,0.0012079831932773112,3.505994614108174
Otu000070,0.14333333333333334,17642.716357929046,2.1615051677780537,0.005771058423369344,2.938491863480866
Otu000048,0.14,30478.882095366538,1.7787515124615554,0.004783163265306121,1.8539440595464927
Otu001199,0.14,304.128406572129,3.9906895299314034,5.502200880352138e-05,3.020000632526137
Otu000034,0.14,46443.808066834834,1.435315067335425,0.010261604641856732,1.2971254902224232
Otu000782,0.13666666666666666,1271.137365326381,4.384909457833626,0.0002513505402160865,5.147682720189041
Otu000893,0.13666666666666666,693.2483897456483,2.3699809813883266,0.00010129051620648248,2.164899772968599
Otu000232,0.13333333333333333,3418.0047684046112,3.521142339753625,0.0006365046018407362,3.0149799713573935
Otu000418,0.13333333333333333,1331.8035990336134,3.308750895199468,0.00033763505402160845,3.136740737745004
Otu000474,0.13333333333333333,4093.2850400260118,1.8907597268839074,0.0006452581032412964,1.7362368174602871
Otu000670,0.13,897.6808978481391,1.7508657446951654,0.00020133053221288517,1.5462708180751472
Otu000107,0.13,11719.803648181514,2.155810966446216,0.003462635054021607,2.0952910344185387
Otu000312,0.13,2566.587187406211,3.252067341455865,0.00046518607442977184,3.668635239464602
Otu000454,0.13,1839.576645364395,3.7470449025611616,0.0005264605842336933,4.653475808222714
Otu000098,0.12666666666666668,10090.39771802121,1.6835519591620134,0.002154611844737893,1.5133923972103276
Otu000024,0.12666666666666668,79410.64106593763,1.1230327977407466,0.014345738295318104,0.8913736411334581
Otu001236,0.12333333333333334,520.2361814638358,2.5987390111857325,0.00011004401760704282,2.532629640614869
Otu000379,0.12333333333333334,2085.182188891432,2.086083528315281,0.0005389655862344933,2.271508214404277
Otu000440,0.12333333333333334,680.6002198279316,5.176517315386345,8.503401360544212e-05,4.957703954671485
Otu000407,0.12,593.641568940076,3.600663909999072,8.878551420568229e-05,3.3412650860583986
Otu000637,0.12,1544.594050518958,4.558580599023313,0.00021008403361344536,4.020903464478932
Otu001319,0.11666666666666667,627.3418670643257,2.746662581653319,0.00010254101640656249,2.506608548400715
Otu001120,0.11333333333333333,244.01488553071235,3.2712105068428388,4.751900760304115e-05,2.766764113813447
Otu000221,0.11333333333333333,2160.7546273585685,4.4103101553136055,0.0004339235694277712,4.4594380302290615
Otu000033,0.11333333333333333,22884.03523930023,0.9059263519626229,0.006717687074829924,1.0202291776029981
Otu000547,0.11,661.6027739215685,2.5901806826852836,0.00016256502601040416,2.3354316233573753
Otu000068,0.11,2760.7411582920663,3.6327710868404863,0.0004326730692276909,3.254648820263636
Otu000631,0.11,385.0269713721738,3.4590419917822177,5.627250900360141e-05,3.1507521095164064
Otu000716,0.10666666666666667,1293.6292725190076,3.8257453983293654,0.0002688575430172068,3.7036964780062136
Otu000853,0.10666666666666667,551.1411071978791,2.368132032911056,9.128651460584232e-05,2.3170249256603395
Otu000065,0.10666666666666667,1871.3801939775908,3.780553589957491,0.0002676070428171267,3.3491264303941053
Otu000359,0.10666666666666667,4518.85829845313,1.4972646012622322,0.0008453381352541012,1.5259258319457474
Otu001078,0.10666666666666667,854.2574905153313,5.8399192683116325,0.00010504201680672264,4.854777263217033
Otu000515,0.10666666666666667,1190.9462884791424,4.158504348723073,0.00015756302521008404,3.7535523205740278
Otu000096,0.10333333333333333,11903.200159222315,1.2926679729557302,0.002307172869147656,1.0413348486740186
Otu002394,0.10333333333333333,100.38965828206285,8.11651124937961,1.875750300120046e-05,7.8318863062338036
Otu000647,0.10333333333333333,1591.870931370049,5.195360531308,0.0001975790316126454,4.910261559664449
