"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"110D2F115" 198 0.788743491257755 0.787355345075887 0.00766183034406092 555.5 0.181176836282298 0.5555 999
"110D2F415" 147 0.746137448513652 0.747459395050628 0.00866546252447671 433 -0.152553488430874 0.433 999
"110D2F515" 181 0.804746095764273 0.801919194191122 0.00779513835674213 638.5 0.362649313428256 0.6385 999
"110D2F715" 191 0.802368188481675 0.799543287950392 0.00755550230656454 647 0.373886528871707 0.647 999
"110D2F815" 229 0.743276983069026 0.744763597388854 0.00655532907928983 441 -0.226779510509222 0.441 999
"110D2F915" 219 0.755943913535252 0.756730932842272 0.00646670423841678 471 -0.121703309445425 0.471 999
"110M2F115" 209 0.829770525395657 0.825742847956532 0.00671777108140135 746.5 0.599555624971462 0.7465 999
"110M2F415" 181 0.7852091577655 0.783195336824854 0.00863112012019834 581 0.233320926206712 0.581 999
"110M2F515" 188 0.824812869495961 0.820777815911827 0.00846410458513707 664 0.476725392928064 0.664 999
"110M2F715" 184 0.820558389166073 0.816739329393542 0.00746190296545046 707.5 0.511807750678837 0.7075 999
"110S2F115" 213 0.881501535122686 0.874534370430312 0.00748931186290525 824 0.930281021796245 0.824 999
"110S2F415" 182 0.784051633780584 0.782135301993755 0.00931044374619202 562.5 0.205826042138198 0.5625 999
"110S2F515" 171 0.775937867217062 0.774874366969653 0.00832394368668042 523 0.127763988734232 0.523 999
"110S2F715" 178 0.892487504602298 0.884168506640965 0.00816099254952276 859.5 1.01936105330961 0.8595 999
"110S2F915" 192 0.877246203643106 0.871146291068555 0.00736912848018565 804 0.827765805814439 0.804 999
"Fa13.BD.MLB.DN.1" 414 0.71133357686774 0.715409631429748 0.00476662198053781 197 -0.855124358224714 0.197 999
"Fa13.BD.MLB.SN.1" 357 0.70933746388443 0.713365103676364 0.00521956046439089 201 -0.771643478298833 0.201 999
"Fa13.BD.MM110.DN.1" 256 0.70314968872549 0.708054687276431 0.00658062166134243 237 -0.745370088627768 0.237 999
"Fa13.BD.MM110.SD.1" 193 0.790079360967185 0.788570830355399 0.0065600344471505 613 0.229957727194787 0.613 999
"Fa13.BD.MM110.SN.1" 172 0.761227384060927 0.761590343150168 0.00759495976339482 502 -0.0477894683510457 0.502 999
"Fa13.BD.MM15.DN.1" 224 0.750340656229981 0.751633872965294 0.00585407441577505 421 -0.220908830920953 0.421 999
"Fa13.BD.MM15.SD.1" 226 0.78817833352999 0.786895573527904 0.00643880853873543 601 0.199223193913861 0.601 999
"Fa13.BD.MM15.SN.1" 255 0.789456013586537 0.787724197473373 0.00606532998004416 616 0.285527105509862 0.616 999
"M15S2F115" 189 0.820423403129573 0.816274704950363 0.0080922289252968 691.5 0.512676818403073 0.6915 999
"M15S2F515" 266 0.828317775571003 0.82477432933288 0.0062351088782252 729 0.56830543096018 0.729 999
"M15S2F715" 191 0.879218631027831 0.871990705168657 0.00789311444378491 840.5 0.915725460545603 0.8405 999
"M15S2F815" 214 0.866442183317976 0.860195800023621 0.00716985422922494 824 0.871200877263986 0.824 999
"M15S2F915" 198 0.846266435420192 0.84195063246449 0.00690523588242286 744.5 0.625004421164994 0.7445 999
"M45D2F115" 196 0.847062954474097 0.841979960556056 0.00775152399098857 747.5 0.655741235394565 0.7475 999
"M45D2F415" 146 0.771608174775626 0.770392420905554 0.0101053184695432 532.5 0.120308318212477 0.5325 999
"M45D2F515" 193 0.805370250431779 0.802159032770897 0.00816621916762104 658 0.393231873277953 0.658 999
"M45D2F715" 195 0.870314616970658 0.863096359101899 0.00993306878490714 761 0.726689608726706 0.761 999
"M45D2F815" 199 0.87290941475052 0.865789666462564 0.00815812819249174 814 0.872718363816424 0.814 999
"M45D2F915" 187 0.869580228854005 0.86288161031712 0.00940192674488357 763 0.712472955666325 0.763 999
"M45S2F415" 167 0.777426259288652 0.776088306388778 0.00951926495109646 521 0.140552123167794 0.521 999
"M45S2F515" 191 0.794796996417746 0.792465044076317 0.00655164023707081 631 0.355934125966575 0.631 999
"M45S2F715" 196 0.893778897435897 0.886117222115889 0.0074539101094835 864.5 1.02787331849639 0.8645 999
"M45S2F815" 212 0.841760469462577 0.837075005758687 0.00666147659114903 755.5 0.70336713486547 0.7555 999
"M45S2F915" 221 0.863327350061703 0.857610383247089 0.00660476916193099 807 0.865581623588861 0.807 999
"MBRE1F714" 315 0.742654265493883 0.744593720170884 0.00509605746609979 358 -0.380579436142944 0.358 999
"MBRE1F914" 340 0.722086303140725 0.725415213489561 0.00492699604971606 262 -0.675647050504049 0.262 999
"MBRE1F715" 268 0.771357893677679 0.771434809823519 0.00578319784978644 502 -0.0132999333306373 0.502 999
"MBRE2F515" 264 0.78585918510197 0.785446641863952 0.00621492804874537 527 0.0663794069348588 0.527 999
"MBRE2F915" 319 0.749529112990674 0.751104776875612 0.00519138266987579 401 -0.303515264648185 0.401 999
