,Boruta HNA,Boruta LNA,Boruta ranking
0,0.5813595322585741,-0.066957748712555,1
1,0.578339720084782,-0.066957748712555,2
2,0.5828568407199426,-0.066957748712555,3
3,0.5451752078678498,-0.066957748712555,5
4,0.6783137426007975,0.15927744660449905,8
5,0.6783273379556349,0.15927744660449905,9
6,0.6491648123329328,0.33914621300738834,10
7,0.6488748322714577,0.2938223368141408,11
8,0.6420955286970662,0.26227537940027135,12
9,0.6417257370897878,0.25790277468075395,13
10,0.6359895894472141,0.2262458960010254,14
11,0.6306435207185235,0.2262458960010254,15
12,0.6236735285497234,0.22535820505720683,17
13,0.6182343797838545,0.22535820500290515,19
14,0.6182343777766881,0.2484201099422495,21
15,0.6182332433287058,0.24842497437326905,22
16,0.6128046267689784,0.19260806370293782,23
17,0.6069184231078407,0.16994776598081796,25
18,0.6047380054364836,0.2491853570914685,27
19,0.594814264095295,0.1783222155714338,29
20,0.5948162655382332,0.21079287639408206,31
21,0.5944515371232951,0.34813558634067365,32
22,0.5944510309402786,0.3209442590295334,34
23,0.5894298666065154,0.30460950962409705,36
24,0.5894298666065154,0.224072612268303,37
25,0.625520473763691,0.3702159119423152,39
26,0.625520712528268,0.300005852741286,42
27,0.625520549984099,0.29941208852085277,43
28,0.6216208314264999,0.23720198818574623,45
29,0.611440518929311,0.27305782954193436,47
30,0.6114405638677732,0.28032781013469865,48
