,Boruta HNA,Boruta LNA,Boruta ranking
0,0.6339192682046397,0.3931451829482626,1
1,0.627845959961366,0.4866229430793705,2
2,0.6262085502610526,0.4870724319180977,3
3,0.6230491577274639,0.4865024086676779,4
4,0.7102472764400147,0.43258376468393867,5
5,0.7021140212344728,0.4203995306332582,7
6,0.7121071693195364,0.41902332765511174,9
7,0.7092000610657068,0.42950391487639816,10
8,0.7024333245965475,0.42950391487639816,12
9,0.7024335131709032,0.42950377241527316,13
10,0.6956218298206827,0.4288502854585461,14
11,0.6984407426846013,0.4288515123951012,15
12,0.6896347030689558,0.42684878492362455,17
13,0.6896505103918572,0.4085129406872289,18
14,0.6884043731020473,0.4051030691715475,19
15,0.688074460472798,0.4051039678366509,21
16,0.6675020931678202,0.3575100464466766,22
17,0.6650605155798133,0.3575098145681147,24
18,0.6563501535752875,0.3677393509814756,26
19,0.6494618409320352,0.3908933363787449,28
20,0.6259043577839882,0.424442255296845,30
21,0.622513400963508,0.40519167824944813,32
22,0.6066685776426548,0.3398540297599115,33
23,0.6066614985817692,0.33518982483488124,34
24,0.5971873930595034,0.3119729463396992,35
25,0.5970878917512948,0.5075468270964436,36
26,0.6332837394146389,0.5075468180656459,37
27,0.630034848065935,0.4580049353897746,38
28,0.6300520390903592,0.4580049307589231,40
29,0.6013403436808552,0.45770881282727127,41
30,0.5968581621894206,0.4577101636716929,43
31,0.5923683995779478,0.4530264524755724,44
32,0.6270166611723199,0.43458029880720883,45
33,0.5988882565710716,0.4304807144231013,47
34,0.5860940246656108,0.4305078442344946,49
35,0.5842942394117474,0.4025462884583001,51
36,0.5653632921460603,0.3923882259502047,53
37,0.5614970191957838,0.3923880820607959,54
38,0.5614966306771301,0.3812668558004043,55
39,0.5614966306771301,0.35568664236347636,56
40,0.5633885830711658,0.3640926935243073,57
41,0.5520636270580417,0.33554583406669547,59
42,0.5520672838434624,0.31439574206871124,61
43,0.5520682178502423,0.3152729559684865,63
44,0.5502885791468255,0.3152729559684865,64
45,0.514265219164761,0.31034979366297244,65
46,0.5168858045078932,0.3103555845093482,67
47,0.5168858045078932,0.3103555845093482,69
48,0.516883836687003,0.3103555845093482,70
49,0.49461119715724233,0.2568318632068576,72
50,0.49461001289623685,0.2562345733093798,73
51,0.4946109351789967,0.2562347153131882,74
52,0.4811286120004993,0.3853519413063039,75
53,0.4811288983704294,0.46209890687567456,76
54,0.4987648531119303,0.4409182477854554,77
