,Boruta HNA,Boruta LNA,Boruta ranking LNA
0,0.12799852339048712,0.7216706757097222,1
1,0.1266067445146336,0.7184893540177916,2
2,0.15397896947389555,0.7155131704962009,3
3,0.1466853527197144,0.714918545140723,5
4,0.14306866216153324,0.7149245318708827,6
5,0.13256175042767993,0.7156131580526652,8
6,0.13256175042767993,0.7114372877200801,9
7,0.13256175042767993,0.7032717549986951,10
8,0.13868535399475135,0.6943926174490711,11
9,0.13868532460579042,0.6943926341069964,13
10,0.1386853246057903,0.6898365133607498,15
11,0.1301514501566029,0.6861453820848742,17
12,0.22769313740137054,0.6854772217585122,18
13,0.23973643435008163,0.7351392791504245,20
14,0.23973648952947368,0.73535637607487,22
15,0.23291232371710735,0.7367062503543536,23
16,0.42760973281611936,0.734889021995321,24
17,0.475823248184992,0.7239464421302034,27
18,0.448915469071846,0.7144793886103062,30
19,0.46361202444817085,0.7116304038081221,32
20,0.4552100867291875,0.7116267875044089,34
21,0.44279296736105356,0.7151141445385998,35
22,0.41746422422148055,0.7099553487772444,36
23,0.4016573876693915,0.7107345668858502,38
24,0.3950778581356895,0.7107357327327102,39
25,0.4033215819020409,0.7078166933908611,40
26,0.48405175060711003,0.7094068502138997,41
27,0.48405206685307256,0.7094068502138997,42
28,0.4602501786573202,0.7078221170073096,43
29,0.4332479746800738,0.7075350644250475,46
30,0.4332482063200832,0.7075350644250475,48
31,0.4332482063200832,0.7075350644250475,49
32,0.4332482063200832,0.7075350253897196,50
33,0.4424627167101136,0.7075104436534816,52
34,0.4424623414193628,0.7075102891781939,53
35,0.4424623414193628,0.7075103049793694,55
36,0.42445594640942763,0.7029492548469516,57
37,0.42203354597250475,0.7029522402405405,61
38,0.42203326855902834,0.702952140422162,63
39,0.42203326855902834,0.7029522277640332,64
40,0.4317983007545697,0.7017265796158392,65
41,0.4317982767963615,0.7017265814593661,66
42,0.4282879980696026,0.7017265814593661,67
43,0.42828790761976154,0.7017265814593661,68
44,0.42828781589526976,0.7010548923583104,69
45,0.4285263069143517,0.701054954614585,70
46,0.4285263271770081,0.701054954614585,71
47,0.42618835443064407,0.7183731529884013,72
48,0.4261883031375585,0.7183731529884013,74
49,0.4195778783526519,0.7105455706695731,75
50,0.42302800427215514,0.7069515753177433,76
51,0.42302856409510226,0.7069520750573218,77
52,0.4286772028544392,0.6985815147203236,78
53,0.42867342727345614,0.6985806745626121,79
54,0.42117864430587204,0.6985806745626122,80
