,Boruta HNA,Boruta LNA,Boruta ranking
0,-0.1424379026791276,-0.19044349790094617,1
1,0.34669717784628873,0.11369581694337771,2
2,0.43590516529575063,0.14742399038588183,3
3,0.3501524203469647,0.2360580990625385,5
4,0.3755742758794569,0.36620149456460216,7
5,0.36310084652795915,0.3392627781609785,9
6,0.39797099364262234,0.5508025497322817,10
7,0.3551463129445389,0.5972727711737567,11
8,0.4001621838720273,0.5715539768902294,12
9,0.3692524591956766,0.5547529774623687,13
10,0.3385599862814872,0.533193781048617,14
11,0.3662640010943594,0.5531274132993967,15
12,0.3639994760413684,0.5225032652162613,16
13,0.4216536880006485,0.5549292274394549,17
14,0.42809904472256055,0.5264218221881978,18
15,0.37059072847069574,0.49895501376087503,19
16,0.3160536463305963,0.48434761990716835,20
17,0.3444417582557564,0.5095505107697931,22
18,0.35546910991554703,0.5299146779505443,23
19,0.3369425310483102,0.5095155388397837,24
20,0.3500000416615887,0.5286704388724743,25
21,0.3735039519807605,0.5052572864187002,26
22,0.33494695269841923,0.509357928592017,28
23,0.3580398372748791,0.4545176555621707,30
24,0.3936972114242573,0.47217600513382363,31
25,0.3641334297126454,0.4691200378352327,32
26,0.410093237900662,0.4546229797737611,33
27,0.39708398993486027,0.4573139408771546,35
28,0.38106823355541086,0.43895727881951163,36
29,0.29910126667648584,0.4218849497136855,37
30,0.32440959776511125,0.4584927681348382,38
31,0.309715746280146,0.4459967548409205,40
32,0.34703213340076955,0.4528501839656107,41
33,0.34503180821236,0.4904029501153212,42
34,0.2977247500596165,0.4633568414786029,44
35,0.28271115092118304,0.43569305402339986,45
36,0.29423382590771296,0.4740307127898802,47
37,0.3439258950664641,0.44109829689863367,48
38,0.3338593196948071,0.4716172570284485,49
39,0.3332258680764443,0.4565715657462035,50
40,0.38287869841060185,0.45640148557323157,51
41,0.33082951725649556,0.4585073785596788,52
42,0.33463777532049066,0.4297912065333992,53
43,0.34503552369490786,0.43752332067473254,55
44,0.35001335908318765,0.490562511803189,57
45,0.3305105400176126,0.4724099626939776,58
46,0.33965983095457486,0.4556462737792487,59
47,0.30916548975732483,0.47601368889888795,60
48,0.33375725648590804,0.4525261002455211,62
49,0.33280949395825876,0.4491122339857425,65
50,0.35810223422637166,0.4370574066892061,67
51,0.2895260170963109,0.44057560254441086,68
52,0.29986468725850246,0.450330423502988,69
53,0.31799485850866704,0.4113997962351288,70
54,0.3259528697786537,0.4306878521379326,72
55,0.34210241430992294,0.4296011049486149,74
56,0.28383696769108246,0.4855150547229281,75
57,0.3299238835824152,0.4389978156869123,76
58,0.33225746672153633,0.4603396818991604,77
59,0.35667666756207483,0.4328881259734093,79
60,0.32756132755084344,0.4474832633668625,80
61,0.3189528354258834,0.42621031414064425,81
62,0.32493501502561606,0.4446255489889994,83
63,0.31077607590708134,0.45760690273009963,84
64,0.3306109236015351,0.45291495014052097,86
65,0.3332405659854051,0.45780941296164956,87
