,RL HNA,RL LNA,RL ranking
0,-0.00591566860706938,-0.13935214629946224,1.0
1,-0.026433594864610166,-0.14024119557013015,2.0
2,0.13254040737597006,-0.14024119557013015,3.0
3,0.4794472542335413,-0.14024119557013015,4.0
4,0.5261470840439402,-0.14046002464895269,5.0
5,0.585765459744274,-0.04949862286873108,6.0
6,0.6121806073932088,0.11340711568513995,7.0
7,0.6381984201100694,0.09097485186960363,8.0
8,0.6870300750260363,0.2211338584710476,9.0
9,0.6741144688473323,0.3467589098837357,11.0
10,0.662384335843548,0.314737783645309,12.0
11,0.7427805677484731,0.30406835769788276,13.0
12,0.7373862506653249,0.28442222134317474,14.0
13,0.713806902225637,0.23648383570151932,15.0
14,0.7817747654356243,0.24968937247679168,17.0
15,0.7573602605587718,0.23987512477619521,18.0
16,0.7491524276766193,0.25391704645737523,20.0
17,0.7404085040311601,0.24142624655456524,21.0
18,0.7601636804887044,0.24142301757374351,22.0
19,0.756702015336888,0.28760082710259627,23.0
20,0.7493845923114458,0.2818294134019288,25.0
21,0.7607515127880782,0.2750464245929606,26.0
22,0.7403273243503201,0.2750418308568515,27.0
23,0.7394526660587605,0.27764467274566196,28.0
24,0.727372741027577,0.2715368096514542,30.0
25,0.750069687371245,0.26926122685326026,32.0
26,0.7451996846456114,0.30794981282720635,33.0
27,0.7560101404422284,0.3059951852763534,34.0
28,0.7413419924580924,0.3103831275344714,36.0
29,0.7196284605571133,0.27483517569243465,39.0
30,0.7153238845077343,0.27732794115195825,41.0
31,0.7130291206453498,0.3238955918647395,43.0
32,0.6768093240643314,0.3165094484687555,45.0
33,0.8252218706555302,0.31651105534619584,46.0
34,0.8164874395661462,0.31651588777464856,47.0
35,0.8161790788361608,0.31651524181079627,48.0
36,0.8006570400317115,0.17291904309218142,49.0
37,0.7894408486921826,0.19321739932864557,50.0
38,0.7599462216202978,0.22501093028328123,52.0
39,0.7480023610404196,0.22501093333198086,56.0
40,0.7218213814106045,0.21638670954159023,58.0
41,0.7304563210010976,0.2120352160717771,59.0
42,0.6513619546344895,0.18048182369594368,60.0
43,0.622154327266988,0.19390958679186743,63.0
44,0.6021122283688076,0.34674440279756513,65.0
45,0.636500307848392,0.34304192869839056,66.0
46,0.6473347653764967,0.3364928214100026,67.0
47,0.5929651907178386,0.36554664492227273,68.0
48,0.6098267807151405,0.3655537593001863,71.0
49,0.5744256281422031,0.328298091542775,72.0
50,0.5356573069934387,0.320916512067297,74.0
51,0.6102793748964961,0.32092283991585735,77.0
52,0.5985227652849787,0.32092282318732923,78.0
53,0.6054928275443909,0.32092282318732923,79.0
54,0.6220076086405528,0.31725245530914525,80.0
55,0.6027696073354092,0.3169547484213736,81.0
56,0.6389825816106709,0.2732441665329012,82.0
57,0.5996641838067673,0.2490729490243574,83.0
58,0.5965200345864734,0.2490729490243575,86.0
59,0.5864935894042314,0.3513500621881037,87.0
60,0.5779914381306301,0.2906620106184433,89.0
61,0.5306929815485439,0.22906198940933387,91.0
62,0.5045266036299203,0.22609137441312332,95.0
63,0.5274526704329052,0.16218000186018944,97.0
64,0.5897054877536969,0.13297915933443238,98.0
65,0.5865229596029111,0.2262753933685674,99.0
66,0.5993390589596936,0.22047452820201308,102.0
67,0.6062517643928702,0.21897410181311694,106.0
68,0.6323277023006683,0.21897410181311694,107.0
69,0.6208700863114427,0.24997424773804156,108.0
70,0.576414957794476,0.20118359929563,110.0
71,0.571527513834512,0.16515839387137676,112.0
72,0.5916291353535421,0.16515860607843535,114.0
73,0.6048619000553307,0.20845974629573927,117.0
74,0.6085688685234425,0.2084636227511406,120.0
