,RL HNA,RL LNA,RL ranking LNA
0,-0.12063949216631453,0.3664320565149397,1.0
1,-0.12085846705385439,0.3991288142433881,2.0
2,0.14333743219076267,0.49714305735615016,3.0
3,0.13638154750579712,0.5031803102445924,4.0
4,0.1321276268746201,0.525142354648474,5.0
5,0.11748114383162178,0.5896183999791971,6.0
6,0.11668768532965568,0.578223581617785,7.0
7,0.11668768533341811,0.5784819871529079,9.0
8,0.1493932467049901,0.5713056734461319,10.0
9,0.13692936371134823,0.5707953816403146,11.0
10,0.14018290784207776,0.5675799099097667,12.0
11,0.14018290784207776,0.5629696441093515,13.0
12,0.12315134868549638,0.5315679092369487,14.0
13,0.10740048295069515,0.5250773645268161,15.0
14,0.1168863726584628,0.5250773645268161,17.0
15,0.1282956127246695,0.6447339575456749,18.0
16,0.11500230436305114,0.6434714595417503,19.0
17,0.11879866081733848,0.643165458915079,21.0
18,0.165643826097159,0.6430751784585862,23.0
19,0.18565033367549044,0.6418183243814726,24.0
20,0.44026912004997776,0.7158432807439594,25.0
21,0.44026912004997776,0.7158432914377906,26.0
22,0.43655405826309823,0.7119165736278097,27.0
23,0.43655306906480673,0.7119165736278097,30.0
24,0.4360407604936306,0.7119165111918309,31.0
25,0.43604093825708357,0.7119165111918309,32.0
26,0.4363426571676654,0.7119165111918309,33.0
27,0.43291926155511096,0.7050308775184563,34.0
28,0.4263320740597951,0.6973072657621271,35.0
29,0.42633243634995033,0.6973059335798121,36.0
30,0.43578236106522306,0.6973059335798121,38.0
31,0.4893201110287858,0.7011184150897742,39.0
32,0.446375783310484,0.7011200167611894,40.0
33,0.4463723237061321,0.700840804667493,42.0
34,0.44638970059685723,0.7008408017407824,43.0
35,0.44590724569315154,0.7008394959244894,44.0
36,0.44590724569315154,0.7008394959244892,45.0
37,0.4459086970033028,0.7008394959244892,46.0
38,0.4383860308956764,0.700838542287457,47.0
39,0.4383860101715533,0.6998710413951281,48.0
40,0.4384133287992543,0.6998708599165906,49.0
41,0.43841297203919904,0.6998707115120861,50.0
42,0.4384193255681347,0.6998707229830964,51.0
