,Boruta HNA,Boruta LNA,Boruta ranking
0,0.44007886499204296,-0.05985878587362037,1
1,0.4353972197203829,-0.09497750723955156,2
2,0.3316467018598489,-0.10429115208003226,3
3,0.32987058053572305,0.01021142407435327,5
4,0.4072688128410792,0.01021142407435327,7
5,0.34950800303883867,-0.0011391501202924204,8
6,0.345795687562653,-0.0011391501202924204,10
7,0.32814221434037594,-0.04130746817555697,11
8,0.32814221434037594,-0.02455388247143575,12
9,0.35316925663086174,-0.027570292366408067,14
10,0.34103288663755804,-0.02758016219772741,16
