,RL HNA,RL LNA,RL ranking
0,0.08110010767680309,0.07612444304735555,1.0
1,0.11477475807265625,0.003999554215674883,2.0
2,0.11102574939483967,-0.09996569397908006,3.0
3,0.37958354710359754,-0.10214577032468153,4.0
4,0.5301974063629199,-0.09468824184851155,5.0
5,0.5233796685080347,-0.09468824184851155,6.0
6,0.5405446969944272,-0.09468824184851155,7.0
7,0.5367195042652702,-0.09468824184851155,8.0
8,0.5183552527292503,-0.09468824184851155,9.0
9,0.5198884112815494,-0.09468824184851155,10.0
10,0.49856179210505547,-0.09468824184851155,11.0
11,0.5219405262338102,0.13051324817881238,12.0
12,0.6641893986223177,0.16837083306785194,13.0
13,0.6560803645893025,0.20645204923803917,14.0
14,0.6520324131256139,0.2740919671748657,15.0
15,0.6368505068438719,0.27409173617404825,16.0
16,0.7920879568434234,0.2710340207058701,17.0
17,0.7917644749597748,0.2705218228776308,18.0
18,0.8197078502367483,0.2831050827138273,19.0
19,0.8132613939996279,0.27027271980488177,20.0
20,0.8094538751189768,0.27027271980488177,21.0
21,0.8236398479799807,0.23747087775286446,22.0
22,0.7879985265602645,0.20830698464429553,23.0
23,0.814184795541758,0.20830698464429553,24.0
24,0.8151976481587833,0.2046909254372684,25.0
25,0.768844559131513,0.20468596269881845,26.0
26,0.7678034722484173,0.15665518826184543,27.0
27,0.7676322295800713,0.1462216315577477,28.0
28,0.7634956955030663,0.1230317511314889,29.0
29,0.7666738865038509,0.12303101253033988,30.0
30,0.7607755243991531,0.186295409882273,31.0
31,0.7422119777445394,0.20069578885594097,32.0
32,0.7410100434849216,0.1986215046064993,34.0
33,0.7206610070498293,0.1986244290615662,35.0
34,0.7013461865228005,0.18032263418556893,36.0
35,0.6936495394632165,0.1676834481378896,37.0
36,0.6933216642683975,0.1676839947042481,38.0
37,0.6882707064043824,0.1641683782140544,39.0
38,0.6864473076033574,0.1539277489596318,41.0
39,0.6841072926280893,0.15857853512701725,42.0
40,0.6772784927910404,0.15411510970791586,43.0
41,0.66353240557787,0.163110587870834,44.0
42,0.6560623120065242,0.14143440273736696,45.0
43,0.6435234393975846,0.14676287882439099,46.0
44,0.6411572535326011,0.13367921826067075,47.0
45,0.6411654210678337,0.1289591786996941,48.0
46,0.6403395374101795,0.19869687333048147,49.0
47,0.6348377268644231,0.19210476375346486,50.0
48,0.6348360512596518,0.19193102915831572,51.0
49,0.6348378368225653,0.17811328087329092,52.0
50,0.6235477417052955,0.16584248535326618,53.0
51,0.6235525370877042,0.16583945207211304,54.0
52,0.6197094523162597,0.16582446768621195,55.0
53,0.6197071615690437,0.27295491062971344,56.0
54,0.6122074931786234,0.2716088485764965,57.0
55,0.6122074931786234,0.2640096325443907,58.0
56,0.6114405638677732,0.28032781013469865,59.0
