,RL HNA,RL LNA,RL ranking LNA
0,0.11580281295691164,0.32809865219386936,1.0
1,0.3047064558326048,0.33382220062399726,2.0
2,0.31189567787389727,0.6724314213556235,3.0
3,0.29755916180357345,0.6781514474203593,4.0
4,0.2979622264937404,0.7538713251806524,5.0
5,0.3084457974391719,0.7505992406326303,6.0
6,0.26032673625263913,0.7534767564988651,7.0
7,0.26209051254901294,0.7503207961823802,8.0
8,0.2523258017449681,0.7628129592100786,9.0
9,0.2865983536547697,0.7764236369122667,10.0
10,0.2701201849101341,0.773508957368608,11.0
11,0.2598537283031316,0.7682193587390117,12.0
12,0.26400622581633315,0.7674229820741222,13.0
13,0.2598955974283771,0.7656655177880832,14.0
14,0.2598955974283771,0.7599719885394473,15.0
15,0.2598955974283771,0.753386540095868,16.0
16,0.2708336944114498,0.7510775741973584,17.0
17,0.2706919772369637,0.7568551623358877,18.0
18,0.2524963592998616,0.7320438890987897,20.0
19,0.25515915599766503,0.7298905522376762,21.0
20,0.44942085757717254,0.7233519954986183,22.0
21,0.4611015506331744,0.7296566944646716,23.0
22,0.45891106386072567,0.7343582087094302,24.0
23,0.4565947294795931,0.7343582087094302,25.0
24,0.45365109963293504,0.7143168657446947,26.0
25,0.44757645136142976,0.7106582487222618,27.0
26,0.4353167316580584,0.7106582487222618,28.0
27,0.42978181654459446,0.709783453581897,29.0
28,0.41879280189468904,0.7097835368034537,30.0
29,0.41817110767088417,0.7382147346000205,31.0
30,0.4512181082185053,0.7378020993952852,32.0
31,0.4371986479399278,0.7336974120788062,33.0
32,0.4352422177867872,0.7336974413616624,35.0
33,0.4126306838124567,0.7221555779603825,36.0
34,0.39148017992539574,0.719769183707472,37.0
35,0.3773277336942261,0.7169534069049582,38.0
36,0.38812165896535245,0.7137417879263229,39.0
37,0.3652453099588179,0.7137414193004374,40.0
38,0.366209833093734,0.7137424501687761,41.0
39,0.38981524575243665,0.7137424501687761,43.0
40,0.3898152323854214,0.7137440538577714,44.0
41,0.38981522045182493,0.7137440610620265,46.0
42,0.3898174273571796,0.7141528058508437,47.0
43,0.39608659128955226,0.7141531889986708,48.0
44,0.3914065464293518,0.7141531772249428,50.0
45,0.39140575862864435,0.7141531772249426,51.0
46,0.39104148293605945,0.7141531772249426,52.0
47,0.39104118885024775,0.7141113923366925,53.0
48,0.3910407107687157,0.7141113923366926,54.0
49,0.3926503028087659,0.7141113923366926,55.0
50,0.39264806103902317,0.7141121623974356,56.0
51,0.42392300887169343,0.7141140701327022,57.0
52,0.41739245898887845,0.7113673834884154,59.0
53,0.41739249500927156,0.7005867389268692,61.0
54,0.41739381410361454,0.7005876018141592,62.0
55,0.39843057766822665,0.7005871636798984,63.0
56,0.4444862761811702,0.7011417942238483,65.0
57,0.4426865047957348,0.7011417603114838,67.0
58,0.44259635133965547,0.7011417603114838,68.0
59,0.43593416476636226,0.7011417603114838,69.0
60,0.4359341647663624,0.7009483883057334,70.0
61,0.4217097906668783,0.7009483883057332,71.0
62,0.4217086681793859,0.6996098901477701,72.0
63,0.4217086681793859,0.6996098901477701,73.0
64,0.421708005899315,0.6996098841356391,74.0
65,0.4215299796113915,0.6985810613168769,75.0
66,0.4215282948827025,0.6985811188120012,76.0
67,0.4215284311814076,0.6985810017674148,77.0
68,0.4213110638474433,0.6985811052836137,78.0
69,0.42131104190484947,0.6985811177130271,79.0
70,0.4211619167780519,0.6985815474774654,80.0
71,0.42116198797020155,0.6985810712626481,82.0
72,0.42117864430587204,0.6985806745626122,83.0
