,Boruta HNA,Boruta LNA,Boruta ranking LNA
0,0.0902986782489843,0.6316949824297212,1
1,0.09021281616983223,0.6325284119414815,2
2,0.09021282459920865,0.6264284654369349,3
3,0.1677765745978541,0.6505661069138404,4
4,0.16116365489842743,0.6565097151369708,5
5,0.16116329398605056,0.6766256793678973,6
6,0.2059751909342138,0.6777323780109807,7
7,0.18380580181053485,0.6854000067334669,8
8,0.18330232684891967,0.6665795308794856,9
9,0.2214800578120416,0.6925555531444174,11
10,0.22577807477656175,0.6708165058703003,12
11,0.19466775198433084,0.6545071514916746,13
12,0.45073570743868396,0.672402486327192,14
13,0.43765403183363016,0.6834133360287296,16
14,0.4418310946676588,0.7112423251915163,18
15,0.43676729174298845,0.7028084283123095,19
16,0.4344062853815067,0.699731294507973,20
17,0.4819047491244337,0.712859956784533,21
18,0.48989508336097853,0.712860996941616,22
19,0.48989905072746354,0.7128610109456552,23
20,0.4899001506790486,0.7126103523610738,24
21,0.4930993138259514,0.7126098142255326,25
22,0.48829794086198985,0.7138758508459061,26
23,0.4864014881182174,0.7138757961162243,28
24,0.46749007242492024,0.7038423586507537,30
25,0.45766963802960303,0.7037657991002544,31
26,0.43940979033035044,0.7037657991002544,32
27,0.4394094028037657,0.7037657242883042,33
28,0.43940970806299484,0.7037657279414755,34
29,0.4379268835351515,0.705887099623979,36
30,0.4378838696150694,0.7045809500993323,38
31,0.4378838696150694,0.7045809500993322,40
32,0.43788497424765305,0.7045809500993322,41
33,0.43788497830261464,0.7040457225757765,42
34,0.4381225489630004,0.7004414763722318,43
35,0.4362438354360837,0.7004414657896303,45
36,0.4384193255681347,0.6998707229830964,47
