,RL HNA,RL LNA,RL ranking
0,0.048428986005568775,0.4574965798229004,1.0
1,0.04832895067825793,0.46563883489126257,2.0
2,0.27722885117456075,0.4944344460929262,3.0
3,0.4112380967864998,0.6297600946542887,4.0
4,0.4893692677366738,0.6401239416536629,5.0
5,0.5744052871607284,0.6336644674897414,6.0
6,0.6227452290886197,0.6377880817256911,7.0
7,0.5827435737754176,0.6140018395850342,9.0
8,0.576227862271925,0.6138302555627284,10.0
9,0.5630829790670668,0.6082018329058418,11.0
10,0.5318907688730493,0.6072773630592304,12.0
11,0.5161645319086816,0.5905552856488513,13.0
12,0.5814304562196322,0.5863529706898478,14.0
13,0.5674086021836855,0.5842531219645608,16.0
14,0.5301937526804021,0.7535412893473395,17.0
15,0.5165508728292887,0.7435090028845597,19.0
16,0.5679528056446073,0.7382843994037487,20.0
17,0.5679571897520568,0.7391653878404618,21.0
18,0.5333273336367392,0.7258350789739976,22.0
19,0.627314264100546,0.7058175562797067,23.0
20,0.6388549500462186,0.702607264960345,24.0
21,0.613057204841732,0.7814247865523873,26.0
22,0.6380667634769768,0.7767983267368402,28.0
23,0.6271832300675719,0.7685897412635657,29.0
24,0.6227208250468934,0.7645729633793674,31.0
25,0.6377696382728362,0.7776130229031066,32.0
26,0.6551413218017598,0.8163997891062408,33.0
27,0.6344595516115707,0.8135432106843651,35.0
28,0.6310545720270607,0.8034415830959918,36.0
29,0.6481409994235321,0.8102137366198414,39.0
30,0.6520293957348644,0.798114891900356,40.0
31,0.642350470865944,0.7955241856556201,41.0
32,0.6098600281535662,0.7864938870930192,42.0
33,0.57760937755364,0.7865634005775073,45.0
34,0.5554675274221539,0.786563521546684,48.0
35,0.5478594586826486,0.7835946327383659,50.0
36,0.5392724479411258,0.7834174500227756,51.0
37,0.5679941377841687,0.7755649484803391,52.0
38,0.6091556496394286,0.7741141168172387,53.0
39,0.6001998026732565,0.7692640322221294,55.0
40,0.5930968293908407,0.769265721989074,56.0
41,0.6391965518222176,0.7686110210366108,57.0
42,0.6355458779769321,0.7686106974163982,59.0
43,0.6154931246245741,0.7678371359263363,60.0
44,0.5340557229111069,0.7797756329046458,61.0
45,0.5243408154534015,0.7792439448219168,63.0
46,0.4982824446920918,0.7792419655011671,66.0
47,0.46606238268810063,0.775622806419464,68.0
48,0.4534932007430369,0.7753537451172992,70.0
49,0.49488291713631527,0.7680792686440683,72.0
50,0.43771656826270466,0.7669177870230801,74.0
51,0.4414317226434765,0.7577972441989802,76.0
52,0.5441528414105877,0.7577977331800418,81.0
53,0.5006439965040899,0.7577978307756135,83.0
54,0.42500232039397867,0.7577979006785208,84.0
55,0.40868947315313997,0.757545821860555,86.0
56,0.3355334076442653,0.7242627454164152,87.0
57,0.3788968449540038,0.7296456044156713,91.0
58,0.4153406581286344,0.7478112109055031,92.0
59,0.3865663988498681,0.746029942949073,96.0
60,0.39270689818348015,0.750893210767534,99.0
61,0.39275998958479763,0.7508907828419638,101.0
62,0.39287636041187957,0.7453333333427572,102.0
63,0.3804402935117507,0.7357682937007589,104.0
64,0.3340836104269581,0.7330207915185287,108.0
65,0.33408356732479594,0.7330173548410734,110.0
66,0.3340834719232699,0.7290883478416643,111.0
67,0.34388499511794346,0.7062603807577509,113.0
68,0.3438684277153594,0.703754493962929,117.0
69,0.32209532710544275,0.6935894159610976,118.0
70,0.3339070280835077,0.6935894159610976,123.0
71,0.325412587925747,0.6870492776761421,124.0
72,0.3251621452748724,0.6870492983461478,128.0
73,0.32153122196888306,0.6866567074954044,129.0
74,0.32153122196888306,0.6860208910245186,130.0
75,0.32134960039937777,0.6842772175247931,131.0
76,0.32134960039937777,0.6842772175247931,137.0
77,0.32134960039937777,0.679558720644911,138.0
78,0.32141956635262625,0.6778521732392815,139.0
79,0.3214182008008333,0.6777477962399223,142.0
80,0.32141522634616004,0.6945868810336358,144.0
81,0.32044455516035175,0.6946110242163248,147.0
82,0.3196576805338711,0.6946084578687388,148.0
83,0.31965791495737583,0.6946088502784935,153.0
84,0.31965791495737583,0.6946088628691998,154.0
85,0.31965791495737583,0.6946148964917793,158.0
86,0.31965805794654567,0.6899790930725636,160.0
87,0.3196587473555762,0.6899789814495745,162.0
88,0.3196587473555763,0.6877956814453824,164.0
89,0.3196587473555762,0.6877956814453824,167.0
90,0.3196588086310691,0.6877956697644549,168.0
91,0.31926312708496263,0.6877955415960487,169.0
92,0.319267769191968,0.6876102054050417,172.0
93,0.3192678030027737,0.6876102054050417,176.0
94,0.3192678030027737,0.6867048261722766,177.0
95,0.3192678030027737,0.6859836599757024,178.0
96,0.3192678030027737,0.6860043979961303,179.0
97,0.3192678030027737,0.6860043979961303,181.0
98,0.3192678030027737,0.6860043979961304,182.0
99,0.3192678030027737,0.6860048530334204,183.0
100,0.3192678030027737,0.6860048530334204,185.0
101,0.31927648913205287,0.6860048334336288,187.0
102,0.3192764735271021,0.6860048334336288,189.0
103,0.3192764735271021,0.6860060705064643,191.0
104,0.3192764735271021,0.6860060705064643,192.0
105,0.31927188052456823,0.6860049769551335,193.0
