,Boruta HNA,Boruta LNA,Boruta ranking LNA
0,0.13781708690779504,0.6082133847046973,1
1,0.13781761368586964,0.6059709391881127,2
2,0.37287434475639625,0.5832430729330862,3
3,0.3678333271965688,0.5653484950722331,4
4,0.36181441560603655,0.5650628227729804,5
5,0.3546517521913116,0.567704091461975,6
6,0.3546517521913116,0.5590834891910993,8
7,0.3149239632155848,0.5831662530984079,9
8,0.39538879125792636,0.5831675970293089,11
9,0.458107070349174,0.5831675970293089,12
10,0.4549040483544725,0.5713916726088386,13
11,0.42972102806475265,0.560938525577606,15
12,0.4259225026933924,0.560938525577606,16
13,0.45822113327501934,0.5520550020129218,17
14,0.45865953056093167,0.5460281806665803,18
15,0.453306918701186,0.5460276642593271,20
