,Boruta HNA,Boruta LNA,Boruta ranking
0,0.37807797225114537,0.6058926138424949,1
1,0.4002946535036922,0.6142574787494217,2
2,0.45098743971689315,0.6086686572654503,3
3,0.4032198872330284,0.5980771861979428,4
4,0.47077756024032424,0.5897243245778286,5
5,0.46108331519646484,0.5851437191951472,7
6,0.44739687301102715,0.5744511947107636,8
7,0.46891976885839937,0.5917702372920313,10
8,0.45426452532447725,0.5868697405743766,13
9,0.4500584268769453,0.576679807403877,15
10,0.44562899963943414,0.5544545868312747,16
11,0.44595032775270405,0.5495426621636512,18
12,0.4526719302874035,0.5462114335517076,19
13,0.453306918701186,0.5460276642593271,20
