,Boruta HNA,Boruta LNA,Boruta ranking
0,0.6362614757084588,0.39433569536643576,1
1,0.6806344899784984,0.44160272547959334,2
2,0.6621296044123597,0.46949022373156657,3
3,0.6501550028975929,0.4394100088131657,4
4,0.6501450301355451,0.43941584876929907,6
5,0.6614567390719499,0.43917250286905585,7
6,0.626105343643494,0.4239728017385763,9
7,0.6258045230698137,0.40838595073020434,12
8,0.7197054425752425,0.403728308703188,13
9,0.6887913368876009,0.33863677753728294,15
10,0.6651473991639931,0.3174558527311311,17
11,0.6731886181590336,0.3442766413064726,18
12,0.6563785470338461,0.4024652119064229,20
13,0.6605593549112172,0.392124603076345,22
14,0.6577973459966899,0.38462421666066904,23
15,0.662396308804905,0.3800615937118246,24
16,0.6488059184784513,0.3800615588905323,25
17,0.7248432557374491,0.33612201622398985,26
18,0.7794804439953275,0.33614295131267735,28
19,0.7676961517732083,0.33614344335034463,30
20,0.812837930764293,0.33559092569063753,31
21,0.8046700212430488,0.3349588908900458,32
22,0.8054829402188987,0.33233678467887373,33
23,0.804524500085673,0.37597341307975174,34
24,0.7903101057211593,0.35735245403610527,35
25,0.7793848994429948,0.34341104745891415,37
26,0.7762859444437638,0.3434111451185926,38
27,0.7725663397793044,0.34227576085877287,39
28,0.7403404822073048,0.34563049504784105,41
29,0.7376773449255972,0.3438807626803695,43
30,0.7323205477274066,0.3467374002778628,45
31,0.7322763679194093,0.33983325076721727,47
32,0.7223213761658961,0.37851544954557337,48
33,0.7571852184153005,0.512785851261919,51
34,0.7479448143384804,0.5136855464069796,53
35,0.7359891829243432,0.4876817833538235,54
36,0.7339597935976065,0.4814723785445566,55
37,0.7260457482545337,0.47254454890820186,56
38,0.726041384696424,0.4725751689416311,58
39,0.7068321589360034,0.40411721083299623,59
40,0.7007766804674432,0.4041196928477375,61
41,0.6899013465069901,0.3948026328934099,62
42,0.6732630339468819,0.3765936685314686,65
43,0.6792626536424909,0.37523916674652424,67
44,0.7109396638106833,0.3715302369491874,68
45,0.7043006423146148,0.3352639973490923,71
46,0.7048729581562954,0.36431905911306717,73
47,0.7048043650723828,0.33876835176848075,74
48,0.70480624958729,0.33876835176848064,75
