OTU,color_name,lake
Otu000363,#5C2849,Inland
Otu000369,#5C2849,Inland
Otu000022,#5C2849,Inland
Otu000717,#5C2849,Inland
Otu001668,#5C2849,Inland
Otu000619,#5C2849,Inland
Otu001821,#5C2849,Inland
Otu000151,#5C2849,Inland
Otu000664,#5C2849,Inland
Otu002159,#5C2849,Inland
Otu000250,#5C2849,Inland
Otu001087,#5C2849,Inland
Otu000580,#5C2849,Inland
Otu000571,#5C2849,Inland
Otu000973,#5C2849,Inland
Otu000792,#5C2849,Inland
Otu000282,#5C2849,Inland
Otu000321,#5C2849,Inland
Otu000803,#5C2849,Inland
Otu001288,#5C2849,Inland
Otu000526,#5C2849,Inland
Otu000227,#5C2849,Inland
Otu000574,#5C2849,Inland
Otu001038,#5C2849,Inland
Otu000346,#5C2849,Inland
Otu001656,#5C2849,Inland
Otu001533,#5C2849,Inland
Otu000285,#5C2849,Inland
Otu001552,#5C2849,Inland
Otu001863,#5C2849,Inland
Otu000168,#CD0000,Mismatch
Otu001140,#5C2849,Inland
Otu000389,#5C2849,Inland
Otu000711,#5C2849,Inland
Otu000638,#5C2849,Inland
Otu000441,#5C2849,Inland
Otu001107,#5C2849,Inland
Otu000207,#5C2849,Inland
Otu000511,#5C2849,Inland
Otu000247,#5C2849,Inland
Otu000745,#5C2849,Inland
Otu000329,#5C2849,Inland
Otu001498,#5C2849,Inland
Otu000066,#5C2849,Inland
Otu000523,#5C2849,Inland
Otu000120,#5C2849,Inland
Otu000269,#5C2849,Inland
Otu000053,#5C2849,Inland
Otu001301,#5C2849,Inland
Otu000108,#5C2849,Inland
Otu000067,#5C2849,Inland
Otu000307,#5C2849,Inland
Otu000501,#5C2849,Inland
Otu000637,#5C2849,Inland
Otu001215,#5C2849,Inland
Otu000555,#5C2849,Inland
Otu000006,#5C2849,Inland
Otu002163,#5C2849,Inland
Otu001341,#5C2849,Inland
Otu001414,#5C2849,Inland
Otu000582,#5C2849,Inland
Otu000297,#5C2849,Inland
Otu000650,#5C2849,Inland
Otu000140,#5C2849,Inland
Otu000378,#5C2849,Inland
Otu000093,#5C2849,Inland
Otu000274,#5C2849,Inland
Otu000597,#5C2849,Inland
Otu000105,#5C2849,Inland
Otu000660,#5C2849,Inland
Otu000189,#5C2849,Inland
Otu001643,#5C2849,Inland
Otu001134,#5C2849,Inland
Otu002185,#5C2849,Inland
Otu000073,#5C2849,Inland
Otu001709,#5C2849,Inland
Otu000706,#5C2849,Inland
Otu001250,#5C2849,Inland
Otu000222,#5C2849,Inland
Otu000315,#5C2849,Inland
Otu000311,#5C2849,Inland
Otu000856,#5C2849,Inland
Otu000358,#5C2849,Inland
Otu001793,#5C2849,Inland
Otu001175,#5C2849,Inland
Otu000156,#5C2849,Inland
Otu000579,#5C2849,Inland
Otu000680,#5C2849,Inland
Otu001645,#5C2849,Inland
Otu000720,#5C2849,Inland
Otu000522,#5C2849,Inland
Otu000401,#5C2849,Inland
Otu001118,#5C2849,Inland
Otu002596,#5C2849,Inland
Otu002082,#5C2849,Inland
Otu001707,#5C2849,Inland
Otu000634,#5C2849,Inland
Otu000216,#EC4863,Michigan
Otu000025,#EC4863,Michigan
Otu000081,#EC4863,Michigan
Otu000359,#EC4863,Michigan
Otu000539,#EC4863,Michigan
Otu001568,#EC4863,Michigan
Otu000249,#EC4863,Michigan
Otu000225,#EC4863,Michigan
Otu000330,#EC4863,Michigan
Otu001497,#EC4863,Michigan
Otu000540,#EC4863,Michigan
Otu001300,#EC4863,Michigan
