"Otu000001" "Otu000009" "Otu000012" "Otu000022" "Otu000023" "Otu000030" "Otu000056" "Otu000077" "Otu000082" "Otu000093" "Otu000136" "Otu000227" "Otu000387" "Otu000775" "Otu001028" "Otu002522"
"110D2F115" 0.440950384346611 0.129105520614955 0.109538784067086 0.170335429769392 0.00296995108315863 0.0131027253668763 0.108141160027952 0.00296995108315863 0.000174703004891684 0.00349406009783368 0.0174703004891684 0.000174703004891684 0.000349406009783368 0.00122292103424179 0 0
"110D2F415" 0.224668064290706 0.0927672955974843 0.0857791754018169 0.557826694619147 0.000698812019566737 0.00209643605870021 0.0284765897973445 0.00174703004891684 0 0.00262054507337526 0.00262054507337526 0.000174703004891684 0 0.000349406009783368 0 0.000174703004891684
"110D2F515" 0.317610062893082 0.307302585604472 0.127882599580713 0.183263452131377 0 0.00209643605870021 0.0262054507337526 0.0193920335429769 0.000174703004891684 0.0103074772886094 0.00384346610761705 0.0010482180293501 0 0 0 0.000873515024458421
"110D2F715" 0.342243186582809 0.188155136268344 0.200908455625437 0.183088749126485 0.00559049615653389 0.000873515024458421 0.040356394129979 0.0197414395527603 0.000174703004891684 0.00646401118099231 0.0103074772886094 0.000873515024458421 0 0.00122292103424179 0 0
"110D2F815" 0.307651991614256 0.23654786862334 0.172781271837876 0.141509433962264 0.00978336827393431 0.003319357092942 0.0386093640810622 0.0101327742837177 0.00192173305380853 0.00471698113207547 0.0695317959468903 0.000349406009783368 0 0.00209643605870021 0.0010482180293501 0
"110D2F915" 0.342592592592593 0.163347309573725 0.172431865828092 0.137840670859539 0.00908455625436757 0.00366876310272537 0.0592243186582809 0.00209643605870021 0.000349406009783368 0.00524109014675052 0.0981830887491265 0.000349406009783368 0 0.003319357092942 0.00227113906359189 0
"110M2F115" 0.493885394828791 0.131027253668763 0.0705800139762404 0.186582809224319 0.00296995108315863 0.0700559049615653 0.0101327742837177 0.0127533193570929 0.000174703004891684 0.00960866526904263 0.0118798043326345 0 0 0.000349406009783368 0 0
"110M2F415" 0.305380852550664 0.183263452131377 0.0988819007686932 0.342941998602376 0.000349406009783368 0.00157232704402516 0.0279524807826695 0.0246331236897275 0 0.0106568832983927 0.003319357092942 0.000174703004891684 0 0.000349406009783368 0 0.000524109014675052
"110M2F515" 0.265373864430468 0.191998602375961 0.104297693920335 0.358141160027952 0.000174703004891684 0.00209643605870021 0.0192173305380853 0.0354647099930119 0.000174703004891684 0.0188679245283019 0.00209643605870021 0.000873515024458421 0 0.000174703004891684 0 0.0010482180293501
"110M2F715" 0.348881900768693 0.231481481481481 0.102375960866527 0.11512928022362 0 0.036512928022362 0.0101327742837177 0.0387840670859539 0 0.0988819007686932 0.0174703004891684 0 0.000174703004891684 0.000174703004891684 0 0
"110S2F115" 0.45125786163522 0.117575122292103 0.176450034940601 0.154786862334032 0.000873515024458421 0.033717679944095 0.00925925925925926 0.0295248078266946 0 0.0151991614255765 0.0111809923130678 0 0.000174703004891684 0 0 0
"110S2F415" 0.32058001397624 0.156708595387841 0.0966107617051013 0.358839972047519 0.000174703004891684 0.003319357092942 0.0351153039832285 0.0124039133473096 0 0.00716282320055905 0.00349406009783368 0.000873515024458421 0.000349406009783368 0.00157232704402516 0 0.00279524807826695
"110S2F515" 0.389762403913347 0.207721872816212 0.140635918937806 0.203004891684137 0.0010482180293501 0.00296995108315863 0.0377358490566038 0.00489168413696716 0 0.00419287211740042 0.00524109014675052 0.000873515024458421 0.000174703004891684 0.00139762403913347 0 0.000349406009783368
"110S2F715" 0.323200559049616 0.172257162823201 0.0957372466806429 0.197763801537386 0.0108315863032844 0.0483927323549965 0.00471698113207547 0.0688329839273236 0 0.0700559049615653 0.0076869322152341 0.000174703004891684 0.000349406009783368 0 0 0
"110S2F915" 0.317260656883298 0.0894479385045423 0.226589797344514 0.151991614255765 0 0.0585255066387142 0.000524109014675052 0.0609713487071978 0 0.0718029350104822 0.0228860936408106 0 0 0 0 0
"Fa13.BD.MM110.DN.1" 0.237421383647799 0.142208245981831 0.0476939203354298 0.259259259259259 0.00192173305380853 0.00419287211740042 0.239168413696716 0 0.00262054507337526 0.00279524807826695 0.0562543675751223 0.00139762403913347 0 0.00506638714185884 0 0
"Fa13.BD.MM110.SD.1" 0.359364081062194 0.212089447938505 0.0333682739343117 0.348357791754018 0 0.0246331236897275 0.00244584206848358 0.00559049615653389 0 0.00262054507337526 0.0101327742837177 0.0010482180293501 0.000349406009783368 0 0 0
"Fa13.BD.MM110.SN.1" 0.313417190775681 0.242837176799441 0.030398322851153 0.367924528301887 0 0.0258560447239693 0.00139762403913347 0.00296995108315863 0 0.00314465408805031 0.0120545073375262 0 0 0 0 0
"Fa13.BD.MM15.DN.1" 0.369147449336129 0.258735150244584 0.0693570929419986 0.266946191474493 0.000524109014675052 0.0110062893081761 0.0125786163522013 0.000873515024458421 0.000524109014675052 0.0010482180293501 0.00890985324947589 0 0.000174703004891684 0.000174703004891684 0 0
"Fa13.BD.MM15.SD.1" 0.323724668064291 0.230782669461915 0.0344164919636618 0.37141858839972 0.000174703004891684 0.0131027253668763 0.00419287211740042 0.0124039133473096 0.000174703004891684 0.00314465408805031 0.00646401118099231 0 0 0 0 0
"Fa13.BD.MM15.SN.1" 0.336477987421384 0.223969252271139 0.0382599580712788 0.359364081062194 0.000524109014675052 0.0162473794549266 0.00506638714185884 0.00611460517120894 0.000524109014675052 0.00419287211740042 0.00925925925925926 0 0 0 0 0
"M15S2F115" 0.537910552061495 0.14727463312369 0.109538784067086 0.133997204751922 0.000698812019566737 0.0153738644304682 0.0302236198462614 0.0136268343815514 0 0.00419287211740042 0.00698812019566737 0 0.000174703004891684 0 0 0
"M15S2F515" 0.331062194269741 0.273410202655486 0.086827393431167 0.251397624039133 0.00366876310272537 0.00157232704402516 0.00524109014675052 0.0103074772886094 0 0.0307477288609364 0.00524109014675052 0.000524109014675052 0 0 0 0
"M15S2F715" 0.482879105520615 0.18151642208246 0.0625436757512229 0.171907756813417 0.00279524807826695 0.0148497554157932 0.0227113906359189 0.0400069881201957 0.000174703004891684 0.0202655485674354 0.000174703004891684 0.000174703004891684 0 0 0 0
"M15S2F815" 0.459468902865129 0.16282320055905 0.0903214535290007 0.154088050314465 0.00244584206848358 0.0478686233403215 0.00506638714185884 0.0214884696016771 0.00139762403913347 0.0314465408805031 0.0230607966457023 0 0 0 0.000524109014675052 0
