,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,r_spearman,p_spearman
Otu000782,0.1,4204.949912284614,2.760755531886665,0.0008296449354481264,3.346126784031666,0.06516737390792225,0.6300792977447649
Otu000501,0.1,3946.051981031657,2.185513084280419,0.0007318094477773561,2.1076800597599465,-0.41046536554164575,0.0015175322188832165
Otu000169,0.1,12944.037035467321,1.126744647525533,0.0017727790365943455,0.9235468482327084,0.2574870460530108,0.05315517565121454
Otu000090,0.1,11253.977532968605,0.9074618033924483,0.0019488829144017421,0.9572628456230898,-0.004231812303322622,0.9750767227198279
Otu000644,0.09666666666666666,42.535791704333334,5.307690827811009,7.826839013659649e-06,5.2906588841628635,0.2781810278959297,0.03614939360242137
Otu000349,0.09666666666666666,1548.959505371169,4.488271598767158,0.00019175755583470528,4.321554636208186,0.2747141246256822,0.038633461615665825
Otu000601,0.09333333333333334,864.3436638920521,1.7002922654727264,0.0001565367802732158,1.6810193017503765,0.11932306797401405,0.37665551894551963
Otu000206,0.09333333333333334,26097.45659437014,3.944382090786344,0.0053966054999197675,3.7606217908192585,-0.1902226052834879,0.15639228590563903
Otu000670,0.09,836.958842617921,2.150476528117462,0.00011348916569808071,2.105254413140289,0.2768328132790232,0.03709919298218829
Otu000312,0.09,851.6142707734087,3.364136531878536,0.00019175755583470877,3.465048306555619,-0.24566519145953775,0.06547807207683815
Otu000175,0.09,38974.02099384028,1.8723791502388285,0.005220501622112384,1.9177947333883634,0.37514073547005816,0.004036169267237332
Otu000939,0.09,5995.163838790598,2.0274100003238464,0.0010761903643784737,2.237929448672903,-0.08117649928347269,0.5483174706591257
Otu000639,0.09,1357.285317941854,2.4979830654296142,0.00040699562871039646,3.071052736299046,-0.0634244395137646,0.6392785090428368
Otu000843,0.09,324.47717663218924,2.554982990467332,5.087445358879473e-05,2.488264934401189,0.12682681549032487,0.34716033536064117
Otu000515,0.09,32.95935715823123,7.549834435270759,3.9134195068298245e-06,7.549834435270743,0.18681701788194405,0.1640815505903723
Otu000793,0.08666666666666667,5837.57917960639,2.2563978075501603,0.0010957574619126316,2.276089029063163,-0.21818205458000942,0.10300559731460912
Otu000682,0.08666666666666667,40.14173470146474,7.549834435270752,3.9134195068298245e-06,7.5498344352707445,0.03248991615338157,0.8103904081709653
Otu000275,0.08666666666666667,18374.883035643423,2.1546502672177232,0.0033068394832720684,2.0752931954965566,-0.19000476109881717,0.15687604036157318
Otu001225,0.08666666666666667,74.75671261803848,4.653357268529496,1.1740258520489473e-05,4.280353790451035,-0.0811846694670108,0.5482770799097518
Otu000624,0.08666666666666667,2660.5877776355896,1.6426019319984668,0.0003678614336420755,1.491906477712286,0.050877522590460716,0.707028048415535
