,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV
Otu000342,0.17666666666666667,1308.0274764932071,3.024302791593664,0.0006519337603432993,2.8306915999613564
Otu000220,0.17666666666666667,1890.03222918406,3.4894012942824983,0.0015694209872215597,4.14025757885231
Otu000818,0.17333333333333334,356.6870700107817,2.6914985493193573,9.427148061989704e-05,2.463342748661728
Otu000217,0.17333333333333334,12676.189921285439,1.9405405882624027,0.002042106157653752,2.0117742425478506
Otu000317,0.17333333333333334,2884.5772447646127,2.911354228762218,0.00034521950649542445,2.5669595015903766
Otu000323,0.17,4079.0614378357923,2.3059590806200454,0.0006253784136897962,2.1064935300903715
Otu000785,0.16666666666666666,1895.8823285122085,5.782268131656211,0.00022837598122005183,5.6337814503815595
Otu000515,0.16666666666666666,1328.3070560915305,4.179033641326255,0.00017792082257841131,3.7763272877764646
Otu000977,0.16333333333333333,282.0323586034012,3.1459095529962458,0.00011684352527537023,2.9616241987783507
Otu000056,0.16,3539.352737590819,3.90730725248395,0.004017823948673822,4.930622065975164
Otu000932,0.16,786.5486509642247,3.0424040563634875,0.0001526932432575893,2.856003550330779
Otu000330,0.16,4921.661921537048,2.5261785522614124,0.0007143388249789946,2.205038401491989
Otu000278,0.16,1206.5041316867694,4.3917322709164015,0.0004859628437589566,4.071413520464942
Otu001330,0.16,252.52520425708767,2.848597504507153,6.107729730303156e-05,3.264215934597912
Otu000158,0.15666666666666668,11069.133393868366,2.1846115705207385,0.0028520442305853635,1.730861515719113
Otu001408,0.15333333333333332,509.5930954146886,3.3205715303765833,7.037166863175479e-05,2.9463062364248094
Otu000851,0.15333333333333332,1637.2613302847808,3.4241872542743015,0.00020978723856260114,3.179674947444631
Otu001288,0.15333333333333332,316.6764234520889,3.027294653092771,0.00010622138661397022,3.789854088481248
Otu000123,0.15333333333333332,14679.454125607324,1.5056719648542618,0.002348820411501628,1.2864978283643504
Otu000246,0.15,7007.065153602767,6.646862289616406,0.000760810681622634,5.990522624925062
Otu000101,0.15,2359.034811377903,1.8014952084744802,0.0008510988602445035,1.8959672781967098
Otu000124,0.15,13542.793903773641,1.241493839521103,0.002866649671244773,1.207789145836995
Otu000407,0.14666666666666667,733.1102707171532,3.1328493846790857,0.00010754915394664705,2.861824535805713
Otu000289,0.14666666666666667,2028.5850670110904,5.291188127357608,0.0004102801057964906,5.050852061336922
Otu000068,0.14666666666666667,2810.41852895064,4.009784857035035,0.0004540964277747554,3.5617784197577764
Otu000332,0.14666666666666667,524.9080011750741,2.886554349432235,0.00010091031728327441,3.2257444679333838
Otu000256,0.14666666666666667,933.5877543857487,3.372493872767892,0.0007435497062978564,3.761449586796604
Otu000441,0.14333333333333334,609.9342036791109,3.524202049480266,0.0004514408931094097,4.947962933786472
Otu000650,0.14333333333333334,2465.5685678794484,3.5665795859109783,0.00036115271448752687,3.855610931709118
Otu000456,0.14333333333333334,502.6544906098965,2.43371629354133,0.00011684352527536428,2.11983261257585
Otu000645,0.14333333333333334,670.5723472515218,2.04739156107844,0.0002177538425586458,2.638507983674539
Otu001087,0.14,759.6846635477413,2.2715931822999167,0.00016862645124967977,3.1099025133257387
Otu000100,0.14,3231.4808385772158,1.4748962859910806,0.0005921842303729188,1.4724972640481622
Otu000151,0.14,6466.663229580266,4.43052705272182,0.0008962429495554482,3.872805704656831
Otu000107,0.13666666666666666,13095.462768204356,2.2685661054450064,0.003847869730091429,2.158966233299107
Otu000581,0.13333333333333333,900.1496606014251,3.498187421151798,0.00013941556993083987,2.7108122387971703
Otu000539,0.13,855.0446798702505,2.0892194269564257,0.00021111500589526317,1.5567491022021083
Otu000583,0.13,2297.080411278587,3.0135909216063226,0.0004142634077945156,3.4021050568707754
Otu000098,0.13,11396.091943390371,1.7876676753681318,0.0024112254761373348,1.6976261067145968
Otu000044,0.13,4655.635429298114,1.893035629541025,0.0009174872268782321,1.896435359633326
Otu000423,0.12666666666666668,3896.9417129021804,1.8003921798821425,0.0006081174383650147,1.6135456188226325
Otu000036,0.12666666666666668,52167.405373362744,1.0606617769696518,0.011428093432331636,0.7753646374104407
Otu000319,0.12333333333333334,5156.725410904158,1.6497866609807281,0.000873670904899964,1.4938359889716026
Otu000770,0.12,1237.3898678975065,2.101361431706583,0.0002682090012002812,1.9146990424955295
Otu000219,0.12,8517.512134438299,1.544541265725223,0.0014685106699382647,1.5288168281610235
Otu000412,0.12,4010.240017541134,1.465142752325379,0.0007833827262780783,1.319111760907463
Otu000354,0.11666666666666667,2014.7953130633712,2.777078113887669,0.0004222300117905601,2.678288747029915
Otu000117,0.11666666666666667,1316.6832594259542,3.842287644465021,0.00022040937722399826,3.069270745306633
Otu001319,0.11333333333333333,557.9447456117291,2.783531250179464,9.028817862187501e-05,2.6523488294016335
Otu001180,0.11333333333333333,967.8091022752616,4.035724325238482,0.00012879343126944286,3.807277020510389
Otu000522,0.11,1347.2337751056905,1.7440380574435999,0.0002456369565448143,1.6677901003089626
Otu000291,0.11,3110.6560912566542,2.1503429874409616,0.0007820549589454087,1.8206133119011603
Otu000073,0.11,24807.558601098593,1.4226591465376794,0.004993732938189733,1.3067727444943262
