,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,r_spearman,p_spearman
Otu000384,0.06,1112.228756655578,1.440939862848481,0.0001988187258144109,1.4038746040017944,0.16648634960449113,0.2688002917093691
Otu000074,0.06,18728.94321854057,0.5881872116478125,0.0034963000320049216,0.6797455530888619,-0.007904168681266166,0.9584218340061701
Otu000159,0.06,874.0461660621286,1.5969944863738874,0.00016487406530950438,1.520941855950231,-0.08512163446081124,0.5738045297152894
Otu000832,0.06,1717.6599390014462,1.449509570931368,0.000344295842263987,1.5252913488187514,-0.17261665009063817,0.25131554435849546
Otu000925,0.06,128.1105130783928,5.035506324481363,1.454771164495652e-05,5.0101132290500985,0.2816647766845868,0.05791206061045754
Otu000329,0.056666666666666664,316.10643445286047,3.121311761821138,4.849237214985217e-05,2.7279622024101386,0.20268448529394223,0.17672388787828228
Otu000218,0.056666666666666664,4556.3184704536,2.0969997339452684,0.0006934409217429871,1.9327228594658208,-0.19085313805264326,0.20389880132137123
Otu000633,0.05333333333333334,278.505167444161,2.2267843522470336,6.788932100979566e-05,2.4849661344459277,-0.020704983023705097,0.8913644314080867
Otu000292,0.05333333333333334,1984.5218379287949,2.182829492076117,0.0005043206703585348,2.980152955316455,-0.2332818780792216,0.11869694038810821
Otu000656,0.05,710.1458642116593,2.6395511732444255,9.213550708472174e-05,2.1998349080450588,0.14281661836901643,0.3437214410711955
Otu000116,0.05,641.9145143876866,2.7301684371037873,9.21355070847261e-05,2.4251427439243964,0.018712601354160353,0.9017642387853132
Otu000407,0.05,1885.0495206529013,1.7965374710114612,0.0002812557584691696,1.6588719829391516,-0.06038970220482543,0.690132572675466
Otu000535,0.05,1337.9415125401265,2.0192263179826617,0.00024246186074928044,1.8279606122672714,-0.03678143709128282,0.8082529010076271
Otu000077,0.05,75.44854609199956,4.794426438809836,9.698474429969565e-06,4.74224513167433,0.21679929482352286,0.1478368909346626
Otu000357,0.04666666666666667,686.9092552783941,5.967845379018309,0.00015517559087955,6.3559218887236835,0.15087246308323363,0.31689942724857506
Otu000556,0.04666666666666667,147.45894905391387,2.846656055690082,3.394466050489565e-05,2.7594406084668583,-0.13648384088356033,0.36575913376116886
Otu000297,0.04666666666666667,3348.4705789552813,1.2527812531829254,0.00047522524706860425,1.1395319296315312,0.4006707881824457,0.005791776504966712
Otu001155,0.04666666666666667,513.8481558544837,1.998870430327663,9.213550708471958e-05,2.0143834896406814,-0.12719394158298178,0.39958697168648327
Otu000128,0.04666666666666667,5165.1084712876645,1.6207241463029103,0.0006982901589579675,1.2645924645944229,0.23176782991331457,0.12117665220437814
Otu000631,0.043333333333333335,1162.5226786361998,2.4883674669409848,0.00016002482809452612,2.2698927329458143,0.24494532877255337,0.100863620899112
Otu000645,0.043333333333333335,326.7537768720479,2.2784958728698332,6.304008379480869e-05,2.318890210428571,0.2673798669785365,0.07242839126570105
Otu000547,0.043333333333333335,1048.4543932391937,1.3927601947165495,0.0002473110979642695,1.450986280386147,-0.3207875371145244,0.029734035012266118
Otu001414,0.043333333333333335,24.058057589541086,6.782329983125271,4.849237214984782e-06,6.782329983125267,-0.14035865351108648,0.35217585455581524
Otu000259,0.043333333333333335,873.183528494118,1.580971480228427,0.0001939694885994261,1.8079146980861298,-0.18643098319840604,0.21477245700727896
Otu000716,0.043333333333333335,4235.916152653988,2.111527184084985,0.0008049733776876697,2.2041132438444793,0.34169689899645755,0.020116845006050713
Otu000044,0.043333333333333335,1535.036869410042,2.9229741100702267,0.00021821567467435006,2.3753235286104615,0.0905292063132703,0.5496183969512141
Otu000046,0.043333333333333335,57030.868163986655,0.6663397754158802,0.010401613826145134,0.6659823591667554,-0.24481110545492393,0.10105639478934238
Otu000779,0.04,1146.2727840683172,2.804685592752492,0.00020851720024438696,2.681798603059446,0.10750282056452755,0.4770106837039435
Otu001408,0.04,82.5937315704739,4.747576671631104,9.698474429969565e-06,4.742245131674331,0.2569473123834345,0.08474109297139737
Otu000242,0.04,3167.921242883744,1.0569685504699216,0.0005431145680784065,1.235643176227298,0.12418328285908001,0.41092743021507117
Otu000117,0.04,1572.4338890882468,5.093854874179657,0.00021336643745938267,4.98202462154304,-0.11017736023894889,0.4660519347477803
Otu000065,0.04,5049.485319787797,1.7078788557727769,0.0007467825311078348,1.6981575487458682,0.09652969257714497,0.5233619806286284
Otu000423,0.04,2038.4986620518087,1.539317724248383,0.00032004965618905436,1.2350524505694955,0.14602982654966895,0.33285980217071587
Otu000078,0.04,24460.967302888213,1.032335210031077,0.003772706553259137,0.949362117948407,-0.06826235340171995,0.6521604857438912
Otu001327,0.04,1426.3820593304167,1.8415020215259108,0.00021821567467435874,1.7035555491138505,0.15459934712506465,0.3049522443538228
Otu000183,0.04,4544.033595549372,1.8133722269026136,0.0006158531263032065,1.4125154203129973,0.06539820414391176,0.6658808281583317
Otu000189,0.03666666666666667,4297.507594152789,2.214143100547638,0.0005867577030132978,2.0074242367063007,0.1814353037503064,0.227534280845259
Otu000596,0.03666666666666667,192.0844217090651,3.3581772811792474,5.8190846579828263e-05,3.4697991545391327,-0.14472603038872825,0.33724096865471276
Otu000040,0.03666666666666667,39049.93006503311,1.1510352904837764,0.00737568980399381,1.1991053965968395,-0.3740392973500472,0.010444947943413004
Otu000209,0.03666666666666667,245.17889917950905,4.951436252707121,8.728626986974564e-05,4.981061527114546,-0.4419100889410257,0.0021072559589201396
Otu000214,0.03666666666666667,197.85962464479348,2.989403915316178,3.3944660504897825e-05,3.0876830873768926,0.17447544206641746,0.2461688876980477
Otu000287,0.03333333333333333,3620.9721306917977,4.98177035335301,0.0007855764288277457,4.573373802583069,-0.2749279827807617,0.06443644797991041
Otu000614,0.03333333333333333,1221.899887100058,1.75711424984136,0.00018912025138443487,1.7221660188917283,0.44307355483011845,0.002044215334273311
Otu000253,0.03333333333333333,4336.475014988993,1.1129898650120598,0.0009649982057821978,1.2661433128570319,-0.5589703484435117,5.3984749737239526e-05
Otu000091,0.03333333333333333,5881.612067224976,1.5580773017988552,0.0011007768478018152,1.6988767825713884,-0.15529388755035653,0.3027581074453398
Otu000273,0.03333333333333333,2991.757671532069,1.9261062255738268,0.0007710287171827738,2.273688661896372,-0.0641241707189127,0.6720191298505073
