0,Otu000009
1,Otu000382
2,Otu000227
3,Otu007625
4,Otu000011
5,Otu000025
6,Otu000047
7,Otu000487
8,Otu000004
9,Otu000765
10,Otu000050
11,Otu000106
12,Otu000016
13,Otu000057
14,Otu000319
15,Otu000007
16,Otu000124
17,Otu000030
18,Otu000005
19,Otu000139
20,Otu000104
21,Otu000048
22,Otu003229
23,Otu000029
24,Otu000209
25,Otu008167
26,Otu000152
