Otu000123,0.998
Otu000027,0.996
Otu000043,0.986
Otu000057,0.976
Otu000176,0.97
Otu000005,0.966
Otu000048,0.962
Otu000040,0.956
Otu000058,0.952
Otu000067,0.94
Otu000029,0.934
Otu000025,0.836
Otu000041,0.82
Otu000330,0.81
Otu000112,0.808
Otu000084,0.806
Otu000173,0.796
Otu000017,0.748
Otu000016,0.734
Otu000042,0.73
Otu000050,0.712
Otu000095,0.694
Otu000219,0.674
Otu000004,0.638
Otu000038,0.63
Otu000290,0.608
Otu000335,0.606
Otu000034,0.596
Otu000106,0.572
Otu000082,0.56
Otu000255,0.558
Otu000049,0.558
Otu000047,0.544
Otu000175,0.54
Otu000012,0.532
Otu000284,0.526
Otu000204,0.526
Otu000030,0.512
Otu000085,0.494
Otu000096,0.476
Otu000011,0.468
Otu000098,0.452
Otu000143,0.448
Otu000073,0.44
Otu000119,0.424
Otu000124,0.404
Otu000023,0.396
Otu000059,0.38
Otu000009,0.352
Otu000104,0.322
Otu000036,0.31
Otu000094,0.304
Otu000222,0.304
Otu000117,0.3
Otu000107,0.294
Otu000169,0.292
Otu000247,0.284
Otu000163,0.276
Otu000001,0.27
Otu000152,0.266
Otu000022,0.262
Otu000083,0.234
Otu000086,0.23
Otu000060,0.224
Otu000020,0.21
Otu000007,0.2
Otu000287,0.184
Otu000249,0.182
Otu000139,0.18
Otu000115,0.178
Otu000010,0.172
Otu000147,0.162
Otu000212,0.16
Otu000414,0.154
Otu000024,0.146
Otu000213,0.144
Otu000079,0.138
Otu000090,0.13
Otu000075,0.11
Otu000026,0.102
Otu000091,0.096
Otu000103,0.092
Otu000113,0.09
Otu000271,0.086
Otu000033,0.08
Otu000158,0.078
Otu000046,0.076
Otu000665,0.074
Otu000160,0.062
Otu000006,0.062
Otu000078,0.06
Otu000053,0.06
Otu000246,0.058
Otu000019,0.054
Otu000061,0.052
Otu000196,0.038
Otu000343,0.024
