Otu000255,0.794
Otu000117,0.744
Otu000060,0.638
Otu000079,0.624
Otu000343,0.526
Otu000139,0.52
Otu000075,0.406
Otu000082,0.398
Otu000106,0.358
Otu000098,0.314
Otu000212,0.31
Otu000091,0.298
Otu000176,0.294
Otu000414,0.29
Otu000073,0.284
Otu000096,0.26
Otu000103,0.252
Otu000061,0.24
Otu000067,0.234
Otu000026,0.232
Otu000163,0.222
Otu000059,0.212
Otu000025,0.194
Otu000160,0.176
Otu000046,0.174
Otu000335,0.17
Otu000330,0.156
Otu000246,0.154
Otu000104,0.15
Otu000152,0.15
Otu000124,0.146
Otu000665,0.13
Otu000222,0.128
Otu000009,0.122
Otu000147,0.116
Otu000204,0.112
Otu000112,0.11
Otu000287,0.108
Otu000247,0.102
Otu000219,0.1
Otu000084,0.1
Otu000007,0.098
Otu000158,0.096
Otu000169,0.09
Otu000019,0.088
Otu000213,0.084
Otu000173,0.08
Otu000041,0.078
Otu000024,0.074
Otu000005,0.072
Otu000249,0.07
Otu000034,0.07
Otu000290,0.07
Otu000083,0.06
Otu000047,0.054
Otu000196,0.054
Otu000094,0.054
Otu000085,0.044
Otu000284,0.042
Otu000090,0.038
Otu000001,0.026
Otu000016,0.026
Otu000006,0.024
Otu000086,0.02
Otu000113,0.02
Otu000036,0.018
Otu000011,0.018
Otu000020,0.018
Otu000143,0.012
Otu000040,0.01
Otu000271,0.01
Otu000004,0.01
Otu000115,0.01
Otu000038,0.006
Otu000012,0.004
Otu000107,0.004
Otu000017,0.004
Otu000033,0.004
Otu000058,0.004
Otu000123,0.002
Otu000030,0.002
Otu000053,0.002
Otu000049,0.002
Otu000010,0.0
Otu000175,0.0
Otu000078,0.0
Otu000022,0.0
Otu000023,0.0
Otu000119,0.0
Otu000027,0.0
Otu000042,0.0
Otu000043,0.0
Otu000095,0.0
Otu000048,0.0
Otu000050,0.0
Otu000057,0.0
Otu000029,0.0
