,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu002163,17.599479270919495,9.134556964733028e-05,0.2067689053410894,0.01755056781327346,yes,0.18,31.0,0.003677715918753949,37
Otu000085,16.402113617496454,0.00014921765195235808,-0.3601269169751455,3.527206357468129e-05,yes,0.01,423.0,0.0037273511552712905,38
Otu002159,19.10126484768102,4.998639427664846e-05,0.2882072977260709,0.0009317119850916349,yes,0.082,122.0,0.002857368387150073,39
Otu000259,13.456215320544644,0.0005202476619769792,-0.3463775780010577,6.934453835477586e-05,yes,0.066,162.0,0.003448940985631065,40
Otu001341,11.444637586295007,0.0012676523715983757,0.07985193019566368,0.35904499867739703,no,0.176,32.0,0.0029104300629677463,41
Otu000165,29.301965165442528,1.1439233868300646e-06,0.35272342675832896,5.090935359404269e-05,yes,0.074,144.0,0.0035362259677384983,42
Otu001414,10.639415174919888,0.001828244138828345,0.2755156002115283,0.0015529809561462722,yes,0.206,24.0,0.0026156075777700495,43
Otu000169,13.26115341001975,0.000566366653829405,0.3336858804865151,0.00012672097906100944,yes,0.088,113.0,0.0023785947773029537,43
Otu000745,17.047501344942336,0.00011440472612800427,-0.33051295610787945,0.00014687108894977392,yes,0.212,22.0,0.0023484500632556526,45
Otu000974,3.571472430895475,0.06361388721621827,-0.1708090957165521,0.0497708189332417,yes,0.026,308.0,0.0025251026423430173,46
Otu000483,14.842911794425119,0.0002867857873652604,-0.36118455843469066,3.345178475456043e-05,yes,0.08,128.0,0.0021406597424514827,47
Otu000408,11.584119067070205,0.0011904388291681671,-0.36858804865150724,2.2994403764623597e-05,yes,0.0,523.0,0.002356658770448811,47
Otu000441,16.408679690359822,0.00014881284948786415,-0.337916446324696,0.00010388323077359058,yes,0.134,55.0,0.002367325578566125,49
Otu000410,19.698073822963412,3.948362058844142e-05,-0.36647276573241677,2.5611923583626586e-05,yes,0.006,460.0,0.0035227937256958413,50
Otu000023,0.6236634778150442,0.4327991160319513,0.054468535166578534,0.5315573786883039,no,0.09,110.0,0.0019963132803789063,50
Otu000138,11.609711701664212,0.0011768123490917917,0.22474881015335804,0.009837633533389475,yes,0.046,213.0,0.0024366544074434227,52
Otu000785,10.547063743313808,0.001907385795141638,0.2617662612374405,0.0026412590187381104,yes,0.026,308.0,0.002094530207553224,52
Otu000582,1.003916941013448,0.3203883991006328,-0.10629296668429403,0.2221275051372753,no,0.148,40.0,0.0018536069742507266,54
Otu000319,1.3094005475821031,0.2570477549677428,0.026969857218402966,0.75672965263019,no,0.006,460.0,0.0017710735080546413,54
Otu000267,23.1446231466353,1.0511087851956702e-05,-0.34214701216287685,8.497027170160317e-05,yes,0.088,113.0,0.0014359221365262075,56
Otu000377,13.336841226745499,0.0005479859370656105,0.24167107350608147,0.005505669316548916,yes,0.104,89.0,0.0016685235518557322,57
Otu001440,9.986932276489064,0.0024706975717558597,0.13379164463246962,0.12435633227453566,no,0.056,186.0,0.0014846177247792177,58
Otu000076,6.8309622016076315,0.011308931110277781,-0.24167107350608147,0.005505669316548916,yes,0.008,442.0,0.0014094023972334856,59
Otu000133,24.079058270018017,7.421040097008514e-06,0.30830248545743,0.00039832711037230133,yes,0.096,98.0,0.0017423334918528388,60
Otu000574,4.385879174771417,0.040470075909577255,-0.24272871496562667,0.005303396447095224,yes,0.108,80.0,0.001583566961944676,61
Otu000040,1.1046386345574073,0.2974651304958543,0.04494976203067161,0.6056470249748174,no,0.02,340.0,0.0014914424162689706,62
Otu000556,11.783166255455995,0.0010886423620718418,0.19936541512427292,0.0220254425122031,yes,0.028,297.0,0.0015043672022542346,62
Otu000095,16.971065980908968,0.00011804488940970518,-0.31359069275515605,0.00031586282159383364,yes,0.076,139.0,0.0016590349186090772,64
Otu000123,0.10824209041508581,0.7433000901870191,-0.005817028027498679,0.9467290617311293,no,0.07,158.0,0.0011020153713580036,64
Otu000297,0.538360407949417,0.46597051221872343,-0.0597567424643046,0.49247903463002884,no,0.114,70.0,0.0012869423800490848,66
Otu000444,2.489718409659204,0.11985045920208032,0.15071390798519305,0.08343155716888288,no,0.038,247.0,0.0015584648998610252,67
Otu000090,4.547627234991059,0.03706605380897248,0.07667900581702804,0.37845755516525637,no,0.036,254.0,0.001386814788266512,68
Otu000273,17.822763092318535,8.344102623529711e-05,-0.3400317292437864,9.397843478136477e-05,yes,0.058,179.0,0.0014178876870283358,69
Otu000488,6.095762994814485,0.01641544382742396,0.11581173982020096,0.18344450831464842,no,0.034,267.0,0.0019003398067102897,70
Otu000216,11.483267828995817,0.0012457583428024833,-0.3114754098360656,0.00034671825485333883,yes,0.042,230.0,0.0013357813312994805,71
Otu000666,0.2478039569930385,0.620445280060367,0.11686938127974619,0.1794753846620406,no,0.036,254.0,0.0009223364161622146,71
Otu000106,17.586687508955517,9.182131203709018e-05,-0.28503437334743525,0.001060628512944695,yes,0.096,98.0,0.0012860556117479795,73
Otu001771,0.01385918092306506,0.9066787570029541,-0.09042834479111583,0.2989591754770423,no,0.006,460.0,0.001093534801979047,74
Otu000005,9.962614439397733,0.002498782546330575,0.22792173453199369,0.008846514526183548,yes,0.008,442.0,0.00111720608954544,75
Otu000786,1.995226063475811,0.16296168484358833,-0.13590692755156006,0.11851454488683463,no,0.002,497.0,0.0010981785781695526,76
Otu000217,6.451919172027815,0.013690445688844376,0.18984664198836596,0.029213358598129364,yes,0.01,423.0,0.0010916607499137957,77
Otu001636,2.698556978875331,0.10567030119516177,-0.20253833950290853,0.019998643486598668,yes,0.024,318.0,0.0007891283993083409,78
Otu000147,7.1071832355201225,0.009851377496747067,0.17398202009518773,0.045676246657190236,yes,0.046,213.0,0.0011532015605426485,79
Otu000650,12.386501103261065,0.0008319609272592642,0.27763088313061873,0.0014281876213309494,yes,0.136,52.0,0.000959926670146083,80
Otu000016,8.264418691890448,0.005586435274482754,0.1464833421470122,0.09246792327578955,no,0.014,388.0,0.0010577477074554737,81
Otu000479,23.42526433885831,9.463305287091084e-06,0.32416710735060816,0.000196548284700787,yes,0.082,122.0,0.0014162655434132056,82
Otu000151,3.3954407686386334,0.0703188711018607,0.09994711792702275,0.2509679622796229,no,0.042,230.0,0.0009360831709032737,83
Otu000633,24.66517437972187,5.978520482620722e-06,-0.35906927551560025,3.7186147876220024e-05,yes,0.074,144.0,0.0009831407504517858,84
Otu000140,16.85079583948379,0.00012401800684752381,-0.3178212585933369,0.00026170671672855417,yes,0.208,23.0,0.000928699497164338,85
Otu000159,5.838348657468793,0.01874017463988081,-0.22792173453199369,0.008846514526183548,yes,0.074,144.0,0.0007300291235639817,86
Otu001621,7.501925365358019,0.008102791630926727,0.10840824960338447,0.2130631061543815,no,0.056,186.0,0.001167577706043386,87
Otu000063,0.45996562328135954,0.5002473885462401,-0.1464833421470122,0.09246792327578955,no,0.058,179.0,0.0006283679733450366,88
Otu000378,23.737945048238753,8.422367714186437e-06,0.37281861448968806,1.8503152881191165e-05,yes,0.14,48.0,0.0015157550097359088,89
Otu000656,1.9855557746250234,0.16396813368372332,-0.09783183500793233,0.26113813937746155,no,0.108,80.0,0.0008215627234661405,90
Otu001185,9.496570815356588,0.003106714131236708,0.23109465891062933,0.007945576857488396,yes,0.062,169.0,0.0010019360329750252,91
Otu000317,10.488037962903151,0.001959836113929591,0.20148069804336333,0.020655374559544776,yes,0.058,179.0,0.0007495300879977985,92
Otu000590,10.304651171258987,0.0021326229697949434,0.2649391856160762,0.002341428559656852,yes,0.016,365.0,0.000703961964150167,93
Otu001552,0.1336887031685482,0.7159236315733841,-0.10523532522474882,0.2267618747979493,no,0.04,237.0,0.0007082951093198136,94
Otu000793,1.4192988242413107,0.2382102608840206,-0.11686938127974619,0.1794753846620406,no,0.028,297.0,0.0015877232134058519,95
Otu000262,0.2065514073072528,0.6511239070036794,0.03331570597567425,0.7019665725486033,no,0.058,179.0,0.0006125881401995277,96
Otu000743,4.142793102988234,0.04623606954604963,0.19619249074563724,0.024228626912034947,yes,0.004,480.0,0.000573921872732393,97
Otu000368,5.436425035382744,0.023096957114890952,-0.1538868323638287,0.07713485828481995,no,0.02,340.0,0.0006531619250911084,98
Otu000290,8.077811290340614,0.006114712215742342,-0.24061343204653624,0.005714879363194538,yes,0.016,365.0,0.0005438803965481595,99
Otu000036,2.636883672322408,0.10965081022609165,-0.09042834479111583,0.2989591754770423,no,0.002,497.0,0.0006251553983472134,100
Otu000010,3.7661510462766445,0.05700248071380495,0.13590692755156006,0.11851454488683463,no,0.032,280.0,0.0007733865715475596,101
Otu000428,1.3811390442785345,0.24454990980165944,-0.10840824960338447,0.2130631061543815,no,0.034,267.0,0.0005497357626602369,102
Otu000824,9.210437433645893,0.00355503282840888,-0.2956107879428874,0.0006852546912333614,yes,0.006,460.0,0.0005904383437648976,102
Otu000093,11.483564564747024,0.0012455917000542627,-0.19196192490745642,0.027461695953648335,yes,0.254,9.0,0.0006840502699619261,104
Otu002003,0.2656097001285672,0.6081858918413438,-0.1464833421470122,0.09246792327578955,no,0.086,116.0,0.00046985156211998936,105
Otu000451,14.717496631881929,0.00030248177170454755,-0.28291909042834484,0.0011555372292759779,yes,0.048,208.0,0.0007504196158476375,105
Otu000110,1.9558909903558876,0.16710115152492347,0.06081438392384982,0.48485242655453675,no,0.012,403.0,0.0003525352767518907,107
Otu000266,0.001753735079036617,0.9667353053958165,-0.01639344262295082,0.8506442012050557,no,0.036,254.0,0.00041610614351024846,107
Otu000094,20.555679409329926,2.823384836777149e-05,-0.31993654151242734,0.00023801764403355135,yes,0.046,213.0,0.0004494674555185896,109
Otu000294,4.086179248936935,0.047702759804795825,0.15811739820200954,0.06934729602735884,no,0.002,497.0,0.00046295966915105394,109
Otu000704,1.33249701784579,0.25293856524768676,0.09888947646747753,0.2560179684391073,no,0.04,237.0,0.00047157442121401765,111
Otu001086,12.857504630971885,0.0006758344781345643,0.13061872025383398,0.13353717534856532,no,0.274,7.0,0.0014590074697575128,112
Otu000041,0.0025817895739685135,0.9596446562372379,-0.04494976203067161,0.6056470249748174,no,0.042,230.0,0.00032991642584785744,113
Otu000137,3.5887406113895626,0.06299485038264077,-0.13061872025383398,0.13353717534856532,no,0.052,195.0,0.0005508504681286018,114
Otu002375,7.134141237907306,0.009720148448278385,-0.07985193019566368,0.35904499867739703,no,0.088,113.0,0.0005801138831157459,115
Otu000274,14.043356506544646,0.0004035885384747939,0.2808038075092544,0.001258242745778886,yes,0.12,68.0,0.0004859705289691701,116
Otu000770,2.431291316961906,0.12419439662661429,-0.12850343733474354,0.13994338928060063,no,0.028,297.0,0.0004420289929351149,116
Otu000541,0.17429860977843636,0.6778096119025501,-0.09465891062929668,0.27692163845046003,no,0.064,164.0,0.00033883438352976165,118
Otu000127,2.5535706813209886,0.1152988782975599,0.16763617133791645,0.054168845050179,no,0.006,460.0,0.0004444622570448,120
Otu000001,0.6702845541368124,0.41619234106623404,0.019566367001586465,0.8221807467648387,no,0.04,237.0,0.0005568633810839145,120
Otu000142,0.2781758442674477,0.599844285707961,0.01639344262295082,0.8506442012050557,no,0.008,442.0,0.0003546394488937189,120
Otu000899,9.945611809662507,0.002518617242657531,0.2205182443151772,0.011312576808486947,yes,0.046,213.0,0.0005974313414349872,122
Otu000623,1.8872660058601338,0.17462163665441746,-0.16552088841882603,0.05727744489654136,no,0.014,388.0,0.0003280468693959148,123
Otu000161,4.267433315012078,0.04317608687714098,0.11686938127974619,0.1794753846620406,no,0.016,365.0,0.000548986213756575,124
Otu000653,0.02779918387810888,0.8681424404356285,-0.006874669487043892,0.9370620025943025,no,0.02,340.0,0.00035559777157935795,125
Otu000291,4.8813491601123715,0.03097676526510041,-0.2501322051824432,0.004065417592931388,yes,0.02,340.0,0.00039070138406068454,126
