,f_regr_HNA,p-value_HNA,kendall_HNA,p_kendall_HNA,kendall significant HNA,f_regr_LNA,p-value_LNA,kendall_LNA,p_kendall_LNA,kendall significant LNA,f_regr_TCC,p-value_TCC,kendall_TCC,p_kendall_TCC,kendall significant TCC,RL score,RL ranking,Boruta score,Boruta ranking
Otu000005,3.646391552385908,0.060975379611879606,0.24801692226335273,0.004389213311198166,yes,62.37275423342828,7.32642763227622e-11,0.6012691697514544,4.976993610630929e-12,yes,34.79145741034707,1.8147004660679868e-07,0.5198307773664729,2.360606131982109e-09,yes,0.03,306.0,0.07505413386874951,1
Otu000012,6.328694163747225,0.014574632114928586,-0.2924378635642517,0.0007823434509542922,yes,0.555688223908922,0.45891312794953676,-0.18032786885245902,0.038334328812164295,yes,1.959509299589385,0.16671528226108767,-0.2131147540983607,0.014370949301152725,yes,0.076,129.0,0.06108905184697024,1
Otu000173,31.397544359229627,5.58553454091077e-07,0.5018508725542041,8.199569230972669e-09,yes,5.627942129847189,0.02089997224841848,0.20359598096245374,0.01936021236597907,yes,12.754878680167101,0.0007070355112899863,0.3040719196192491,0.0004783477806558996,yes,0.462,1.0,0.2580150091975148,1
Otu000244,31.051916490345153,6.278822277814538e-07,-0.4553146483342147,1.6970782527453153e-07,yes,19.862265605561692,3.701622955362646e-05,-0.40243257535695404,3.7936915027300353e-06,yes,28.66332627553483,1.42841995925738e-06,-0.46906398730830257,7.136085748112482e-08,yes,0.306,9.0,0.17106376588330025,1
Otu000187,12.535359021130413,0.0007789176667647874,0.35166578529878373,5.361909918788929e-05,yes,10.595769263648101,0.0018652106885653386,0.3178212585933369,0.00026170671672855417,yes,13.491350030136719,0.0005123650181992467,0.35272342675832896,5.090935359404269e-05,yes,0.122,66.0,0.07420910823744108,2
Otu000016,0.3645105057998674,0.5482877268296296,0.1538868323638287,0.07713485828481995,no,36.4338166650538,1.0695437305963974e-07,0.44791115811739823,2.678811964406272e-07,yes,17.655351915081525,8.929739193241185e-05,0.3791644632469593,1.3299608210855612e-05,yes,0.0,461.0,0.07900377321938135,2
Otu000313,9.60086047035329,0.0029583891711528094,0.24590163934426232,0.004736212845579131,yes,30.789741161008287,6.863754745141106e-07,0.3601269169751455,3.527206357468129e-05,yes,26.795490752752468,2.763046833412429e-06,0.36118455843469066,3.345178475456043e-05,yes,0.27,11.0,0.03309836898091866,4
Otu000517,17.160928086327914,0.0001092162645451531,-0.358011634056055,3.9198574783358984e-05,yes,7.493404260919097,0.008136866968230246,-0.3537810682178742,4.8329743821372684e-05,yes,12.00290944229875,0.000986728682640834,-0.3950290851401375,5.69684665076684e-06,yes,0.076,129.0,0.032553396915951285,4
Otu000060,20.306881673579003,3.1105551296598326e-05,0.34214701216287685,8.497027170160317e-05,yes,10.132703539072816,0.002309120138620747,0.24061343204653624,0.005714879363194538,yes,15.535343919818704,0.00021412018242836613,0.3008989952406135,0.0005479451489727805,yes,0.184,24.0,0.029043187041625906,5
Otu000521,16.314085116222888,0.00015475646473794483,-0.3326282390269699,0.0001331287941582677,yes,8.420046968637616,0.005182548242835659,-0.3326282390269699,0.0001331287941582677,yes,12.698891766183829,0.0007246859090918397,-0.38656795346377576,8.989461648011176e-06,yes,0.122,66.0,0.022277274756007336,6
Otu000041,3.3411794345585952,0.07253922505518308,-0.10417768376520362,0.23146479677371512,no,0.11726788090567997,0.7332135353013347,0.026969857218402966,0.75672965263019,no,0.7681263788846602,0.38429281572585494,-0.02273929138022211,0.7939494465711545,no,0.036,280.0,0.02749277533568755,8
Otu000293,16.46945149318212,0.00014511991750724602,-0.33051295610787945,0.00014687108894977392,yes,17.492891611616,9.538922233380056e-05,-0.40454785827604445,3.3733195915374475e-06,yes,21.035906130562644,2.3441895506587136e-05,-0.43733474352194607,5.080020560161458e-07,yes,0.214,19.0,0.02320868803064227,8
Otu000167,6.611023186285989,0.012631919494879428,-0.27763088313061873,0.0014281876213309494,yes,3.203952860399459,0.07850672451732967,0.09677419354838711,0.26632868390737796,no,0.18095565028462543,0.6720751517194044,-0.02273929138022211,0.7939494465711545,no,0.096,91.0,0.020948544784768368,9
Otu000271,8.430997863896955,0.005155307885620601,0.2744579587519831,0.0016190740891705681,yes,23.236208530589224,1.015654085805886e-05,0.4098360655737705,2.508798253444644e-06,yes,20.981042823953892,2.3943808743055768e-05,0.4066631411951349,2.997823411564666e-06,yes,0.098,86.0,0.023356144186212922,10
Otu000029,10.227769607003353,0.002209728892004297,0.2596509783183501,0.0028602220933594148,yes,51.71163804599987,1.1806067189021162e-09,0.49444738233738766,1.3527360124832898e-08,yes,39.67452949867473,3.8732071851559927e-08,0.4426229508196722,3.6955537359215833e-07,yes,0.346,3.0,0.027452939747556998,11
Otu000614,13.464260726094434,0.0005184315632885868,0.27868852459016397,0.0013693199873179155,yes,2.007320017902361,0.16171311689160237,0.07562136435748282,0.3850694042437577,no,5.142776784916081,0.026957234696944506,0.14436805922792176,0.09727219632180939,no,0.336,4.0,0.021588858476173325,12
Otu000412,16.376056027190796,0.00015083542694917617,-0.2966684294024326,0.0006554652469371023,yes,6.023908795460235,0.017031856536365027,-0.18667371760973034,0.032020800203324117,yes,10.284038277325196,0.002153016077621702,-0.2596509783183501,0.0028602220933594148,yes,0.312,6.0,0.017187281838463336,13
Otu000038,13.265339124217364,0.0005653335817505803,0.27974616604970914,0.0013126975605401493,yes,35.730886173138195,1.339542719045888e-07,0.48281332628239026,2.9288645519807673e-08,yes,32.953615675492614,3.317644683922469e-07,0.4584875727128504,1.3925463157593978e-07,yes,0.378,2.0,0.01678391703183977,14
Otu000175,6.843084043130626,0.01124040941605439,0.2903225806451613,0.0008540040513240268,yes,17.901602562466323,8.082254068170151e-05,0.3833950290851402,1.0641552155624381e-05,yes,16.312203978369084,0.00015487713086184308,0.3802221047065045,1.2581215932989553e-05,yes,0.108,77.0,0.01475782315925358,15
Otu000279,11.810751098675823,0.0010752681596401812,0.28397673188789,0.0011071428242544364,yes,15.741924498603314,0.0001963711954795442,0.3051295610787943,0.00045704449542703304,yes,17.48309714615997,9.57700030683797e-05,0.3167636171337917,0.00027436374867635297,yes,0.264,12.0,0.013012433903695471,17
Otu001267,19.81277500049666,3.7742646066139733e-05,0.28609201480698043,0.0010159278520640485,yes,21.214120455455664,2.188545648285939e-05,0.2289793759915389,0.008536542707004727,yes,25.71535375086804,4.075633373677534e-06,0.27657324167107356,0.0014893804588577083,yes,0.254,13.0,0.012503070180120557,17
Otu000030,6.452252099301284,0.013688135219294942,0.2120571126388155,0.014862726381484934,yes,40.318188615319,3.1787867470219925e-08,0.4299312533051296,7.883544134051072e-07,yes,29.256828461278705,1.161955821462279e-06,0.4098360655737705,2.508798253444644e-06,yes,0.074,138.0,0.012104248570060006,18
Otu000262,4.083592874384158,0.04777095737714444,-0.24167107350608147,0.005505669316548916,yes,0.11076979859122098,0.740429552333882,-0.03225806451612903,0.7109958307123839,no,0.19316127672966593,0.6618773671840599,-0.11158117398202011,0.1999720301936745,no,0.16,34.0,0.010186329949307276,19
Otu000058,19.471272812154794,4.3175639428512945e-05,-0.35060814383923855,5.646512564166528e-05,yes,16.26748620789809,0.0001577745211257498,-0.29138022210470654,0.000817445471520137,yes,21.155010345128343,2.2389462034518096e-05,-0.33685880486515074,0.00010919748085031175,yes,0.168,30.0,0.009035858074970345,21
