"Otu000001" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000023" "Otu000050" "Otu000071" "Otu000075" "Otu000077" "Otu000093" "Otu000227" "Otu000267" "Otu000304" "Otu000377" "Otu000387" "Otu000663" "Otu000763" "Otu000931" "Otu001183" "Otu001269" "Otu001311" "Otu001784" "Otu003259"
"Z14011F" 0.0606395927852163 0.00641805909040611 0.349784220427133 0.312493083988049 0.0720371804802479 0.0069713400464756 0.0458116631625539 0.0164877724908709 0.0136107115193095 0 0.0162664601084431 0.00199181144185017 0.0127254619895983 0.0395042602633617 0.0070819962376895 0.0116189000774593 0.0165984286820848 0 0.000221312382427797 0.000663937147283391 0.00254509239791966 0.00531149717826712 0.00121721810335288 0
"Z14012F" 0.224964036737855 0.0167090848732987 0.284939692375788 0.271328980856479 0.129799712293903 0.0151598981963041 0.0193648334624322 0.00188115525063627 0.0068606838552617 0.00475821622219763 0.00442624764855594 0 0.000553280956069492 0 0.0175943344030098 0.000995905720925086 0 0 0 0 0 0.000663937147283391 0 0
"Z14013F" 0.15668916675888 0.052340378444174 0.229611596768839 0.20748035852606 0.197521301316809 0.0205820515657851 0.103131570211353 0.00199181144185017 0.00531149717826712 0.00575412194312272 0.0100697134004648 0.00177049905942237 0 0 0.0066393714728339 0.000663937147283391 0.000110656191213898 0 0 0 0 0 0.000331968573641695 0
"Z14014F" 0.177049905942237 0.0300984840101804 0.203939360407215 0.324001327874295 0.152816200066394 0.0239017373022021 0.0670576518756224 0.00343034192763085 0.000995905720925086 0.00376231050127255 0.0073033086201173 0.00121721810335288 0.000221312382427797 0.000331968573641695 0.00287706097156136 0.000885249529711187 0 0 0 0 0 0 0.000110656191213898 0
"Z14016F" 0.21544760429346 0.0325329202168861 0.236804249197743 0.274095385636826 0.134889897089742 0.0187008963151488 0.0614141861237136 0.00287706097156136 0.00586477813433662 0.00331968573641695 0.0073033086201173 0.00121721810335288 0 0 0.00387296669248644 0.00165984286820848 0 0 0 0 0 0 0 0
"Z14017F" 0.160230164877725 0.104127475932278 0.211685293792188 0.255947770277747 0.146619453358415 0.0222418944339936 0.0254509239791966 0.0443731326767733 0.00531149717826712 0.0115082438862454 0.00929512006196747 0.000885249529711187 0.000221312382427797 0 0.000331968573641695 0.000995905720925086 0 0.000331968573641695 0.000221312382427797 0 0.000110656191213898 0 0.000110656191213898 0
"Z14018F" 0.116520969348235 0.185459776474494 0.206705765187562 0.222750912913578 0.141197299988934 0.0133893991368817 0.0352993249972336 0.0433772269558482 0.00188115525063627 0.00586477813433662 0.0201394268009295 0.00221312382427797 0.00188115525063627 0 0.00143853048578068 0.000331968573641695 0 0.000663937147283391 0.000885249529711187 0 0 0 0 0
"Z14019F" 0.132898085647892 0.00409427907491424 0.413300874183911 0.278632289476596 0.0855372358083435 0.00586477813433662 0.0289919220980414 0.00486887241341153 0.0135000553280956 0 0.00918446387075357 0.00143853048578068 0.00243443620670577 0.00110656191213898 0.00177049905942237 0.00387296669248644 0.00343034192763085 0 0 0.000110656191213898 0.000110656191213898 0.00796724576740069 0.000885249529711187 0
"Z14020F" 0.138209582826159 0.130021024676331 0.260705986499945 0.211242669027332 0.161447382981078 0.0122828372247427 0.0187008963151488 0.0389509793072922 0.00143853048578068 0.00331968573641695 0.0167090848732987 0.00177049905942237 0.00121721810335288 0.000221312382427797 0.00221312382427797 0.000774593338497289 0 0.000221312382427797 0.000553280956069492 0 0 0 0 0
"Z14021F" 0.151930950536683 0.0417173840876397 0.182582715502932 0.263472391280292 0.209250857585482 0.0183689277415071 0.0698240566559699 0.000110656191213898 0.000553280956069492 0.0367378554830143 0.0188115525063627 0.000331968573641695 0.00110656191213898 0 0.00409427907491424 0.000774593338497289 0 0.000110656191213898 0 0 0 0 0.000221312382427797 0
"Z14022F" 0.107779130242337 0.0417173840876397 0.206595108996348 0.28781675334735 0.190992586035189 0.0225738630076353 0.0791191767179374 0.000221312382427797 0.00177049905942237 0.0372911364390838 0.016377116299657 0.000110656191213898 0.00121721810335288 0 0.00564346575190882 0.000774593338497289 0 0 0 0 0 0 0 0
"Z14023F" 0.135443178045812 0.00907380767953967 0.265574858913356 0.230718158680978 0.0399468850282173 0.00154918667699458 0.00796724576740069 0.0717052119066062 0.00918446387075357 0 0.0188115525063627 0 0.00818855814982848 0.181033528825938 0.00320902954520305 0.00398362288370034 0.00763527719375899 0 0 0 0.000221312382427797 0.00442624764855594 0.00121721810335288 0.000110656191213898
"Z14024F" 0.122828372247427 0.021799269669138 0.196857364169525 0.237468186345026 0.18734093172513 0.0179263029766515 0.0636273099479916 0 0.00199181144185017 0.127143963704769 0.0173730220205821 0.000885249529711187 0.00121721810335288 0.000221312382427797 0.00210246763306407 0.000995905720925086 0.000110656191213898 0 0 0 0 0 0.000110656191213898 0
"Z14025F" 0.227730441518203 0.0499059422374682 0.204713953745712 0.381542547305522 0.0502379108111099 0.0067500276640478 0.0397255726457895 0 0.000331968573641695 0.0113975876950315 0.0177049905942237 0 0.00143853048578068 0 0.00752462100254509 0 0 0.000663937147283391 0 0.000221312382427797 0 0 0 0.000110656191213898
"Z14026F" 0.233373907270112 0.0455903507801261 0.163549850614142 0.403231160783446 0.0844306738962045 0.00309837335398916 0.0351886688060197 0 0.000885249529711187 0.00874183910589798 0.01305743056324 0 0.00132787429456678 0 0.00652871528162001 0.000331968573641695 0 0.000442624764855594 0 0 0 0 0.000110656191213898 0.000110656191213898
"Z14027F" 0.135221865663384 0.00110656191213898 0.342259599424588 0.240677215890229 0.265353546530928 0.000110656191213898 0.000553280956069492 0.00121721810335288 0.00243443620670577 0.00177049905942237 0.00365165431005865 0 0 0 0 0.000110656191213898 0.00188115525063627 0 0 0.000110656191213898 0.000331968573641695 0.00320902954520305 0 0
"Z14028F" 0.21400907380768 0.0535575965475268 0.263915016045148 0.293128250525617 0.109660285492973 0.00885249529711187 0.0285492973331858 0 0.00409427907491424 0.00597543432555051 0.00896315148832577 0 0.000553280956069492 0 0.00774593338497289 0 0 0.000663937147283391 0 0 0 0 0.000110656191213898 0.000221312382427797
"Z14029F" 0.133672678986389 0.0513444727232489 0.327652982184353 0.254841208365608 0.155029323890672 0.0107336505477481 0.0352993249972336 0.00177049905942237 0.00453690383976984 0.00575412194312272 0.0126148057983844 0.00154918667699458 0.000221312382427797 0 0.000774593338497289 0.000553280956069492 0 0.00331968573641695 0 0 0 0.000221312382427797 0 0.000110656191213898
"Z14030F" 0.145402235255063 0.15469735531703 0.244992807347571 0.261369923647228 0.119619342702224 0.00442624764855594 0.0285492973331858 0.000221312382427797 0.00387296669248644 0.00298771716277526 0.0129467743720261 0.00154918667699458 0.000221312382427797 0 0 0 0 0.0189222086975766 0.000221312382427797 0 0 0 0 0
"Z14031F" 0.0911807015602523 0.00110656191213898 0.478809339382538 0.270333075135554 0.102688945446498 0.0071926524289034 0.0121721810335288 0.00221312382427797 0.00442624764855594 0.000221312382427797 0.00586477813433662 0.00165984286820848 0.00564346575190882 0.00121721810335288 0.000442624764855594 0.00343034192763085 0.00177049905942237 0.000110656191213898 0 0.000221312382427797 0.000221312382427797 0.00752462100254509 0.00154918667699458 0
"Z14032F" 0.145844860019918 0.0951643244439526 0.299435653424809 0.28726347239128 0.0868651101029103 0.00232378001549187 0.0366271992918004 0.000663937147283391 0.00464756003098373 0.00752462100254509 0.0148279296226624 0.00121721810335288 0.000774593338497289 0 0.000331968573641695 0 0 0.0159344915348014 0.000442624764855594 0 0.000110656191213898 0 0 0
"Z14033F" 0.164545756335067 0.204713953745712 0.124820183689277 0.365829368153148 0.0772380214673011 0.00509018479583933 0.0459223193537678 0.000110656191213898 0.000110656191213898 0.00309837335398916 0.00475821622219763 0 0.00199181144185017 0 0.000885249529711187 0 0.000110656191213898 0 0 0 0 0 0 0.000774593338497289
"Z14034F" 0.133562022795175 0.20095164324444 0.150381763859688 0.319464424034525 0.110545535022685 0.00763527719375899 0.0615248423149275 0 0.000442624764855594 0.00774593338497289 0.00586477813433662 0.000110656191213898 0.000774593338497289 0 0.000442624764855594 0.000442624764855594 0 0 0 0 0 0 0 0.000110656191213898
"Z14035F" 0.156467854376452 0.126811995131128 0.142414518092287 0.410866437977205 0.0798937700564347 0.0256722363616244 0.0364058869093726 0 0.00885249529711187 0.00497952860462543 0.00442624764855594 0.000110656191213898 0.000221312382427797 0 0.00287706097156136 0 0 0 0 0 0 0 0 0
"Z14036F" 0.108885692154476 0.215115635719819 0.173176939249751 0.282283943786655 0.11154144074361 0.0106229943565342 0.0750248976430231 0 0.000331968573641695 0.00752462100254509 0.0131680867544539 0.000221312382427797 0.000221312382427797 0 0.000774593338497289 0.000663937147283391 0 0 0 0 0 0 0.000331968573641695 0.000110656191213898
"Z14037F" 0.170189222086976 0.169303972557265 0.11751687506916 0.281951975213013 0.148389952417838 0.0107336505477481 0.0597543432555051 0 0.00177049905942237 0.0143853048578068 0.0230164877724909 0.00154918667699458 0.00110656191213898 0 0 0.000110656191213898 0 0 0.000221312382427797 0 0 0 0 0
"Z14038F" 0.180037623105013 0.171406440190329 0.119729998893438 0.281730662830585 0.155250636273099 0.00918446387075357 0.0489100365165431 0 0.00154918667699458 0.00874183910589797 0.0199181144185017 0.000663937147283391 0.000663937147283391 0 0 0.000885249529711187 0 0.000110656191213898 0.000110656191213898 0.000110656191213898 0 0 0 0.000995905720925086
"Z14039F" 0.205045922319354 0.0360739183357309 0.249972335952197 0.164877724908709 0.249640367378555 0.037069824056656 0.0192541772712183 0.000110656191213898 0.0160451477260153 0.00121721810335288 0.0125041496071705 0.000110656191213898 0.00597543432555051 0.000110656191213898 0 0.000221312382427797 0 0 0 0.000331968573641695 0 0 0.00121721810335288 0.000221312382427797
"Z14040F" 0.159898196304083 0.165984286820848 0.134779240898528 0.274869978975324 0.157131791523736 0.0109549629301759 0.0579838441960828 0 0.00188115525063627 0.0138320239017373 0.0183689277415071 0.000995905720925086 0.00188115525063627 0 0 0.00121721810335288 0 0 0.000110656191213898 0 0 0 0.000110656191213898 0
"Z14041F" 0.186234369812991 0.0966028549297333 0.125594777027775 0.258382206484453 0.156799822950094 0.00287706097156136 0.149828482903618 0 0.00354099811884475 0.00409427907491424 0.014163992475379 0.000110656191213898 0.000553280956069492 0 0.000110656191213898 0.000885249529711187 0 0.000110656191213898 0.000110656191213898 0 0 0 0 0
"Z14042F" 0.120836560805577 0.115635719818524 0.127807900852053 0.292132344804692 0.177381874515879 0.00110656191213898 0.140644019032865 0.000221312382427797 0.00132787429456678 0.00387296669248644 0.0148279296226624 0.000331968573641695 0.000553280956069492 0 0.000774593338497289 0.000663937147283391 0 0.00110656191213898 0.000331968573641695 0 0 0 0 0.000442624764855594
"Z14043F" 0.186345026004205 0.0225738630076353 0.33296447936262 0.20947216996791 0.169193316366051 0.00553280956069492 0.0121721810335288 0.000221312382427797 0.0153812105787319 0 0.0253402677879827 0.00132787429456678 0.0116189000774593 0.00066393714728339 0.00320902954520305 0.000553280956069492 0 0 0 0.000331968573641695 0 0.000774593338497289 0.00221312382427797 0.000110656191213898
"Z14044F" 0.151820294345469 0.092619232046033 0.136881708531592 0.330308730773487 0.156799822950094 0.00199181144185017 0.111762753126037 0.000221312382427797 0.000885249529711187 0.00619674670797831 0.00918446387075357 0.000110656191213898 0.000442624764855594 0 0 0.000442624764855594 0 0.000221312382427797 0.000110656191213898 0 0 0 0 0
"Z14045F" 0.238464092065951 0.000442624764855594 0.16067278964258 0.299546309616023 0.0721478366714618 0.00453690383976984 0.0722584928626757 0 0.00486887241341153 0.133672678986389 0.010844306738962 0.00188115525063627 0.000110656191213898 0 0.000110656191213898 0.000331968573641695 0 0 0 0 0 0 0.000110656191213898 0
"Z14046F" 0.173951532588248 0.00132787429456678 0.163992475378997 0.356202279517539 0.071926524289034 0.00409427907491424 0.0586477813433662 0 0.00420493526612814 0.147504702888127 0.0144959610490207 0.00143853048578068 0.000221312382427797 0 0.000110656191213898 0.00143853048578068 0 0 0 0.000110656191213898 0 0 0 0.000331968573641695
"Z14047F" 0.149385858138763 0.00575412194312272 0.356534248091181 0.306296337280071 0.134668584707314 0.00398362288370034 0.00376231050127255 0.00630740289919221 0.00973774482682306 0.00221312382427797 0.00896315148832577 0.000663937147283391 0.00309837335398916 0.00177049905942237 0 0.000995905720925086 0.00110656191213898 0 0 0.000110656191213898 0.000774593338497289 0.00276640478034746 0.00110656191213898 0
"Z14048F" 0.28925528383313 0.000885249529711187 0.189222086975766 0.292464313378334 0.0910700453690384 0.00376231050127255 0.0430452583822065 0 0.00431559145734204 0.0718158680978201 0.0120615248423149 0.000663937147283391 0.000331968573641695 0 0 0.000885249529711187 0 0 0 0.000221312382427797 0 0 0 0
"Z14050F" 0.176164656412526 0.0171517096381543 0.216996790970455 0.205267234701782 0.273431448489543 0.0341927630850946 0.0377337612039394 0.00564346575190882 0.00243443620670577 0.0190328648887905 0.00818855814982848 0.000995905720925086 0.00121721810335288 0 0 0.000221312382427797 0 0 0.00110656191213898 0 0 0 0.000110656191213898 0.000110656191213898
"Z14053F" 0.323890671683081 0.0634059975655638 0.112316034082107 0.315812769724466 0.105123381653203 0.00741396481133119 0.0319796392608166 0 0.00586477813433662 0.016377116299657 0.00984840101803696 0 0.00265574858913356 0 0.00497952860462543 0.000110656191213898 0 0 0 0 0 0 0.000221312382427797 0
"Z14055F" 0.0725904614363174 0.0345247316587363 0.239902622551732 0.217328759544097 0.0804470510125041 0.000553280956069492 0.000553280956069492 0.0720371804802479 0.0196968020360739 0 0.016377116299657 0 0.00829921434104238 0.211795949983402 0.00265574858913356 0.00796724576740069 0.00995905720925086 0 0 0.00154918667699458 0.00143853048578068 0.00165984286820848 0.000663937147283391 0
"Z14057F" 0.18081221644351 0.114418501715171 0.173508907823393 0.266128139869426 0.170189222086976 0.0068606838552617 0.0459223193537678 0.0153812105787319 0.00165984286820848 0.00298771716277526 0.0156025229611597 0.000995905720925086 0.00221312382427797 0 0.00276640478034746 0 0 0.000331968573641695 0.000221312382427797 0 0 0 0 0
"Z14059F" 0.125262808454133 0.119729998893438 0.0744716166869536 0.426247648555937 0.162332632510789 0.00365165431005865 0.0526723470178156 0.00741396481133119 0.00154918667699458 0.000663937147283391 0.0162664601084431 0 0.00431559145734204 0.00110656191213898 0.00331968573641695 0 0 0.000553280956069492 0 0 0 0 0.000442624764855594 0
"Z14061F" 0.128471837999336 0.0426026336173509 0.102246320681642 0.390505698793847 0.221423038619011 0.0173730220205821 0.0580945003872967 0.00177049905942237 0.00287706097156136 0.00918446387075357 0.0215779572867102 0 0.00243443620670576 0.000221312382427797 0 0.000331968573641695 0.000221312382427797 0 0.000331968573641695 0 0 0 0.000331968573641695 0
"Z14063F" 0.223304193869647 0.0463649441186234 0.114639814097599 0.342148943233374 0.169525284939692 0.0247869868319132 0.0387296669248644 0.00232378001549187 0.00132787429456678 0.00420493526612814 0.0252296115967688 0.000110656191213898 0.00464756003098373 0.000774593338497289 0 0.000553280956069492 0 0 0.000110656191213898 0 0 0 0.00121721810335288 0
"Z15065F" 0.100143853048578 0.000774593338497289 0.297886466747815 0.186455682195419 0.0422706650437092 0.0474715060307624 0.118291468407657 0.00154918667699458 0.00265574858913356 0.0215779572867102 0.172513002102468 0 0.00497952860462543 0.000442624764855594 0 0.000442624764855594 0 0 0 0.000110656191213898 0 0.000110656191213898 0.00232378001549187 0
"Z15067F" 0.0707093061856811 0.000995905720925086 0.351997344251411 0.175832687838885 0.0478034746044041 0.0516764412968906 0.0948323558703109 0.00177049905942237 0.00132787429456678 0.0282173287595441 0.16377116299657 0.000110656191213898 0.00453690383976984 0.000553280956069492 0 0.00154918667699458 0 0 0 0.000221312382427797 0 0 0.00409427907491424 0
"Z15069F" 0.206152484231493 0.131348898970897 0.159898196304083 0.227287816753347 0.0945003872966692 0.00509018479583933 0.0460329755449817 0 0.00586477813433662 0.0333075135553834 0.0819962376894987 0 0.00409427907491424 0 0.00265574858913356 0.000663937147283391 0.000110656191213898 0 0 0.000442624764855594 0 0 0.000553280956069492 0
"Z15071F" 0.263583047471506 0.0722584928626757 0.150049795286046 0.198738519420162 0.177713843089521 0.0131680867544539 0.0842093615137767 0.000553280956069492 0.011950868651101 0.0146066172402346 0.00818855814982848 0.000221312382427797 0.00320902954520305 0.000331968573641695 0.000221312382427797 0.000221312382427797 0 0 0 0.000442624764855594 0 0 0.000331968573641695 0
"Z15073F" 0.318800486887241 0.0208033639482129 0.272878167533473 0.207037733761204 0.0878610158238353 0.0181476153590793 0.0299878278189665 0.00553280956069492 0.00387296669248644 0.00785658957618679 0.0201394268009295 0.000110656191213898 0.00509018479583933 0.000221312382427797 0.000110656191213898 0 0 0 0 0.000331968573641695 0 0 0.00121721810335288 0
"Z15075F" 0.246541994024566 0.0278853601859024 0.314263583047471 0.236582936815315 0.104570100697134 0.0144959610490207 0.022905831581277 0.0110656191213898 0.00497952860462543 0.00520084098705323 0.00531149717826712 0.000663937147283391 0.00398362288370034 0.000110656191213898 0 0.000221312382427797 0 0 0 0.000110656191213898 0 0 0.00110656191213898 0
"Z15077F" 0.410534469403563 0.00796724576740069 0.191988491756114 0.243443620670577 0.053336284165099 0.00630740289919221 0.058869093725794 0.000221312382427797 0.00165984286820848 0.0100697134004648 0.0127254619895983 0.000110656191213898 0.00154918667699458 0 0 0 0 0 0 0.000331968573641695 0 0 0.000885249529711187 0
"Z15079F" 0.477370808896758 0.00796724576740069 0.169193316366051 0.208586920438199 0.0572092508575855 0.00619674670797831 0.055549407989377 0.000331968573641695 0.00188115525063627 0.00608609051676441 0.00387296669248644 0.000774593338497289 0.00354099811884475 0.000331968573641695 0 0 0 0 0 0 0 0 0.00110656191213898 0
