"Otu000001" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000023" "Otu000050" "Otu000071" "Otu000075" "Otu000077" "Otu000093" "Otu000227" "Otu000267" "Otu000304" "Otu000377" "Otu000387" "Otu000663" "Otu000763" "Otu000931" "Otu001183" "Otu001269" "Otu001311" "Otu001784" "Otu003259"
"Z14001F" 0.273874073254399 0.0606395927852163 0.214230386190107 0.208586920438199 0.15469735531703 0.0178156467854376 0.0129467743720261 0 0.00132787429456678 0.0221312382427797 0.00453690383976984 0.000331968573641695 0.000221312382427797 0 0.0268894544649773 0.000774593338497289 0 0.000995905720925086 0 0 0 0 0 0
"Z14002F" 0.17826712404559 0.0767953967024455 0.220648445280513 0.307181586809782 0.145291579063849 0.0165984286820848 0.0230164877724909 0 0 0.0102910257828926 0.00376231050127255 0.000221312382427797 0.00177049905942237 0.000553280956069492 0.0125041496071705 0.00143853048578068 0 0.00165984286820848 0 0 0 0 0 0
"Z14003F" 0.0970454796945889 0.0140533362841651 0.337169414628748 0.280513444727232 0.0689388071262587 0.00442624764855594 0.020692707756999 0.0543321898860241 0.016377116299657 0 0.0104016819741065 0.000110656191213898 0.0212459887130685 0.0492420050901848 0.00663937147283391 0.00852052672347018 0.00143853048578068 0 0 0 0.00121721810335288 0.00287706097156136 0.00475821622219763 0
"Z14004F" 0.0793404891003652 0.114418501715171 0.179705654531371 0.343476817527941 0.0867544539116964 0.00973774482682306 0.0131680867544539 0.00254509239791966 0.000331968573641695 0.112426690273321 0.0113975876950315 0.000110656191213898 0.00497952860462543 0.000885249529711187 0.0333075135553834 0.00143853048578068 0 0.00431559145734204 0 0.000995905720925086 0 0.000331968573641695 0.000331968573641695 0
"Z14005F" 0.188336837446055 0.0593117184906496 0.254730552174394 0.232599313931614 0.133230054221534 0.0196968020360739 0.049020692707757 0.0277747039946885 0.00475821622219763 0.00741396481133119 0.0169303972557265 0 0 0 0.00110656191213898 0.00265574858913356 0.000110656191213898 0 0.00232378001549187 0 0 0 0 0
"Z14006F" 0.184021245988713 0.0496846298550404 0.262365829368153 0.257386300763528 0.126480026557486 0.0175943344030099 0.0459223193537678 0.0226845191988492 0.00199181144185017 0.00608609051676441 0.0214673010954963 0 0.000110656191213898 0 0.000553280956069492 0.00121721810335288 0 0.000110656191213898 0.00232378001549187 0 0 0 0 0
"Z14007F" 0.059864999446719 0.0509018479583933 0.346353878499502 0.276640478034746 0.082770831027996 0.00188115525063627 0.0282173287595441 0.0596436870642912 0.0514551289144628 0.000553280956069492 0.0136107115193095 0.000663937147283391 0.00320902954520305 0.00962708863560916 0.00165984286820848 0.00420493526612814 0.00254509239791966 0 0 0.000331968573641695 0.00121721810335288 0.00376231050127255 0.000885249529711187 0
"Z14008F" 0.169967909704548 0.0785658957618679 0.262033860794511 0.258382206484453 0.122717716056213 0.0216886134779241 0.0310943897311055 0.0181476153590793 0.00896315148832577 0.00818855814982848 0.0159344915348014 0.000221312382427797 0 0 0.00110656191213898 0.00154918667699458 0 0 0.00143853048578068 0 0 0 0 0
"Z14009F" 0.284718379993361 0.00553280956069492 0.291911032422264 0.234148500608609 0.109549629301759 0.00995905720925086 0.0343034192763085 0.000110656191213898 0.00520084098705323 0.000663937147283391 0.00663937147283391 0.000110656191213898 0.00143853048578068 0 0.014163992475379 0.00110656191213898 0 0 0.000110656191213898 0.000221312382427797 0 0 0.000110656191213898 0
"Z14010F" 0.285382317140644 0.0310943897311055 0.263361735089078 0.221201726236583 0.118291468407657 0.0133893991368817 0.038176385968795 0.000221312382427797 0.00520084098705323 0.00354099811884475 0.00442624764855594 0.000110656191213898 0.000663937147283391 0.000110656191213898 0.0139426800929512 0.000663937147283391 0 0 0 0 0 0 0.000221312382427797 0
