"Samples"	"Total.cells"	"HNA.cells"	"LNA.cells"	"sd.Total.cells"	"sd.HNA.cells"	"sd.LNA.cells"
"110D2F115"	621950.028568567	153177.244390186	468772.784178381	1591.72147443606	4455.95594264655	4957.66440404141
"110D2F415"	801348.922859578	176905.925913352	624442.996946227	9297.29670898131	4867.29437940896	4495.53543485876
"110D2F515"	1273340.09614904	411070.096002159	862349.806090388	15574.0554987162	11516.3688882648	4784.0739717651
"110D2F715"	544254.079296431	148567.686487912	395713.021968301	6039.93667949569	2107.43797292891	4453.61086041412
"110D2F815"	549931.194898388	147419.273364071	402525.227723025	3575.34287752168	4150.33932633987	1993.19831987389
"110D2F915"	737447.307983849	212608.851095635	524838.456888213	34903.3522526377	6740.95745372072	28619.5729217674
"110M2F115"	2046844.60562179	593020.52780261	1453890.53845787	81121.8433997329	34953.0112951789	46140.3083146402
"110M2F415"	1163874.68984235	357686.149306235	806201.862945074	3965.4182173222	1273.15908589775	2688.62188655938
"110M2F515"	1245942.6284288	389610.746055912	856358.519217882	62723.0039850257	28144.5041800243	34640.8891760715
"110M2F715"	1072075.61160812	362123.886503685	709991.693928752	56610.9418416011	21177.3434429489	35556.2806636413
"110S2F415"	1071357.16405242	324285.060877681	747098.714776428	36523.4742460063	16095.7577309811	20768.5106585343
"110S2F515"	986210.808207475	292253.73418691	693970.401489812	6067.38993452139	4279.66779342196	8356.89505813833
"110S2F715"	1146952.36988089	333214.310606032	813777.96569687	16132.4506233887	8963.51810946162	7710.90003735706
"110S2F115"	1974906.8949897	576546.684948208	1398426.67730636	286733.925398919	88274.8693004326	198640.219193373
"110S2F915"	1982840.51575088	971433.959912118	1011406.55583876	1184159.29210781	1139781.09088795	46918.8902750134
"M45D2F115"	1655863.36650778	414381.353171517	1241548.49518339	26968.9412473035	3168.19310515279	25078.6411650274
"M45D2F415"	1133733.10628443	341472.546066564	792287.209829646	11342.1626976722	7776.20766256792	4769.77313732127
"M45D2F515"	1704285.04290952	713485.663746089	990866.019440574	25458.8620125937	14282.4582374049	14914.2548623741
"M45D2F715"	660934.67265662	122954.978684443	538006.347313239	21018.4715217593	4472.6124896946	16611.0162181735
"M45D2F815"	779293.851289773	225672.271071692	553634.907687327	9119.87644922197	4913.22914461283	5296.45616743541
"M45D2F915"	1144160.79205198	283065.394847164	861095.397204812	10000.6876648997	5728.66121555709	4534.80707090602
"M45S2F415"	1241138.94675972	338020.845886034	903131.42727729	4925.81541412703	1315.91289009259	5018.13340374293
"M45S2F515"	2194446.91515387	1081860.03176006	1112719.82460033	6640.33432698576	6085.15722757307	5816.46879882491
"M45S2F715"	1095077.78117527	296206.009386379	798885.101922988	39640.3315870282	10759.5954649205	29145.5650499203
"M45S2F815"	1925128.09396971	592011.73546117	1333249.30631874	109300.104702469	41226.9222133855	69117.9319822541
"M45S2F915"	1265646.0301379	302018.022020444	963694.520475449	33420.619713784	3235.75027568316	30749.140198061
"MBRE1F714"	10142014.3509865	3110959.0771206	7031586.92456873	53908.7898206213	43103.5019534292	39986.917412078
"MBRE1F715"	7452866.48950561	1576037.10106965	5876962.6018772	65005.0502016787	45197.6448141461	30869.3947259401
"MBRE1F914"	7225270.25068139	2161488.77766361	5063981.32251785	63253.0453439697	39803.3267058722	52823.3405346885
"MBRE2F515"	4376786.18121061	2004084.78290143	2373033.98483128	96242.0139569809	72152.4555645658	31350.5510918287
"MBRE2F915"	4906068.69183207	1404112.36441317	3501956.3274189	21473.3294120128	19739.231472694	19305.4859659467
"MBRH1F714"	2695501.35144924	869931.051239586	1825570.30020965	28729.1669696081	11248.2549304033	19200.7677581722
"MBRH1F914"	3493035.74788112	1100544.18365243	2392491.56422868	21671.2923430981	14242.169975038	9901.45243924851
