Samples,Total.cells,HNA.cells,LNA.cells
Z14-17-1_rep3.fcs,8683.470035323,2571.39436029456,6078.74832864356
Z14-18-1_rep1.fcs,8423.53737973347,2723.45172406924,5660.24581183642
Z14-18-1_rep2.fcs,8186.79452602138,2599.94006592748,5547.49775247228
Z14-18-1_rep3.fcs,8277.08774312073,2612.12508486761,5622.22932225728
Z14-19-1_rep1.fcs,4878.31637741871,2414.32276082186,2445.8408138839
Z14-19-1_rep2.fcs,4906.21067140774,2466.68930661819,2422.7411654248
Z14-19-1_rep3.fcs,4753.62376712055,2350.55704188795,2386.09591502616
Z14-2-1_rep1.fcs,8743.05694305694,2151.04895104895,6540.25974025974
Z14-2-1_rep2.fcs,8608.92860712929,2161.17875207421,6399.16831603991
Z14-2-1_rep3.fcs,8880.1630597686,2228.88316048199,6597.92578382591
Z14-20-1_rep1.fcs,8667.95674899254,2853.40940829111,5763.47604037825
Z14-20-1_rep2.fcs,8319.87559064537,2722.85025021433,5543.5931176107
Z14-20-1_rep3.fcs,8313.10413552566,2649.725959143,5613.15396113602
Z14-21-1_rep1.fcs,5803.55180886554,1917.7370702571,3854.05221838231
Z14-21-1_rep2.fcs,5834.23315336933,1917.01659668066,3889.82203559288
Z14-21-1_rep3.fcs,5937.17570048695,1963.35914424842,3943.28250977888
Z14-22-1_rep1.fcs,5409.34504792332,1651.7571884984,3724.64057507987
Z14-22-1_rep2.fcs,5590.57637694492,1701.93192272309,3858.44566217351
Z14-22-1_rep3.fcs,5531.13845294833,1710.77033521447,3791.2537140806
Z14-23-1_rep1.fcs,7831.73009619423,4311.54130752155,3416.59500429974
Z14-23-1_rep2.fcs,8134.90086679287,4474.04602969015,3561.82126133307
Z14-23-1_rep3.fcs,8202.73284997211,4490.87722093857,3616.64409210421
Z14-24-1_rep1.fcs,5227.25455708347,1937.9597057883,3257.71506236009
Z14-24-1_rep2.fcs,5273.33759590793,1944.73305626598,3298.8331202046
Z14-24-1_rep3.fcs,5422.59146828567,1998.32241572136,3396.50902700112
Z14-25-1_rep1.fcs,4792.10641602613,933.330678242861,3819.54677605639
Z14-25-1_rep2.fcs,4907.92393977566,955.951452622318,3915.18205266631
Z14-25-1_rep3.fcs,4744.58822589664,939.571850786804,3770.46888729132
Z14-26-1_rep1.fcs,4695.40712315625,962.945197265859,3711.67606027901
Z14-26-1_rep2.fcs,4359.42989460236,875.718620249122,3455.16608112424
Z14-26-1_rep3.fcs,4458.89345406678,878.974031672584,3549.40364593721
Z14-27-1_rep1.fcs,3608.93542199488,1177.46962915601,2413.88267263427
Z14-27-1_rep2.fcs,3428.61140538488,1086.76967358932,2314.05784644906
Z14-27-1_rep3.fcs,3619.62086066229,1157.61478163494,2439.60966245401
Z14-28-1_rep1.fcs,3926.33134912708,794.015420878111,3101.95357756382
Z14-28-1_rep2.fcs,4080.23151382098,829.258557030237,3223.43079532981
Z14-28-1_rep3.fcs,4114.10991469724,849.831192440618,3221.72723095671
Z14-29-1_rep1.fcs,7761.05380986647,3219.59702566563,4517.86999280403
Z14-29-1_rep2.fcs,8244.95251775596,3444.85675524699,4773.56156731306
Z14-29-1_rep3.fcs,8141.45884416801,3385.76241452864,4732.77116599884
Z14-3-1_rep1.fcs,11351.2759170654,6126.59489633174,5094.4976076555
Z14-3-1_rep2.fcs,11481.0457255668,6228.08941711369,5151.25530939039
Z14-3-1_rep3.fcs,11897.648630861,6575.25777307991,5267.54552162901
Z14-30-1_rep1.fcs,5790.67914758016,2435.3714399522,3321.44991037642
Z14-30-1_rep2.fcs,5972.34674157751,2540.59330982408,3403.66186520033
Z14-30-1_rep3.fcs,6001.83713407085,2542.23411478094,3429.05068093774
Z14-31-1_rep1.fcs,5024.29757024298,2601.3398660134,2408.75912408759
Z14-31-1_rep2.fcs,5109.38405290392,2636.20562204064,2448.80426747648
Z14-31-1_rep3.fcs,4989.84346994862,2580.95351893894,2391.76325327598
Z14-32-1_rep1.fcs,5899.4772337284,2450.81607406521,3408.35627918113
Z14-32-1_rep2.fcs,5918.69788646498,2522.44506208634,3358.26118253984
Z14-32-1_rep3.fcs,5985.85781914787,2545.99205001698,3405.10956195194
Z14-33-1_rep1.fcs,5013.48516631705,1746.47887323944,3207.47178104085
Z14-33-1_rep2.fcs,5169.07056077563,1773.89430845652,3344.10597083408
Z14-33-1_rep3.fcs,5246.4844998402,1792.90508149569,3393.45637583893
Z14-34-1_rep1.fcs,5232.90841263191,1831.54786841423,3348.4948231492
Z14-34-1_rep2.fcs,5435.04338438162,1847.73481546643,3541.72497900756
Z14-34-1_rep3.fcs,5584.55573763939,1934.72960549982,3606.85878732164
Z14-35-1_rep1.fcs,4122.43594859925,1128.98076462607,2961.13017798707
Z14-35-1_rep2.fcs,4016.6607022148,1079.56578790409,2908.06791522526
Z14-35-1_rep3.fcs,4042.33730577164,1098.02439169966,2910.09291128663
Z14-36-1_rep1.fcs,5482.73178907045,1953.47259631691,3473.19486841843
Z14-36-1_rep2.fcs,5558.50532955407,1976.52600902232,3526.68769212344
Z14-36-1_rep3.fcs,5487.41729796718,1937.67614783426,3491.77477063303
Z14-37-1_rep1.fcs,4781.47410358566,1214.54183266932,3537.64940239044
Z14-37-1_rep2.fcs,5274.81738713926,1281.68283239532,3961.00267433042
Z14-37-1_rep3.fcs,5231.32597568778,1295.58541266795,3905.55022392834
Z14-38-1_rep1.fcs,5496.54594098151,1375.83356626602,4077.58655113205
Z14-38-1_rep2.fcs,5501.67624521073,1349.77650063857,4113.9846743295
Z14-38-1_rep3.fcs,5607.38697685574,1380.4612863253,4185.75368749251
Z14-39-1_rep1.fcs,5311.10491071429,1269.73054846939,4008.49011479592
Z14-39-1_rep2.fcs,5211.65288926161,1253.94353260653,3926.760113414
Z14-39-1_rep3.fcs,5078.22021538031,1198.77724720785,3847.27577870572
Z14-4-1_rep1.fcs,8408.25055463394,2229.92824735674,6130.15409829512
Z14-4-1_rep2.fcs,8666.46670665867,2269.74605078984,6352.72945410918
