"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"110D2F115" 198 0.610365474662628 0.610083598020757 0.00638823237923248 517 0.0441243563378923 0.517 999
"110D2F415" 147 0.521446221969015 0.525154100346504 0.01472924827199 489 -0.25173575114078 0.489 999
"110D2F515" 181 0.697799885447649 0.695822122273328 0.00733743691410749 608.5 0.269544147019428 0.6085 999
"110D2F715" 191 0.675100960958831 0.673311399127355 0.004808428335665 679 0.372171883732336 0.679 999
"110D2F815" 229 0.715605303086428 0.71400078982074 0.00858481371930539 581 0.186901349074111 0.581 999
"110D2F915" 219 0.661364278082779 0.660999210328656 0.00712963744076514 536 0.0512042522716858 0.536 999
"110M2F115" 209 0.61781371108442 0.617311034372614 0.00685112565691436 594 0.0733714044929002 0.594 999
"110M2F415" 181 0.641697414913118 0.641202507098598 0.0139520394283889 588.5 0.0354720768286619 0.5885 999
"110M2F515" 188 0.673248242014415 0.673223953302371 0.0202760131653132 578 0.00119790374202485 0.578 999
"110M2F715" 184 0.740375080087563 0.736520251912757 0.0088924941051948 713.5 0.433492350875238 0.7135 999
"110S2F115" 213 0.662154171981994 0.660538331444273 0.00746479830781468 674 0.216461379275191 0.674 999
"110S2F415" 182 0.608181301341054 0.609676931429081 0.0117523950454621 545 -0.127261726843079 0.545 999
"110S2F515" 171 0.635794895607597 0.635744714823836 0.00708531018921641 549 0.00708236935584093 0.549 999
"110S2F715" 178 0.781399497264089 0.775109109394863 0.0157295698449547 817.5 0.399908448306583 0.8175 999
"110S2F915" 192 0.754411457086057 0.749344964346875 0.0113789156787619 778 0.445252683314817 0.778 999
"Fa13.BD.MLB.DN.1" 414 0.631210485881893 0.636197679742629 0.0135343410149222 210.5 -0.368484424563976 0.2105 999
"Fa13.BD.MLB.SN.1" 357 0.608220207174878 0.611842881175655 0.0107144146939889 245 -0.338112169842483 0.245 999
"Fa13.BD.MM110.DN.1" 256 0.643445478847633 0.645111329472506 0.00911298494702322 382 -0.182799668227008 0.382 999
"Fa13.BD.MM110.SD.1" 193 0.612457860819831 0.612690907585725 0.00480458612947466 447.5 -0.0485050657045899 0.4475 999
"Fa13.BD.MM110.SN.1" 172 0.616708495930862 0.61683748144087 0.00579012452458963 473 -0.022276811053018 0.473 999
"Fa13.BD.MM15.DN.1" 224 0.635499420774198 0.636447810418594 0.0057196072239509 439 -0.165813771341496 0.439 999
"Fa13.BD.MM15.SD.1" 226 0.610740918312151 0.611339785720548 0.00540661551211688 431.5 -0.110765673470803 0.4315 999
"Fa13.BD.MM15.SN.1" 255 0.615452971380251 0.616594587260932 0.00531762642668654 405 -0.21468523530567 0.405 999
"M15S2F115" 189 0.588977433797909 0.589035811502832 0.00584541834267608 451 -0.00998691650467971 0.451 999
"M15S2F515" 266 0.686804356354271 0.686200416754369 0.00459274218305499 603 0.131498694207215 0.603 999
"M15S2F715" 191 0.659449286387681 0.656666343226535 0.00956791988481569 732 0.290861879556705 0.732 999
"M15S2F815" 214 0.667195500551715 0.664941578262676 0.0061701219443283 702 0.365296230670259 0.702 999
"M15S2F915" 198 0.675305222335834 0.672836215456422 0.00624529367908683 740 0.395338795304285 0.74 999
"M45D2F115" 196 0.594855038080708 0.594297211973303 0.00637621736182676 531 0.0874854283897053 0.531 999
"M45D2F415" 146 0.623956251700665 0.620628422635511 0.0121831633555869 562 0.273149835393785 0.562 999
"M45D2F515" 193 0.640263366587032 0.638732305494947 0.00995820248586523 559 0.153748740724855 0.559 999
"M45D2F715" 195 0.80669028207827 0.795754815122938 0.0284264031299193 782 0.384694008079481 0.782 999
"M45D2F815" 199 0.728446822944408 0.724196020616431 0.00748867282469538 787.5 0.56763093107223 0.7875 999
"M45D2F915" 187 0.7903438476103 0.781364944798732 0.019645640022346 715 0.457043028445769 0.715 999
