,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu001218,6.072917138999329,0.016608823759199875,0.02273929138022211,0.7939494465711545,no,0.214,23.0,6.572140496113898e-05,361
Otu000536,0.2800792945346365,0.5986018828565203,-0.03860391327340032,0.6574706719780812,no,0.05,205.0,4.47363047799381e-05,361
Otu000853,1.9738665123017816,0.16519441585136932,0.08408249603384454,0.33415477699110885,no,0.084,113.0,0.00017201835318139162,361
Otu001369,0.11395280212498851,0.7368662005230753,-0.07033315705975675,0.4191752810902468,no,0.006,421.0,7.459111675180418e-05,364
Otu001118,0.12062405594045471,0.7295739761385246,-0.1179270227392914,0.17557046123972542,no,0.034,274.0,0.0001800127240170177,365
Otu002028,3.910179188241532,0.05259387234458929,-0.18561607615018513,0.03300662408805976,yes,0.074,136.0,6.810920204624008e-05,366
Otu000634,5.159201682511471,0.026724059782615047,0.09888947646747753,0.2560179684391073,no,0.034,274.0,0.00010455400030558266,367
Otu001130,0.9656214988138051,0.3297205598229199,-0.11158117398202011,0.1999720301936745,no,0.082,118.0,0.00010416595924519076,368
Otu002990,0.8751385359474962,0.3532866649734919,0.008989952406134321,0.917757105100038,no,0.014,395.0,5.8495395598767294e-05,370
Otu002442,0.6388986950117836,0.42726290512321774,-0.0809095716552089,0.3527157544124043,no,0.008,419.0,5.853730350477589e-05,370
Otu001982,0.007424703336111228,0.9316207933240049,-0.06821787414066632,0.43330035939248523,no,0.102,81.0,7.912169688560894e-05,370
Otu000248,0.4984625171359686,0.4829089367681849,0.0819672131147541,0.34645756275487705,no,0.002,433.0,7.747688425670422e-05,373
Otu002401,0.7563604059163868,0.3879359013063892,0.04494976203067161,0.6056470249748174,no,0.054,193.0,7.689455941120127e-05,373
Otu002083,1.3784235137705032,0.24500899221774897,-0.017451084082496036,0.841132804108627,no,0.058,180.0,0.00010476189352944813,373
Otu000962,1.0364316296828493,0.3127404638374943,0.006874669487043892,0.9370620025943025,no,0.046,218.0,3.617832493270242e-05,375
Otu002596,4.373831941863128,0.04073676005401514,0.010047593865679535,0.9081220918271574,no,0.07,144.0,0.00023240546832101539,376
Otu002908,0.0005122879773425071,0.9820175041182562,-0.04494976203067161,0.6056470249748174,no,0.052,201.0,6.266428627744298e-05,377
