,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu001219,0.8419967428174544,0.36351124802334334,-0.1020408163265306,0.30095842498661385,no,0.056,171.0,0.00021617054254623985,127
Otu000084,0.027173742980245413,0.8697732506959805,-0.08333333333333333,0.3982538507983723,no,0.112,73.0,0.0003022901146888344,127
Otu000277,0.010972110191342446,0.9170216459710113,0.003401360544217687,0.972494915019066,no,0.064,147.0,0.00026371958679030454,127
Otu000005,0.8814350412366657,0.35260893343065913,0.03401360544217687,0.7302496780110819,no,0.012,238.0,0.0003804602335046809,130
Otu000816,0.49822635721882097,0.48376465662593937,-0.08163265306122447,0.40795133408745543,no,0.042,199.0,0.00024409833492317965,130
Otu002522,2.5163166506033026,0.1193793853748157,-0.21088435374149658,0.03253953847449267,yes,0.018,228.0,0.00014770173657518634,130
Otu000158,8.026036511362124,0.006771518805796457,-0.22619047619047616,0.021855129822735922,yes,0.068,144.0,0.0005125272775710536,132
Otu001225,0.44137309722285845,0.509706914106141,0.06632653061224489,0.5013627040281308,no,0.08,116.0,0.0004352040472428276,133
Otu000547,0.38174167023540717,0.539655019453794,-0.12925170068027209,0.1901231103830675,no,0.042,199.0,0.0002197161090087738,133
Otu000256,1.8653737988856038,0.17850646150339322,-0.2789115646258503,0.004694143845272451,yes,0.026,219.0,0.0003244187867169767,135
Otu000390,4.515629242169418,0.038873265284778274,0.31972789115646255,0.0011908687845414872,yes,0.238,14.0,0.0002529100942618785,135
Otu000223,0.24224230032702893,0.6248824862444906,0.12414965986394555,0.20821243525581667,no,0.022,223.0,0.00031589128761711887,137
Otu000553,0.11723506126371344,0.7335793694141537,-0.0510204081632653,0.6050234382823838,no,0.158,44.0,0.0001299237939354936,138
Otu000172,2.520412127122365,0.11908676599494215,-0.16836734693877548,0.08787272389860554,no,0.084,113.0,0.0006926360313917614,138
Otu000446,0.9678955429945155,0.33024318171173905,-0.1020408163265306,0.30095842498661385,no,0.002,248.0,0.000171677129042553,140
