,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu002112,0.035974358759423467,0.8502086529886206,-0.07773664727657326,0.371916070912212,no,0.09,99.0,0.0008668573367945538,46
Otu001018,0.4141931108730341,0.5223012832356084,-0.0005288207297726071,0.9951536137242997,no,0.102,86.0,0.0009352177768120092,46
Otu000471,18.691069702743327,5.8854906764731195e-05,0.2226335272342676,0.010552204001377609,yes,0.12,69.0,0.0006863941735109587,48
Otu000193,5.72203243256437,0.019903124688113377,0.1708090957165521,0.0497708189332417,yes,0.108,79.0,0.0006380456087299518,49
Otu000067,0.10295796016948691,0.749423399569549,-0.06187202538339504,0.4772902611997323,no,0.022,354.0,0.0007249653267256882,50
Otu000319,1.4346768185561645,0.2357130728235764,0.07667900581702804,0.37845755516525637,no,0.196,26.0,0.0005189623475712063,50
Otu000344,0.5243148198460384,0.47182089003716277,-0.041776837652035964,0.6313323066185197,no,0.182,37.0,0.0005016823292512986,52
Otu000172,24.742634375273457,5.810883415296824e-06,0.3051295610787943,0.00045704449542703304,yes,0.214,17.0,0.0005262782462325262,52
Otu001246,3.0748209077096282,0.08462045302688818,-0.2670544685351666,0.0021592153130670323,yes,0.044,210.0,0.0004953389918311348,54
Otu000511,28.495452686916174,1.5147360691364752e-06,-0.37281861448968806,1.8503152881191165e-05,yes,0.056,169.0,0.00047351279160668926,55
Otu000644,0.25911054442039166,0.6125987970626195,-0.06292966684294024,0.4697931005256184,no,0.026,330.0,0.0005778891081444942,55
Otu000636,4.261232241541193,0.04332303709674926,0.07244843997884717,0.40532473129469804,no,0.052,184.0,0.0005476813378273402,57
Otu000423,4.017013518847281e-06,0.9984074908516326,-0.06081438392384982,0.48485242655453675,no,0.036,261.0,0.0005629145309857177,57
Otu002374,2.3751793840360196,0.1285353697194565,0.035430988894764676,0.6840348113229664,no,0.174,42.0,0.0005151270198305031,59
Otu000053,0.4143116709585904,0.5222419541234542,0.06081438392384982,0.48485242655453675,no,0.026,330.0,0.000581753151433612,60
Otu000139,0.00443301980335815,0.9471366957734725,0.0005288207297726071,0.9951536137242997,no,0.044,210.0,0.0005579977805980183,61
Otu000302,0.27428895794291475,0.6023983128414446,-0.041776837652035964,0.6313323066185197,no,0.02,367.0,0.0004955557683941167,62
Otu000150,2.524566267054104,0.11734170302616762,0.019566367001586465,0.8221807467648387,no,0.0,469.0,0.0006488657899586691,63
Otu000050,3.700429481734084,0.05914653161145,0.1708090957165521,0.0497708189332417,yes,0.186,35.0,0.0005887611801271905,64
Otu001266,1.0641564271083868,0.3064095027915749,0.02062400846113168,0.8127427567946938,no,0.016,383.0,0.00048103212859997615,65
Otu000091,2.3298703581110085,0.13216702759355445,0.12744579587519833,0.143233923537383,no,0.01,421.0,0.0004887590356793412,66
Otu000743,4.7766818682281205,0.03276201472902244,0.041776837652035964,0.6313323066185197,no,0.084,112.0,0.0004688279882931549,67
Otu000068,13.407723321204868,0.0005313349465660869,0.23109465891062933,0.007945576857488396,yes,0.026,330.0,0.00032873107280842896,67
Otu000242,4.0755536391723926,0.047983611312754984,0.1401374933897409,0.10747828948666995,no,0.372,3.0,0.0006155005114621896,69
Otu000290,33.4930117357632,2.7755951457150466e-07,-0.29349550502379695,0.0007486449311619169,yes,0.068,140.0,0.0007848158713441112,70
Otu001520,11.542557327883133,0.001212919537797008,0.07879428873611846,0.365445157668264,no,0.034,278.0,0.0003628644450056059,71
Otu000878,6.321514073545636,0.01462798192687643,-0.006874669487043892,0.9370620025943025,no,0.088,103.0,0.0005784916261490406,72
Otu000317,26.616956689771015,2.9453008835755876e-06,0.3833950290851402,1.0641552155624381e-05,yes,0.212,18.0,0.00034797028396414995,72
Otu000034,0.018385653997378647,0.8925963706328182,-0.05129561078794289,0.5557365525081721,no,0.074,127.0,0.00041392942353667085,74
Otu000061,19.654762504621015,4.0162494317050155e-05,0.35695399259650984,4.131408476101215e-05,yes,0.012,406.0,0.0005099501709802403,75
Otu000547,10.252694527437988,0.0021844170208315614,-0.25436277102062405,0.0034820119441516676,yes,0.06,158.0,0.00031222270615419,76
Otu000487,0.08789027942769079,0.7679003533563827,-0.008989952406134321,0.917757105100038,no,0.13,63.0,0.00043565301688512664,77
Otu000848,20.857136290630752,2.5118781130312128e-05,-0.18350079323109467,0.03505639518827295,yes,0.0,469.0,0.00034164432894484624,78
Otu000701,0.038324143501617274,0.845455184904038,-0.10417768376520362,0.23146479677371512,no,0.074,127.0,0.00036453721581655496,79
Otu000022,10.0364755507616,0.0024144957159471015,0.14436805922792176,0.09727219632180939,no,0.008,430.0,0.000298305207199005,80
Otu000040,18.49273845769103,6.37139058120751e-05,0.2067689053410894,0.01755056781327346,yes,0.058,162.0,0.0003828830342891897,81
Otu000893,10.148871778486585,0.00229189204203597,0.17715494447382338,0.04186924985014155,yes,0.118,71.0,0.0002886484743197733,82
Otu000456,0.33882450269019865,0.5626894357982195,0.04600740349021682,0.5971904314185322,no,0.13,63.0,0.00035430906930363664,82
Otu000325,1.7195760020320452,0.19474383170350454,0.02591221575885775,0.7659855693299591,no,0.014,397.0,0.00021474634401147022,84
Otu000238,1.141759169305227,0.28956113581436516,0.07033315705975675,0.4191752810902468,no,0.0,469.0,0.0003617935658916761,85
